Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Hello. Hi mom! Chloe, welcome home. You're home, right? Yup, safe and sound. Your brother has been bouncing off the walls. Oh, I can't wait to see him. So, is everything up for dad's surprise party? Um, honey, I'm afraid your dad's not gonna be here when you get home. What? Why not? Mom, what happened? He got called in to work. Did you tell him I was coming? Yeah, honey, I did but... They called this morning and, eh... What is his flight? It's London. 3:35? Honey, don't make it hard... Tell raymie I'll be home before supper. You must feel like you've seen it all. You seemed to be in the middle of a new disaster every time I turned on the news. Oh, what is the old adage? 'It's a dirty job but someone's gotta do it'. Can I ask you a question, Mr. Williams? Yeah, sure. - Do you read the Bible? - Well... I guess not as often as you do. Well, Matthew 24:7 says there shall be famines, pestilences and earthquakes in diverse places. All of these things, the disasters, the wars, they are all signs. So, god knew all these things were going to happen? Honey, god knows everything. So, why didn't he do something? I mean, he is god, right? Couldn't he stop the flood if he wanted to? Maybe, sent a little rain for the famine... It's a fallen world. God created it perfect and we destroyed it on the first set... Who destroyed it? Me?... You? Him? The lord works... In mysterious ways, I know.",87.789,265,Hello Hi mother welcome home You are home right Yup safe and sound Your brother has been bouncing off walls Oh I can not wait to see him So is everything up for 's surprise party Um honey I am afraid your dad 's not going to be here when you get home What Why not what happened He got called in to work Did you tell him I was coming Yeah honey I did but They called morning and eh What is his flight It is Honey do not make it hard Tell raymie I will be home before supper You must feel like you have seen it all You seemed to be in middle of new disaster time I turned on news Oh what is old adage It is dirty job but someone is got to do it Can I ask you question Yeah sure Do you read Well I guess not as often as you do Well says there shall be famines pestilences and earthquakes in diverse places All of things disasters wars they are all signs So knew things were going to happen knows everything So why did not he do something I mean he is right Could not he stop flood if he wanted to Maybe sent little rain for famine It is fallen world created it perfect and we destroyed it on first set Who destroyed it Me You Him works In mysterious ways I know,curiosity
2,"But somehow, people keep believing he loves them. Now, that is mysterious. Sorry to interrupt. Going my way? I enjoyed your speech. Yeah, sorry about that... Now, don't be. That was really good. I'm assuming it's not your first time making it. Well, the first time aloud. Cameron Williams. 'Buck'... my friends. I'm... eh, Chloe Steele. 'Chloe' to my friends. So, you're in college. Wow, that investigative journalism. It really pays off. I just wanted to say thank you for rescuing me from that nutty lady. Oh, thank my mom. She, as you would, have been rehearsing for it. Oh, is she... pretty? Nutty... Actually, I was looking through the thesaurus I've found this morning, I've decided to go with 'wacko'. Wacko? I like that word, 'wacko'. Can I buy you a coffee? No, no, I'm fine. Come on! What if I throw in one of those fantastic little boxes with the strawberry jam... Oh, my god... Wow, well, that is... that's tempting. - Yes? - Hmm hmm. But I'm waiting for someone, and he should be here any minute. My dad. I flew home to surprise him for his birthday, but... Something came up. Well, have a safe flight... - Hi, sweet heart! - Hi!",86.584,206,But somehow people keep believing he loves them Now that is mysterious Sorry to interrupt Going my way I enjoyed your speech Yeah sorry about that Now do not be That was really good I am assuming it is not your first time making it Well first time aloud Buck my friends I am eh to my friends So you are in college Wow investigative journalism It really pays off I just wanted to say thank you for rescuing me from lady Oh thank my mother She as you would have been rehearsing for it Oh is she pretty Actually I was looking through thesaurus I have found morning I have decided to go with wacko I like word wacko Can I buy you coffee No no I am fine Come on What if I throw in of fantastic little boxes with strawberry jam Oh my god Wow well that is that is tempting Yes Hmm hmm But I am waiting for someone and he should be here minute My dad I flew home to surprise him for his birthday but Something came up Well have safe flight sweet heart Hi,gratitude
3,"What are you doing here? Well, I came home to surprise you on your birthday. Honey, I just got called in. There's no way I can get out of it now. Yeah, that's what mom said... I wished that you would've told me you would be coming. Oh wait... you, you're Cameron Williams, holy cow... - So you two? - Oh, we just met. Hi, it's a pleasure, captain. Ray. Well, I'm gonna let you two catch up, yeah. And eh... it was really nice to meet you, Chloe. - You look great. - Thank you. Let's talk somewhere. - How was school? - It's good. Good, yeah... What? You know the first thing I thought when mom told me you're not gonna be home? It's that you left. I mean, really left. Just packed up your bags, slammed the doors, squealed the tyres and just drove off. Your mom and I are fine, Chloe. It's okay, I don't blame you. You don't blame me for what? For running away. But I didn't run away. You said, you thought I run away. - Who is that girl? - What girl? That flight attendant, beautiful, blonde one. Flight attendant... I worked with dozens of flight attendants... don't even know her name. If this was a year ago, you know before mom drank with collate, you'd be home by now. We would be all be home, like a family or something. Chloe, I... I think you know that your mom and I got married when we were both very young...",87.11700000000002,258,What are you doing here Well I came home to surprise you on your birthday I just got called in There is way I can get out of it now Yeah that is what mother said I wished that you would have told me you would be coming Oh wait you you are holy cow So you Oh we just met Hi it is pleasure captain Well I am going to let you catch up yeah And eh it was really nice to meet you You look great Thank you Let us talk somewhere How was school It is good Good yeah What You know first thing I thought when mother told me you are not going to be home It is that you left I mean really left Just packed up your bags slammed doors squealed tyres and just drove off Your mother and I are fine It is okay I do not blame you You do not blame me for what For running away But I did not run away You said you thought I run away Who is girl girl flight attendant beautiful blonde Flight attendant I worked with dozens of flight attendants do not even know her name If this was year ago you know before mother drank with collate you would be home by now We would be all be home like family or something I I think you know that your mother and I got married when we were both very young,gratitude
4,"And the changes that a person goes through between 20 and 50 are enormous. She's just doing what she believes is right and maybe you should cut her some slack. Me?... how about you? You're the one on the way to London. You are a one who has not been home since Christmas. I have school. And I have a job. I just feel like she's always trying to shove it down my throat. I know... look, I know that this past year, has been something of an adjustment, but... She is your mother, and I think it'd be good if you, no, if we both... Could be a little more supportive. - You missed her... - Yes, I do. But hey, if she's gonna run off with another man, why not Jesus, huh? Where is your ring? It's in my car. I never wear it when I fly. Chloe, your mom means the world to me, I'm not going to do anything to mess it up. Okay? And I have to go. We'll talk when I get back. Not gonna be here when you get back. Oh, but you'll gonna be back home again soon, right? Here... The car is in the usual spot, and go easy on mom. She'll come around. I love you. Are you okay? Yes, yes, I'm fine. Investigative journalist, remember? - Right. - Yeah. So... I'm just a little disappointed, that's all.",86.953,238,And changes that person goes through between and are enormous She is just doing what she believes is right and maybe you should cut her slack Me how about you You are on way to You are one who has not been home since I have school And I have job I just feel like she is always trying to shove it down my throat I know look I know that past year has been something of adjustment but She is your mother and I think it would be good if you no if we both Could be little more supportive You missed her Yes I do But hey if she is going to run off with man why not Where is your ring It is in my car I never wear it when I fly your mother means world to me I am not going to do anything to mess it up Okay And I have to go We will talk when I get back Not going to be here when you get back Oh but you will going to be back home again soon right Here car is in usual spot and go easy on mother She will come around I love you Are you okay Yes yes I am fine Investigative journalist remember Right Yeah So I am just little disappointed that is all,caring
5,"It was a big deal to me. All of us together, having a good time. Well, I'm sure you would have stayed if he could. The Turkey... a vulture comes up to the gate and dropped two dead rabbits onto the floor. And the flight attendant says... ""I'm sorry... We only allowed one carrier."" I'm sorry captain, that's bad. That is always funny. Well, if you have anymore bad jokes, you can always come and find me. Hey Marcus, they got that computer problems figured out? Negative that, Pentagon, apparently, some of the equipment on the flight deck are outdated. Yeah, you had me flying east, in 6 hours time, I would be 9 hours older. Do that for about 6 years and maybe you'll catch up to me. Happy birthday buddy, have a good flight. Thanks. Sounds like that's all your mom talks about. Seems like it sometimes. Hate someone who sees earthquake on the news and then tries to convince everyone it's a good thing. Does that make sense to you? The day after Tsunami, there's that one woman, Medina. She lost three of her four children in that wave, dragged down to the sea while she watched. It was all she could do was to hold on to a tree with a six-week old baby in her arms. And she was so sure that god had saved her and the baby that she went straight to her knees. She thanked him. She thanked him for killing the others? She's got the chance, that night she refused to leave",88.073,261,It was big deal to me All of us together having good time Well I am sure you would have stayed if he could vulture comes up to gate and dropped dead rabbits onto floor And flight attendant says I am sorry We only allowed carrier I am sorry captain that is bad That is always funny Well if you have anymore bad jokes you can always come and find me Hey they got that computer problems figured out Negative that apparently some of equipment on flight deck are outdated Yeah you had me flying east in hours time I would be hours older Do that for about years and maybe you will catch up to me Happy birthday buddy have good flight Thanks Sounds like that is your mother talks about Seems like it sometimes Hate someone who sees earthquake on news and then tries to convince everyone it is good thing Does that make sense to you day after there is woman She lost of her children in wave dragged down to sea while she watched It was all she could do was to hold on to tree with week old baby in her arms And she was so sure that had saved her and baby that she went straight to her knees She thanked him She thanked him for killing others She is got chance night she refused to leave,amusement
6,"the evacuation and after all god was watching over her. - And... - Mudslide... Buried the whole village under 10-feet of slime. How do people see some things 'like that', and just... If you look hard enough, you'll see whatever it is you're looking for. But you might have to ignore a lot of other things to do it. One of them... Might be the truth. And what about you? What did you see in that village? I saw a lot of people who'd lost everything that ever mattered. Did you ask why? I know why. Tsunami. You know what I mean. No, no, I didn't. If you had to find a reason for something like that to happen, then... Well, you might end up behind a stranger at the airport? Oh... - Love that laugh. - Oh, no. What? Oh, just thinking about Ray's joke. That guy cracks me up. Ray? You mean captain Steele? Only in front of other people. Really? So, you two are...? No, not yet. But, we're planning on spending some time together in London. Really? Why didn't you tell me? Hey, wait... Where are you going? Ah, some details, please... I really needed someone to talk to today. Thank you. I'm going to call you from London.",89.10300000000002,213,evacuation and after all was watching over her And Mudslide Buried whole village under feet of slime How do people see things like that and just If you look hard enough you will see whatever it is you are looking for But you might have to ignore lot of other things to do it of them Might be truth And what about you What did you see in village I saw lot of people who would lost everything that ever mattered Did you ask why I know why You know what I mean No no I did not If you had to find reason for something like that to happen then Well you might end up behind stranger at airport Oh Love that laugh Oh no What Oh just thinking about 's joke guy cracks me up You mean captain Only in front of other people Really So you are No not yet But we are planning on spending time together in Really Why did not you tell me Hey wait Where are you going Ah details please I really needed someone to talk to today Thank you I am going to call you from,curiosity
7,"- Really? - Really. I'm gonna make sure you won't forget about me, right? Right, right. I'm sure you've got a girl at every airport. Do you call all of them? None of them, actually. Chloe. Oh, hi, Jim. I got these things for your dad. They're for tomorrow night. U2. Wow. These can't be easy to get. You're telling me. It took me two weeks to find these things. Two weeks? Chloe, I'm sorry... Mr. Williams, please. I'm coming, sorry. Chloe, I... Would you give these to my dad, please? Of course. Well, you... - Excuse me... - Thanks. - Mr. Williams, please... - Sorry. Excuse me, captain. Chloe asked me to give you these. You are the gwn guy, right? Gwn guy... yeah, that's me. Cameron Williams, Chris Smith... Hi, pleased to meet you. Pleased to meet you. Welcome aboard pancon flight 257 to London. Flight time today will be 6 hours and 30 minutes. Thank you and enjoy your flight. So, did you get her number? Come on... I saw you two at the lounge about an hour ago and you happened to be the last person to get on the plane. And to think, I could have spend the last time with you instead. I do not know why you uncaring guys always wanted to get the girls... Maybe because we do not want to go around like a dress rehearsal for glee.",89.905,237,Really Really I am going to make sure you will not forget about me right Right right I am sure you have got girl at airport Do you call all of them None of them actually Oh hi I got things for your dad They are for tomorrow night U2 Wow These can not be easy to get You are telling me It took me weeks to find things weeks I am sorry please I am coming sorry I Would you give these to my dad please Of course Well you Excuse me please Sorry Excuse me captain asked me to give you these You are guy right guy yeah that is me pleased to meet you Pleased to meet you Welcome aboard pancon flight to Flight time today will be hours and minutes Thank you and enjoy your flight So did you get her number Come on I saw you at lounge about an hour ago and you happened to be last person to get on plane And to think I could have spend last time with you instead I do not know why you uncaring guys always wanted to get girls Maybe because we do not want to go around like dress rehearsal for glee,gratitude
8,"You know what, I'm must say right on that one. I will have to thank you though for flying first class. No need to thank, man. But, that guy who's sitting tight back there... Now, you should. I know you! Look, George. It's frank Sinatra! - What's that? - It is frank... Oh! Listen, George. We're home! Oh... we're not home. Sometimes he gets a bit confused. Good afternoon, this is your captain rayford Steele on flight pancon 257, weather conditions are reported to be good. So, will be a nice smooth flight all the way to London. Please sit back and enjoy our excellent service. We will be serving complimentary drinks and snacks shortly. So, please sit back and relax. No Johnny, you don't have to tell them anything. Just do what you do best. Stall 'em! But if you see one thing that makes you think they smell an acquisition... Dish it all. Look! I left the company jet in Houston. I'll be in London and with the paper signed before they know that I'm gone. We'll go and get. Good! Chloe, Chloe! Hey! Come here! Oh god, oh my goodness! You are so big! Ok. Did you get me anything at the airport? Well, you'll just have to wait and see.",88.24300000000001,214,You know what I am must say right on I will have to thank you though for flying first class need to thank man But guy who is sitting tight back there Now you should I know you Look It is frank What is that It is frank Oh We are home Oh we are not home Sometimes he gets bit confused Good afternoon this is your captain rayford on flight pancon weather conditions are reported to be good So will be nice smooth flight way to Please sit back and enjoy our excellent service We will be serving complimentary drinks and snacks shortly So please sit back and relax you do not have to tell them anything Just do what you do best Stall them But if you see thing that makes you think they smell acquisition Dish it all Look I left company jet in I will be in and with paper signed before they know that I am gone We will go and get Good Hey Come here Oh god oh my goodness You are so big Ok Did you get me anything at airport Well you will just have to wait and see,gratitude
9,"Alright, check it out in there and see what you've got. The new baseball gloves that I've been asking for! No way! Mom! Chloe is here! Mom, Chloe is here! She is here, mom! - Hi! - Hey... My gosh... Oh, you look beautiful. Wow. So, um, can I get you something to drink? Yeah... yeah... sure. Mom... mom... Chloe got me a brand new baseball gloves. See? 6 hours to London. Nobody laughing at that too. The hyperjet... That'll change everything. Oh yeah? Why is that? The defence deartment. Did you say the defence department? Yeah. It seems that they've been developing a new jet, ok? It'll carry 300 passengers at mach 40... New York to London... 6 minutes. 6 minutes? 6 minutes. That's pretty fast. Personally, I think they're lying. Yeah, I think that's a good guess. There's no way they can develop themselves. I'm guessing they... Referred engineering from something else. Probably something from area 51. Yeah. Scotch, please! So, was your dad surprised? Yeah. I think he was. Must have meant a lot to him. He seemed very upset that he had to leave. Yeah, I could tell. So, how was your flight? Good. Yeah, it was good. School?",88.76500000000001,203,Alright check it out in there and see what you have got new baseball gloves that I have been asking for way Mother is here is here She is here mother Hey My gosh Oh you look beautiful Wow So um can I get you something to drink Yeah yeah sure Mother mother got me brand new baseball gloves See hours to Nobody laughing at that too hyperjet That will change everything Oh yeah Why is that defence deartment Did you say defence department Yeah It seems that they have been developing new jet ok It will carry passengers at to minutes minutes minutes That is pretty fast Personally I think they are lying Yeah I think that is good guess There is way they can develop themselves I am guessing they Referred engineering from something else Probably something from area Yeah please So was your dad surprised Yeah I think he was Must have meant lot to him He seemed very upset that he had to leave Yeah I could tell So how was your flight Good Yeah it was good School,surprise
10,"It's fine. Hey, you'll eh... you'll never guess who I met at the airport. Buck Williams. Sorry, Cameron Williams. - From the news? - Yeah! - Really? - Hm-hmm. Did you get a chance to talk to him? I did... actually. Erm, he is... He is a great guy. Hmm, so just happens to be gorgeous. Yes... I told him that you were a fan. Oh! By the way, you're not the only one who thinks every earthquake will be the end of the world. Some crazy lady cornered him at the airport. That's not how I learnt that. Anyway, hmm... He is a great guy. Chloe, honey... I don't mean to push. I know it must feel that way. I just want you to understand. It's important to me. So are you. I just want you to be ready. Ready for what? You know... Never mind. Can we just talk without you cutting me off? Mom, I just got here. I'm not really up for a heavy conversation. Ok, sure... But just hear me out. Just a little. I've been praying for you to come home and I believe that's why god brought you here. What did you say? God brought me home?",88.132,204,It is fine Hey you will eh you will never guess who I met at airport Sorry From news Yeah Really - hmm Did you get chance to talk to him I did actually he is He is great guy Hmm so just happens to be gorgeous Yes I told him that you were fan Oh By way you are not only who thinks earthquake will be end of world crazy lady cornered him at airport That is not how I learnt that Anyway hmm He is great guy honey I do not mean to push I know it must feel way I just want you to understand It is important to me So are you I just want you to be ready Ready for what You know Never mind Can we just talk without you cutting me off I just got here I am not really up for heavy conversation Ok sure But just hear me out Just little I have been praying for you to come home and I believe that is why brought you here What did you say brought me home,admiration
