Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1," [ ""If I Didn't Care"" ]  IF I DIDN'T CARE   MORE THAN WORDS CAN SAY   IF I DIDN'T CARE   WOULD I FEEL THIS WAY   IF THIS ISN'T LOVE   THEN WHY DO I THRILL   AND WHAT MAKES MY HEAD GO 'ROUND AND 'ROUND   WHILE MY HEART STANDS STILL   IF I DIDN'T CARE   WOULD IT BE THE SAME  [ Radio ]  WOULD MY EVERY PRAYER   BEGIN AND END   WITH JUST YOUR NAME   AND WOULD I BE SURE   THAT THIS IS LOVE   BEYOND COMPARE   WOULD ALL THIS BE TRUE   IF I DIDN'T CARE FOR YOU ",88.747,129,  If I Did not Care   IF I DID NOT CARE    MORE THAN CAN SAY    IF I DID NOT CARE    WOULD I FEEL    IF THIS IS NOT    THEN WHY DO I    AND WHAT MAKES MY ROUND AND    WHILE MY HEART STANDS    IF I DID NOT CARE    WOULD IT BE SAME   ]   WOULD    AND    WITH JUST YOUR NAME    AND WOULD I BE SURE    THAT THIS IS LOVE    BEYOND    WOULD THIS BE TRUE    IF I DID NOT CARE FOR YOU,caring
2,"[ Speaking ] IF I DIDN'T CARE, HONEY CHILD, MORE THAN WORDS CAN SAY, IF I DIDN'T CARE--  [ Continues ] [ Attorney ] MR. DUFRESNE, DESCRIBE THE... CONFRONTATION YOU HAD WITH YOUR WIFE... THE NIGHT THAT SHE WAS MURDERED. IT WAS VERY BITTER. SHE SAID SHE WAS GLAD I KNEW, THAT SHE HATED ALL THE SNEAKING AROUND. AND SHE SAID SHE WANTED A DIVORCE IN RENO. WHAT WAS YOUR RESPONSE? I TOLD HER I WOULD NOT GRANT ONE. ""I'LL SEE YOU IN HELL BEFORE I SEE YOU IN RENO."" THOSE WERE THE WORDS YOU USED, MR. DUFRESNE, ACCORDING TO THE TESTIMONY OF YOUR NEIGHBORS. IF THEY SAY SO. I REALLY DON'T REMEMBER. I WAS UPSET. WHAT HAPPENED AFTER YOU ARGUED WITH YOUR WIFE? SHE PACKED A BAG-- SHE PACKED A BAG TO GO AND STAY WITH MR. QUENTIN. [ Attorney ] GLENN QUENTIN. [ Both Laughing ] THE GOLF PRO AT THE SNOWDEN HILLS COUNTRY CLUB. THE MAN YOU HAD RECENTLY DISCOVERED WAS YOUR WIFE'S LOVER. DID YOU FOLLOW HER? WENT TO A FEW BARS FIRST. LATER I DROVE TO HIS HOUSE TO CONFRONT THEM. THEY WEREN'T HOME, SO I PARKED IN THE TURNOUT... AND... WAITED.  [ Continues ] [ Attorney ] WITH WHAT INTENTION? I'M NOT SURE. I WAS CONFUSED, UH, DRUNK. I THINK... MOSTLY I WANTED TO SCARE THEM.",89.28999999999999,224,Speaking ] IF I DID NOT CARE CHILD MORE THAN CAN SAY IF I DID NOT   YOU HAD WITH YOUR WIFE NIGHT THAT WAS MURDERED IT WAS VERY BITTER SHE SAID SHE WAS GLAD I KNEW THAT HATED SNEAKING AROUND AND SAID SHE WANTED DIVORCE IN WHAT WAS YOUR RESPONSE I TOLD HER I WOULD NOT GRANT I WILL SEE YOU IN BEFORE I SEE YOU IN THOSE WERE WORDS YOU USED ACCORDING TO OF YOUR NEIGHBORS IF THEY SAY SO I DO NOT REMEMBER I WAS UPSET WHAT HAPPENED AFTER YOU ARGUED WITH YOUR WIFE SHE PACKED A SHE PACKED BAG TO GO AND STAY WITH Both Laughing GOLF PRO AT MAN YOU HAD WAS YOUR WIFE 'S DID YOU FOLLOW HER WENT TO FEW BARS FIRST LATER I DROVE TO HIS HOUSE TO CONFRONT THEY WERE NOT SO I PARKED IN AND WAITED   Continues Attorney ] WITH WHAT I AM NOT SURE I WAS CONFUSED I THINK I WANTED TO SCARE THEM,neutral
3,"WHEN THEY ARRIVED, YOU WENT UP TO THE HOUSE AND MURDERED THEM. NO. I WAS SOBERING UP. I GOT BACK IN THE CAR, AND I DROVE HOME TO SLEEP IT OFF. ALONG THE WAY, I STOPPED... AND THREW MY GUN INTO THE ROYAL RIVER. - I FEEL I'VE BEEN VERY CLEAR ON THIS POINT. - WELL, WHERE I GET HAZY... IS WHERE THE CLEANING WOMAN SHOWS UP THE FOLLOWING MORNING... AND FINDS YOUR WIFE IN BED WITH HER LOVER, RIDDLED WITH .38 CALIBER BULLETS. NOW, DOES THAT STRIKE YOU AS A FANTASTIC COINCIDENCE, MR. DUFRESNE, OR IS IT JUST ME? YES, IT DOES. YET YOU STILL MAINTAIN... THAT YOU THREW YOUR GUN INTO THE RIVER BEFORE THE MURDERS TOOK PLACE. THAT'S VERY CONVENIENT. IT'S THE TRUTH. THE POLICE DRAGGED THAT RIVER FOR THREE DAYS AND NARY A GUN WAS FOUND. SO THERE COULD BE NO COMPARISON MADE BETWEEN YOUR GUN... AND THE BULLETS TAKEN... FROM THE BLOOD-STAINED CORPSES OF THE VICTIMS. AND THAT, ALSO, IS VERY CONVENIENT. ISN'T IT, MR. DUFRESNE? SINCE I AM INNOCENT OF THIS CRIME, SIR, I FIND IT DECIDEDLY INCONVENIENT THAT THE GUN WAS NEVER FOUND. [ Radio ]  WITH JUST YOUR NAME   AND WOULD I BE SURE   THAT THIS IS LOVE   BEYOND COMPARE  [ Switches Radio Off ] [ Attorney ] LADIES AND GENTLEMEN,",86.70700000000001,227,WHEN THEY ARRIVED YOU WENT UP TO AND MURDERED NO I WAS SOBERING I GOT BACK IN CAR AND I DROVE HOME TO SLEEP ALONG I STOPPED AND INTO I FEEL I HAVE BEEN VERY ON POINT WHERE I GET IS WHERE CLEANING WOMAN SHOWS UP FOLLOWING MORNING AND FINDS YOUR WIFE IN BED WITH HER RIDDLED WITH BULLETS NOW DOES THAT STRIKE YOU AS OR IS IT JUST ME YES IT DOES YET YOU THAT YOU THREW YOUR GUN INTO RIVER BEFORE MURDERS TOOK THAT IS VERY CONVENIENT IT IS TRUTH POLICE DRAGGED FOR DAYS AND WAS SO THERE COULD BE COMPARISON MADE BETWEEN YOUR AND BULLETS FROM BLOOD STAINED CORPSES OF AND THAT ALSO IS VERY CONVENIENT IS NOT SINCE I AM OF I FIND IT INCONVENIENT THAT WAS NEVER Radio ]   WITH JUST YOUR NAME    AND WOULD I BE SURE    THAT THIS IS LOVE    BEYOND   Attorney AND,neutral
4,"YOU'VE HEARD ALL THE EVIDENCE, YOU KNOW ALL THE FACTS. WE HAVE THE ACCUSED AT THE SCENE OF THE CRIME. WE HAVE FOOTPRINTS, TIRE TRACKS, BULLETS STREWN ON THE GROUND... WHICH BEAR HIS FINGERPRINTS, A BROKEN BOURBON BOTTLE, LIKEWISE WITH FINGERPRINTS, AND MOST OF ALL, WE HAVE A BEAUTIFUL YOUNG WOMAN AND HER LOVER... LYING DEAD IN EACH OTHERS ARMS. THEY... HAD SINNED. BUT WAS THEIR CRIME SO GREAT... AS TO MERIT A DEATH SENTENCE? NOW, WHILE YOU THINK ABOUT THAT, THINK ABOUT THIS: A REVOLVER HOLDS SIX BULLETS, NOT EIGHT. I SUBMIT THAT THIS WAS NOT A HOT-BLOODED CRIME OF PASSION. THAT AT LEAST COULD BE UNDERSTOOD, IF NOT CONDONED. NO. THIS WAS REVENGE... OF A MUCH MORE BRUTAL AND COLD-BLOODED NATURE. CONSIDER THIS: FOUR BULLETS PER VICTIM. NOT SIX SHOTS FIRED, BUT EIGHT. THAT MEANS THAT HE FIRED THE GUN EMPTY... AND THEN STOPPED TO RELOAD... SO THAT HE COULD SHOOT EACH OF THEM AGAIN. AN EXTRA BULLET PER LOVER. RIGHT IN THE HEAD. [ Breathing Heavily ] YOU STRIKE ME... AS A PARTICULARLY ICY AND REMORSELESS MAN, MR. DUFRESNE. IT CHILLS MY BLOOD JUST TO LOOK AT YOU. BY THE POWER VESTED IN ME BY THE STATE OF MAINE,",88.17200000000001,202,YOU HAVE HEARD EVIDENCE YOU KNOW FACTS WE HAVE ACCUSED AT SCENE OF WE HAVE FOOTPRINTS STREWN ON WHICH BEAR HIS FINGERPRINTS LIKEWISE WITH FINGERPRINTS AND MOST OF ALL WE HAVE AND HER LYING DEAD IN THEY HAD BUT WAS THEIR SO AS TO MERIT A DEATH SENTENCE NOW WHILE YOU THINK ABOUT THAT THINK ABOUT THIS BULLETS NOT I SUBMIT THAT THIS WAS NOT HOT BLOODED OF PASSION THAT AT LEAST COULD BE UNDERSTOOD IF NOT CONDONED NO THIS WAS REVENGE OF MUCH MORE BRUTAL AND COLD CONSIDER THIS BULLETS PER VICTIM NOT BUT THAT MEANS THAT HE FIRED AND THEN TO RELOAD SO THAT HE COULD SHOOT EACH OF THEM AGAIN EXTRA BULLET PER RIGHT IN HEAD Breathing Heavily YOU STRIKE ME AS PARTICULARLY AND IT CHILLS BLOOD JUST TO LOOK AT YOU BY IN BY OF,neutral
5,"I HEREBY ORDER YOU TO SERVE TWO LIFE SENTENCES BACK TO BACK. ONE FOR EACH OF YOUR VICTIMS. SO BE IT. [ Man ] SIT. WE SEE BY YOUR FILE YOU'VE SERVED 20 YEARS OF A LIFE SENTENCE. YES, SIR. DO YOU FEEL YOU'VE BEEN REHABILITATED? OH, YES, SIR. ABSOLUTELY, SIR. I MEAN, I LEARNED MY LESSON. I CAN HONESTLY SAY THAT I'M A CHANGED MAN. I'M-- I'M NO LONGER A DANGER TO SOCIETY. THAT'S GOD'S HONEST TRUTH. [ Men Yelling, Talking, Laughing ] [ Indistinct Talking Continues ] HEY, RED. HOW'D IT GO? SAME OLD SHIT, DIFFERENT DAY. YEAH. I KNOW HOW YOU FEEL. I'M UP FOR REJECTION NEXT WEEK. YEAH, I GOT REJECTED LAST WEEK. IT HAPPENS. - HEY, RED, BUMP ME A DECK. - GET THE FUCK OUT MY FACE. YOU'RE INTO ME FOR FIVE PACKS ALREADY. FIVE! FOUR. [ Red Narrating ] THERE MUST BE A CON LIKE ME IN EVERY PRISON IN AMERICA. I'M THE GUY WHO CAN GET IT FOR YA-- CIGARETTES; A BAG OF REEFER, IF THAT'S YOUR THING; A BOTTLE OF BRANDY TO CELEBRATE YOUR KID'S HIGH SCHOOL GRADUATION. DAMN NEAR ANYTHING, WITHIN REASON. YES, SIR, I'M A REGULAR SEARS AND ROEBUCK. [ Siren Wailing ]",87.958,204,I HEREBY ORDER YOU TO LIFE SENTENCES BACK TO FOR EACH OF YOUR VICTIMS SO BE IT Man WE SEE BY YOUR FILE YOU HAVE YEARS OF LIFE DO YOU FEEL YOU HAVE BEEN REHABILITATED I MEAN I LEARNED I CAN HONESTLY SAY THAT I AM I I AM NO LONGER DANGER TO THAT IS 'S HONEST Men Talking Laughing HOW DID IT GO SAME OLD DIFFERENT YEAH I KNOW HOW YOU FEEL I AM UP FOR YEAH I GOT REJECTED LAST WEEK DECK GET OUT YOU ARE INTO ME FOR PACKS ALREADY THERE MUST BE LIKE ME IN PRISON IN I AM WHO CAN GET IT FOR YA-- CIGARETTES OF IF THAT IS YOUR THING OF TO CELEBRATE YOUR KID 'S HIGH ANYTHING WITHIN REASON YES I AM AND,neutral
6,"SO, WHEN ANDY DUFRESNE CAME TO ME IN 1949... AND ASKED ME TO SMUGGLE RITA HAYWORTH INTO THE PRISON FOR HIM, I TOLD HIM, ""NO PROBLEM."" [ Man On P.A. ] ...THE MAIN GATE. [ P.A. Continues, Indistinct ] ANDY CAME TO SHAWSHANK PRISON IN EARLY 1947... FOR MURDERING HIS WIFE AND THE FELLA SHE WAS BANGING. ON THE OUTSIDE, HE'D BEEN VICE PRESIDENT OF A LARGE PORTLAND BANK. GOOD WORK FOR A MAN AS YOUNG AS HE WAS. [ Men Clapping, Whistling ] HEY, RED. [ Whistling, Clapping Continue ] [ Men Clapping, Yelling Continues ] YOU SPEAK ENGLISH, BUTT STEAK? YOU FOLLOW THIS OFFICER. [ Men Yelling ] MEAT! MEAT! I HAVEN'T SEEN SUCH A SORRY-LOOKIN' HEAP OF MAGGOT SHIT IN ALL MY LIFE. HEY, FISH, COME OVER HERE! [ Yelling Continues ] [ Men Yelling ] UNDERSTAND, NEW FISH? COME ON, FISH, COME OVER HERE! TAKIN' BETS TODAY, RED? SMOKES OR COIN? BETTER'S CHOICE. - SMOKES. PUT ME DOWN FOR TWO. - ALL RIGHT, WHO'S YOUR HORSE? THAT LITTLE SACK OF SHIT. MMM, EIGHTH. EIGHTH FROM THE FRONT. HE'LL BE FIRST. OH, BULLSHIT. I'LL TAKE THAT ACTION. YOU'RE OUT SOME SMOKES, SON. - HEYWOOD, YOU'RE SO SMART, YOU CALL IT. - I'LL TAKE... THE CHUBBY FAT ASS, THE FIFTH ONE FROM THE FRONT.",88.079,216,SO WHEN CAME TO IN AND ASKED ME TO SMUGGLE INTO FOR I TOLD NO PROBLEM Man On CAME TO PRISON IN EARLY FOR MURDERING HIS WIFE AND WAS ON HE WOULD BEEN VICE PRESIDENT OF LARGE GOOD FOR MAN AS YOUNG AS HE WAS Whistling Clapping Continue Continues YOU SPEAK YOU FOLLOW Men MEAT MEAT I HAVE NOT SEEN SORRY LOOKIN ' OF SHIT IN LIFE FISH COME OVER HERE Continues Men NEW FISH FISH COME OVER ' OR 'S CHOICE PUT ME DOWN FOR ALL RIGHT WHO IS YOUR HORSE SACK OF EIGHTH FROM FRONT HE WILL BE FIRST I WILL TAKE ACTION YOU ARE OUT YOU ARE SO YOU CALL IT I WILL TAKE FROM FRONT,neutral
7,"PUT ME DOWN FOR A QUARTER DECK. FRESH FISH! FRESH FISH TODAY! [ Laughing ] WE'RE REELIN' 'EM IN! I MUST ADMIT I DIDN'T THINK MUCH OF ANDY FIRST TIME I LAID EYES ON HIM. LOOKED LIKE A STIFF BREEZE WOULD BLOW HIM OVER. THAT WAS MY FIRST IMPRESSION OF THE MAN. WHAT DO YOU SAY, RED? THAT TALL DRINK OF WATER WITH THE SILVER SPOON UP HIS ASS. THAT GUY? NEVER HAPPEN. TEN CIGARETTES. THAT'S A RICH BET. ALL RIGHT, WHO'S GONNA PROVE ME WRONG? OH! HEYWOOD? JIGGER? [ Heywood Chuckling ] SKEETS? FLOYD! [ Chuckling ] FOUR BRAVE SOULS. [ P.A. ] RETURN TO YOUR CELL BLOCKS FOR EVENING COUNT. ALL PRISONERS RETURN TO YOUR CELL BLOCKS. TURN TO THE RIGHT! EYES FRONT! [ Door Slams ] THIS IS MR. HADLEY. HE'S CAPTAIN OF THE GUARDS. I'M MR. NORTON, THE WARDEN. YOU ARE CONVICTED FELONS. THAT'S WHY THEY'VE SENT YOU TO ME. RULE NUMBER ONE: NO BLASPHEMY. I'LL NOT HAVE THE LORD'S NAME TAKEN IN VAIN IN MY PRISON. THE OTHER RULES YOU'LL FIGURE OUT AS YOU GO ALONG. ANY QUESTIONS? WHEN DO WE EAT? YOU EAT... WHEN WE SAY YOU EAT. YOU SHIT WHEN WE SAY YOU SHIT AND PISS WHEN WE SAY YOU PISS. YOU GOT THAT, YOU MAGGOT-DICK MOTHERFUCKER? - [ Groans ] - [ Hadley ] ON YOUR FEET.",87.74799999999999,225,PUT ME DOWN FOR DECK FRESH FISH FRESH FISH TODAY Laughing WE ARE ' THEM IN I MUST ADMIT I DID NOT THINK MUCH OF I LAID EYES LIKE WOULD BLOW THAT WAS FIRST IMPRESSION OF WHAT DO YOU TALL OF WATER WITH SPOON UP HIS ASS NEVER HAPPEN CIGARETTES THAT IS RICH ALL RIGHT WHO IS GOING TO PROVE ME OH Chuckling ] TO YOUR BLOCKS FOR EVENING COUNT ALL PRISONERS RETURN TO YOUR TURN TO RIGHT EYES FRONT THIS IS HE IS OF I AM YOU ARE CONVICTED FELONS THAT IS WHY THEY HAVE SENT YOU TO ME BLASPHEMY I WILL NOT HAVE 'S IN IN PRISON OTHER RULES YOU WILL FIGURE OUT AS YOU GO ALONG QUESTIONS WHEN DO WE EAT YOU WHEN WE SAY YOU YOU SHIT WHEN WE SAY YOU SHIT AND PISS WHEN WE SAY YOU PISS YOU GOT THAT YOU MAGGOT ] Hadley ] ON YOUR FEET,neutral
8,"[ Man Coughs ] [ Norton ] I BELIEVE IN TWO THINGS: DISCIPLINE AND THE BIBLE. HERE YOU'LL RECEIVE BOTH. PUT YOUR TRUST IN THE LORD. YOUR ASS BELONGS TO ME. WELCOME TO SHAWSHANK. UNHOOK 'EM. [ Hadley ] TURN AROUND. THAT'S ENOUGH. MOVE TO THE END OF THE CAGE. TURN AROUND. DELOUSE HIM. TURN AROUND. MOVE OUT OF THE CAGE, GO TO YOUR LEFT, PICK UP YOUR CLOTHES AND BIBLE. NEXT MAN UP! TO THE RIGHT. RIGHT, RIGHT, RIGHT. [ Man Yells ] [ Hadley ] LEFT. LEFT. [ Red Narrating ] THE FIRST NIGHT'S THE TOUGHEST, NO DOUBT ABOUT IT. UPSTAIRS. THEY MARCH YOU IN, NAKED AS THE DAY YOU WERE BORN, SKIN BURNING AND HALF BLIND FROM THAT DELOUSING SHIT THEY THROW ON YOU. AND WHEN THEY PUT YOU IN THAT CELL, WHEN THOSE BARS SLAM HOME, THAT'S WHEN YOU KNOW IT'S FOR REAL. WHOLE LIFE BLOWN AWAY IN THE BLINK OF AN EYE. NOTHING LEFT BUT ALL THE TIME IN THE WORLD TO THINK ABOUT IT. MOST NEW FISH COME CLOSE TO MADNESS THE FIRST NIGHT. SOMEBODY ALWAYS BREAKS DOWN, CRYING. HAPPENS EVERY TIME. [ Cell Doors Closing ] THE ONLY QUESTION IS, WHO'S IT GONNA BE?",87.33600000000001,201,] I BELIEVE IN THINGS AND HERE YOU WILL RECEIVE PUT YOUR TRUST IN YOUR BELONGS TO ME TO UNHOOK THEM ] TURN AROUND THAT IS ENOUGH MOVE TO OF AROUND TURN AROUND MOVE OUT OF CAGE TO YOUR PICK UP YOUR AND TO RIGHT RIGHT RIGHT RIGHT 'S DOUBT ABOUT IT THEY YOU IN AS DAY YOU WERE SKIN BURNING AND HALF BLIND FROM DELOUSING SHIT THEY THROW ON YOU AND WHEN THEY PUT YOU IN WHEN THAT IS WHEN YOU KNOW IT IS FOR BLOWN AWAY IN OF NOTHING BUT IN TO THINK ABOUT IT MOST NEW FISH COME CLOSE TO BREAKS HAPPENS EVERY Cell Doors ONLY QUESTION IS WHO IS IT GOING TO BE,neutral
9,"IT'S AS GOOD A THING TO BET ON AS ANY, I GUESS. I HAD MY MONEY ON ANDY DUFRESNE. LIGHTS OUT! [ Footsteps ] [ Red Narrating ] I REMEMBER MY FIRST NIGHT. SEEMS LIKE A LONG TIME AGO. [ Man #1 ] YOO-HOO. [ Man #2 ] HEY, FISH. FISH, FISH, FISH, FISH, FISHY. [ Man #3 ] HEY, BOY, YOU SCARED OF THE DARK? LOOKIT HERE, NEW FISH. YOU'LL WISH YOUR DADDY NEVER DICKED YOUR MAMA. [ Man #4 ] FISHY! PIGGY! PORK! I WANT ME A PORK CHOP! LAWD, YES! YOU WRITIN' THIS DOWN, FISH? [ Man #1 ] YOO-HOO. GONNA BE A QUIZ LATER. [ Giggling ] POKE YOUR ASS OUT, GIMME A FIRST LOOK! SHH! KEEP IT DOWN. [ Red ] THE BOYS ALWAYS GO FISHIN' WITH FIRST-TIMERS. [ Taunts Continue ] AND THEY DON'T QUIT UNTIL THEY REEL SOMEONE IN. IF YOU SLEEP, YOU'RE GONNA HAVE NIGHTMARES. HEY, FAT ASS. - AND IF YOU DREAM, YOU'RE GONNA DREAM ABOUT ME. - [ Heywood ] FAT ASS! TALK TO ME, BOY. [ Whimpering ] I KNOW YOU'RE THERE. I CAN HEAR YOU BREATHIN'. DON'T YOU LISTEN TO THESE NITWITS. YOU HEAR ME? THIS PLACE AIN'T SO BAD. TELL YOU WHAT. [ Whimpering Continues ] I'LL INTRODUCE YOU AROUND, MAKE YOU FEEL RIGHT AT HOME. I KNOW A COUPLE OF BIG OLD BULL QUEERS... THAT'D JUST LOVE TO MAKE YOUR ACQUAINTANCE, ESPECIALLY THAT BIG, WHITE, M-MUSHY BUTT OF YOURS. [ Whimpering ] GOD! I DON'T BELONG HERE!",89.626,251,IT IS AS GOOD THING TO AS I GUESS I HAD MONEY ON ANDY DUFRESNE Footsteps I REMEMBER SEEMS LIKE LONG AGO Man Man FISH FISH FISH FISH FISH Man YOU SCARED OF NEW FISH YOU WILL WISH YOUR DADDY NEVER DICKED YOUR Man I WANT ME PORK YOU THIS DOWN FISH Man GOING TO BE LATER Giggling POKE YOUR GIVE ME FIRST LOOK KEEP IT DOWN Red ] ALWAYS GO WITH Taunts Continue AND THEY DO NOT QUIT UNTIL THEY REEL SOMEONE IN IF YOU SLEEP YOU ARE GOING TO HAVE AND IF YOU DREAM YOU ARE GOING TO ABOUT ME TO Whimpering I KNOW YOU ARE THERE I CAN HEAR YOU BREATHIN DO NOT YOU LISTEN TO NITWITS YOU HEAR ME ARE NOT SO BAD TELL YOU WHAT Whimpering Continues I WILL INTRODUCE YOU AROUND MAKE YOU FEEL RIGHT AT I KNOW COUPLE OF OLD THAT WOULD JUST LOVE TO MAKE YOUR ACQUAINTANCE OF Whimpering I DO NOT BELONG HERE,neutral
10,"[ Men Yelling ] [ Man ] WE HAVE A WINNER! [ Fat Ass ] I WANNA GO HOME! AND IT'S FAT ASS BY A NOSE! [ Yelling Continues ] IT'S THE FAT GUY! IT'S THE FAT GUY! FRESH FISH! FRESH FISH! FRESH FISH! [ Men Chanting ] FRESH FISH! FRESH FISH! [ Fat Ass ] I DON'T BELONG HERE. I WANNA GO HOME. I WANT MY MOTHER. [ Chanting Continues ] [ Man ] I HAD YOUR MOTHER. SHE WASN'T THAT GREAT. [ Chanting Continues, Faster ] [ Door Opens ] WHAT THE CHRIST IS THIS HAPPY HORSE SHIT? [ Man ] HE TOOK THE LORD'S NAME IN VAIN! I'M TELLIN' THE WARDEN! - YOU'LL BE TELLIN' HIM WITH MY BATON UP YOUR ASS! - YOU GOTTA LET ME OUTTA HERE. WHAT IS YOUR MALFUNCTION, YOU FAT BARREL OF MONKEY SPUNK? PLEASE. I AIN'T SUPPOSED TO BE HERE. NOT ME. I AIN'T GONNA COUNT TO THREE, OR EVEN ONE. YOU WILL SHUT THE FUCK UP, OR I'LL SING YOU A LULLABY! PLEASE! THERE'S BEEN A MISTAKE. [ Whispers ] MAN, SHUT UP. [ Whimpering ] YOU DON'T UNDERSTAND! I'M NOT SUPPOSED TO BE HERE! OPEN THAT CELL! [ Man ] ME, NEITHER! YOU PEOPLE RUN THIS PLACE LIKE A FUCKIN' PRISON! [ Whimpering Continues ] [ Groaning ] [ Hadley ] SON OF A BITCH! - [ Grunting, Groaning ] - [ Blows Landing ] [ Men Murmuring ] [ Man ] CAPTAIN, TAKE IT EASY! GODDAMN! [ Blows Landing ] [ Fat Ass Whimpering ] IF I HEAR SO MUCH AS A MOUSE FART IN HERE THE REST OF THE NIGHT, I SWEAR BY GOD AND SONNY JESUS, YOU WILL ALL VISIT THE INFIRMARY.",86.08,286,Men Man ] WE HAVE WINNER I WANT TO GO AND IT IS Continues IT IS IT IS FRESH FISH FRESH FISH FRESH FISH Men FRESH FISH FRESH FISH ] I DO NOT BELONG HERE I WANT TO GO I WANT MY MOTHER Chanting Man ] I HAD YOUR MOTHER SHE WAS NOT Chanting Opens WHAT IS HORSE Man ] HE TOOK 'S NAME IN I AM ' YOU WILL BE ' WITH BATON UP YOUR YOU GOT TO LET ME WHAT IS YOUR BARREL OF PLEASE I ARE NOT SUPPOSED TO BE HERE NOT I ARE NOT GOING TO COUNT TO OR EVEN YOU WILL SHUT OR I WILL SING YOU PLEASE THERE IS BEEN MISTAKE Whimpering YOU DO NOT UNDERSTAND I AM NOT SUPPOSED TO BE HERE OPEN Man ] YOU RUN LIKE ' PRISON Whimpering Continues Groaning SON OF A Landing Man TAKE IT EASY Blows Landing Fat IF I HEAR SO MUCH AS IN HERE REST OF I SWEAR BY AND YOU WILL ALL VISIT,neutral
