Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Should we be doing this? It's still a crime scene. Sack up, Billy. It's called ""investigative journalism"" for a reason. Yeah, but don't we need a press pass or a permit or something? Press pass this! You know, the police missed something here, I can feel it. What do you say, Billy? Won't a Peabody Award look great up on your... Yo, Chuck, speed up, man! Yeah, man, speed up. Guys, this is my dad's car. So if I go any faster, he will kill me. Holy shit! - Shit! - Jesus, that was close. You fucking assholes! We are in hillbilly country now, boys. Squeal like a pig! Yeehaw! Chad, just cos they're not in your fraternity doesn't mean they're freaks. Actually, it does, Allison. You see, you're either Omega Beta or you're a freak. - Omega Beta! Omega Beta! - Fuck. - Chi, chi, chi! - I'm in a oar full of morons. No, if we were morons, we wouldn't have thought to bring this. OK, I stand corrected. You are a fucking genius. Hey, Chuck, speed up, man. They're gonna pass us. Oh, jeez. Whoa, Jesus. Did you see the way those guys looked at us? Hey, guys! Guys! We forgot the beer! No! Sure you got everything you need? Cos once you get up there... Can I help you? Uh, yeah. Where's your beer at? Beer's in the back. You see the way them kids looked? Read that list back to me. OK, three-quarter-inch nails, hacksaw, baling hooks, brush-clearing Scythe, clamps... Hey, Chad, do we need more bug...",88.46000000000002,262,Should we be doing this It is still crime scene Sack up It is called investigative journalism for reason Yeah but do not we need press pass or permit or something Press pass this You know police missed something here I can feel it What do you say Will not look great up on your speed up man Yeah man speed up Guys this is my dad 's car So if I go any faster he will kill me shit that was close You fucking assholes We are in hillbilly country now boys Squeal like pig just cos they are not in your fraternity does not mean they are freaks Actually it does You see you are either or you are freak Beta I am in oar full of morons No if we were morons we would not have thought to bring this OK I stand corrected You are fucking genius Hey speed up man They are going to pass us Oh Whoa Did you see way guys looked at us Hey guys Guys We forgot beer No Sure you got everything you need Cos once you get up there Can I help you Uh yeah Where is your beer at 's in back You see way them kids looked Read list back to me OK quarter inch nails hacksaw baling hooks brush clearing clamps Hey do we need more bug,anger
2,"- ""crosscutting handsaw... - Chad? - lubricated condoms... - Chad? Hand drill... _.feminine napkins, stone bit, one-eighth hole saw... - Oh, my God! - It's just me. Let's get out of here. This place is so creepy. - Dale, we need anything else? - Pickled eggs. Six-pounder. Oh, hot dog, Tucker. Have you ever seen anything like that in your life? There's nothing so special about them. - They're just your average college girls. - Nothing average about that. You know something, Dale? She's just human. Why don't you go over there and talk to her? Talk to her? What? What in the world would I say? I don't know. Tell her that you got a vacation home. That'll probably impress her. Are you out of your mind, Tucker? These are college girls. They grew up with vacation homes, and guys like me fixing their toilets. You gotta have some faith in yourself, man. Girls can smell fear. Now come on! You are a good-lookin' man... more or less. You got a damn good heart. Yup. I mean, that's two things right there. Now, go on, get over there. What's the worst that could happen? You know something? - You're right, Tuck. I'm gonna do it. - All right. - I'm gonna do it right now. - All right, hold up. All right, now, whatever you say, just smile and laugh. It shows confidence. Smile and laugh. OK. - Do it. - All right. You guys, uh...goin' campin'?",86.33399999999999,248,crosscutting handsaw lubricated condoms drill napkins stone bit eighth hole saw Oh my It is just me Let us get out of here place is so creepy we need anything else Pickled eggs pounder Oh hot dog Have you ever seen anything like that in your life There is nothing so special about them They are just your average college girls Nothing average about that You know something She is just human Why do not you go over there and talk to her Talk to her What What in world would I say I do not know Tell her that you got vacation home That will probably impress her Are you out of your mind These are college girls They grew up with vacation homes and guys like me fixing their toilets You got to have faith in yourself man Girls can smell fear Now come on You are good lookin ' man more or less You got damn good heart Yup I mean that is things right there Now go on get over there What is worst that could happen You know something You are right I am going to do it All right I am going to do it right now All right hold up All right now whatever you say just smile and laugh It shows confidence Smile and laugh OK Do it All right You guys uh going campin,neutral
3,"Hey! Hey. Now, look... we don't want any trouble, all right? - So just...back off. - Whoa! - OK. OK. I'm sorry. - Back off! Get in the truck. That's a-a good-lookin' cooler... I told you, Tucker. I'm a zero with the ladies. They hate my face! Come on. I ain't like you, Tucker, you know? I can't talk to the ladyfolk the way you can. No one can. I mean, I... I always get all stupid, and my hands get clammy, and I just act like a big fat idiot. You know what your problem is? You got an inferiority complex. No, I don't. - Yeah, yeah. - No. Let me tell you something, life is short. You got to go after what you want. Mm-hm. Cos it sure as hell ain't gonna just fall right in your lap. - That's true, I reckon. - Aw, shit. - What are you doing? - Shit, shit. We got a cop. Oh, I got you. I got a rag. Move your arm. You spilled beer all over your crotch. All right, he's pulling over. - Get up, Dale. - I can't. - Dale, he's coming. - No, it's stuck on my sleeve. - Get up. - My hand is stuck on... Un-stuck it, then. He's out of his car. He's out of his car? He's coming. - Tucker! - Get it... Yeah. - Howdy, Officer. - Hey. - It's a beautiful day, isn't it? - Yeah. License, please. Uh, I lost my wallet a couple weeks back. New one is in the mail. Temporary. Where you two headed? We're headed to our vacation home up by Morris Lake. I sank every penny I had into it.",87.45700000000001,285,Hey Hey Now look we do not want trouble all right So just back off Whoa OK OK I am sorry Back off Get in truck That is good lookin cooler I told you I am with ladies They hate my face Come on I are not like you you know I can not talk to ladyfolk way you can one can I mean I I always get all stupid and my hands get clammy and I just act like big fat idiot You know what your problem is You got inferiority complex No I do not Yeah yeah No . Let me tell you something life is short You got to go after what you want - hm Cos it sure as hell are not going to just fall right in your lap That is true I reckon Aw shit What are you doing shit We got cop Oh I got you I got rag Move your arm You spilled beer all over your crotch All right he is pulling over Get up I can not he is coming No it is stuck on my sleeve Get up My hand is stuck on Un - stuck it then He is out of his car He is out of his car He is coming Get it Yeah How Do You Hey It is beautiful day is not it Yeah License please Uh I lost my wallet couple weeks back New one is in mail Temporary Where you headed We are headed to our vacation home up by I sank penny I had into it,anger
4,"Me and Dale here, we're gonna go fix 'er up, maybe do a little fishin'. - Do a little fishin'. - He's been striking out with the ladies. I figured a little man time might do him some good. There ain't nothing up there but pain and suffering on a scale you can't even imagine. I pulled you over cos you got a broken turn signal. Oh, yes, sir. See that you, uh... get that fixed. That was very helpful. - Man, that was tense. - That dude's weird. There he goes. Bye _ God, would you look at him? You know what his problem is? He was jealous because he can't afford a place of his own. Ah. Well... Here's to the good life, huh? - Oh, yeah. - To the good life, man. I mean, what's a parasite? Oh, look at this little truck right here! I know, I know. Is that ours? Wow. And another one right there. Oh, my God. It's perfect! - And what did they call this, a fixer-upper? - Yeah. - All right, let's go check it out inside. - Yeah. I can't believe this is ours! Oh, my God! - Well, it's just a little dusty is all. - It's a mansion! Whoever used to live here must have been an archaeologist or something. Yeah, archae... Yeah. Look at this. Must have been a real news junkie, too. Chubby's Chili Dog Depot? Buy three, get two free. No expiration date. - All right. - Score!",87.20800000000001,253,Me and here we are going to go fix er up maybe do little fishin Do little fishin He is been striking out with ladies I figured little man time might do him good There are not nothing up there but pain and suffering on scale you can not even imagine I pulled you over cos you got broken turn signal Oh yes See that you uh get that fixed That was very helpful that was tense dude 's weird There he goes Bye would you look at him You know what his problem is He was jealous because he can not afford place of his own Ah Well Here is to good life Oh yeah To good life man I mean what is parasite Oh look at little truck right here I know I know Is that ours Wow And one right there Oh my It is perfect And what did they call this fixer upper Yeah All right let us go check it out inside Yeah I can not believe this is ours Oh my Well it is just little dusty is all It is mansion Whoever used to live here must have been archaeologist or something Yeah Yeah Look at this Must have been real news junkie too 's Buy get free expiration date All right Score,surprise
5,"Tucker, look! They got my favourite board game here, too. You know what? I tell you something, Dale. I cannot believe that I am standing in my own vacation home right now. You know something? Dreams really do come true. Look out! - Whoa! - Well, I guess we should fix that. Yeah, that's a good idea. You can get off me now. If you have a reoccurring dream about sucking a dick but never do it, are you gay? - Yes. - Really? - Guys! - Are you serious? - What? - You guys want to hear a scary story? No! Chuck, no. - Absolutely not. - That's not funny. - You're such a liar. - It happened to my cousins, I think. Now, do you fuckers want to hear a real story? Huh? This story happened right here, right in these very woods. It was 20 years ago today. The Memorial Day Massacre. How a bunch of college kids... just like us... they came out here to have a good time... but little did they know that they weren't the only ones in these here woods. Pump Up The Jam) Pump it up While your feet are stompin'. And the jam is pumpin'... J' Pump it up a little more. J* Get the party going on the dance Hoof. J' See, cos that's where the... Get another one! Come on! J' I'm gonna meet my maker. J' I ain't afraid to die.",87.29299999999998,244,look They got my favourite board game here too You know what I tell you something I can not believe that I am standing in my own vacation home right now You know something Dreams really do come true Look out Whoa Well I guess we should fix that Yeah that is good idea You can get off me now If you have reoccurring dream about sucking dick but never do it are you gay Yes Really Guys Are you serious What You guys want to hear scary story No Absolutely not That is not funny You are liar It happened to my cousins I think Now do you fuckers want to hear real story Huh story happened right here right in very woods It was years ago today How bunch of college kids just like us they came out here to have good time but little did they know that they were not only ones in here woods Pump Up Pump it up While your feet are stompin And jam is Pump it up little more Get party going on dance See cos that is where Get one Come on I am going to meet my maker I are not afraid to die,amusement
6,"- Hey, what the hell are you doing? - Yeah, put that back on. No, no. This is cool, I like this. Only one person lived to tell this story. The rest of them just disappeared... and their bodies are buried beneath us. Hey! Hey! There's a lake back there. Who wants to go skinny dipping? - I do. - Yeah. - All right. - I'm not getting naked. Uh... That's OK, Tuck. You take that. That's yours. That's why you're never gonna get ahead in life. It's cos you don't stick up for yourself. Do not even think about it. - But you just said... - Are you kidding me? - OW! - Are you serious? What'd I just say? - You said I gotta stick up for myself. - I said, ""Don't even think about it"", though. That was the last thing I said. Hello? Is someone there? Guys? Yargh! God, Chad! What the hell are you doing? - You are such an asshole. - Come on, that was funny. No, it wasn't. You got nothing to worry about, Allie. It's just me. You totally freaked me out. You know, you can drop the act now. - What act? - Like you're better than everyone else. - I don't think... - Yeah, you do. But that's OK, Allie, because I get it. I mean, you are better than everyone else. You and I, Allie... are cut from a different cloth. You know what I mean? - I'm not... I... - All I'm saying is...",87.75600000000003,256,Hey what hell are you doing Yeah put that back on No no This is cool I like this Only person lived to tell story rest of them just disappeared and their bodies are buried beneath us Hey Hey There is lake back there Who wants to go skinny dipping I do Yeah All right I am not getting naked Uh That is OK You take that That is yours That is why you are never going to get ahead in life It is cos you do not stick up for yourself Do not even think about it But you just said Are you kidding me Are you serious What did I just say You said I got to stick up for myself I said Do not even think about it though That was last thing I said Hello Is someone there Guys What hell are you doing You are asshole Come on that was funny No it was not You got nothing to worry about It is just me You totally freaked me out You know you can drop act now What act Like you are better than everyone else I do not think Yeah you do But that is OK because I get it I mean you are better than everyone else You and I are cut from different cloth You know what I mean I am not I All I am saying is,amusement
7,"I'm glad that we have this chance to get to know each other better. Chad, you're drunk. That's a good thing. It lowers my inhibitions. OK, uh... - Come on, stop. - Why? Why? Why stop? We're perfect for each other. Let's talk about this later. I'm gonna go catch up with everyone. Come on, Allie. Come on... Oh, it's so cold! Here we go! What's that all about? I don't know, but I think we should go check it out. No. No, Tuck, you know what? My guess would be that they don't really want to see us right now. - Yeah, I kind of want to see them. - No, no. What the hell are you doing? - Damn it, Dale! - What? I'm not gonna go around one more time with you on this. - OK. - Hush. Whoo-hoo! I love camping! Look. Oh. - Tucker! - Shush! God damn it, Dale! What the hell is the matter with you? Me? What did I do? When you see a college girl prancing around in front of you half-naked, - you do not yell out my name. - Well, you were being a Peeping Tom. You are hopeless, do you know that? You're hopeless. She didn't come up yet. - Tuck, paddle. - Oh, Jesus. Hey! Lady? Hey, lady! - Where'd she go, Tuck? - Whoa, whoa, Dale! Help me get her in the boat! Come on! Get her legs! Oh! No!",88.63300000000001,244,I am glad that we have chance to get to know other better you are drunk That is good thing It lowers my inhibitions OK uh Come on stop Why Why Why stop We are perfect for other Let us talk about this later I am going to go catch up with everyone Come on Come on Oh it is so cold Here we go What is that all about I do not know but I think we should go check it out No No you know what My guess would be that they do not really want to see us right now Yeah I kind of want to see them No no What hell are you doing Damn it What I am not going to go around more time with you on this OK I love camping Look Oh damn it What hell is matter with you Me What did I do When you see college girl prancing around in front of you half naked you do not yell out my name Well you were being You are hopeless do you know that You are hopeless She did not come up yet paddle Oh Hey Hey lady Where did she go whoa Help me get her in boat Come on Get her legs Oh No,love
8,"- Hey, we got your friend! - Oh, God! They got Allison! Come on! Hey! We got your friend! Why the hell are they running away? Hey! Doesn't matter, Tucker, we gotta get her back to the cabin. Come on, let's row. - Shit! - Oh, man. Shit. Chad! Chad! The hillbillies... - What hillbillies? - From the store! They captured Allison! Allie! Oh, God! No. - No, please! No, please, don't... - Don't...don't cry. Please don't cut me open! Oh! It's the pancakes! You hate pancakes! I'll go make you something else. I'll just... Doesn't like pancakes. Should have asked her if she liked pancakes. Big fat stupid idiot! Pa... Pancakes? Allison! I don't understand. Where do you think they took her? - Maybe they took her to the hospital. - You don't get it, do you? Chuck, tell him what you saw. Well, it was really dark, but it looked like one of the guys was... like...eating her face off. That is so disgusting. Not to sound too cliché, but shouldn't we go to the police? And just leave Allison with them? If they already ate her, what difference does it make? We don't need the police. We can handle this on our own. What if I go? It's my dad's truck. He told me I was the only one allowed to drive it. Fine. You wanna go, Chuck? Then just go. OK, awesome. I'll be back in a jiffy, I swear. That's such bullshit. Why does he get to go? Hey, guys! You better come look at this.",89.04499999999999,261,Hey we got your friend Oh They got Come on Hey We got your friend Why hell are they running away Hey Does not matter we got to get her back to cabin Come on let us row Oh man Shit hillbillies What hillbillies From store They captured Oh No No please No please do not Do not do not cry Please do not cut me open Oh It is pancakes You hate pancakes I will go make you something else I will just Does not like pancakes Should have asked her if she liked pancakes Big fat stupid idiot Pa Pancakes I do not understand Where do you think they took her Maybe they took her to hospital You do not get it do you tell him what you saw Well it was really dark but it looked like of guys was like eating her face off That is so disgusting Not to sound too cliché but should not we go to police And just leave with them If they already ate her difference does it make We do not need police We can handle this on our own What if I go It is my dad 's truck He told me I was only allowed to drive it Fine You want to go Then just go OK awesome I will be back in jiffy I swear That is such bullshit Why does he get to go Hey guys You better come look at this,anger
9,"What is this place? It's just a cabin. It doesn't mean they're psycho killers. Oh, yeah? Then why don't you go in there and talk to them? All right. Maybe I will. I said maybe. There you go. Please don't tell me that you hate eggs and bacon. Wha-What am I doing here? Oh, you don't remember? OK. Uh... Well, me and Tucker... I mean, uh, I and Tuck... Well... - Tucker and I brung you here last night. - Why? Because you were about to go swimming with your friends, and you climbed up on a bunch of rocks, and you fell and banged your head and then you fell into the water, and then... I dove in and rescued you. - Wait, you...you were spying on us? - No. No, what? No! No, we weren't spying. No, I swear to God, no, no. We were out there fishin'. OK? I didn't... We didn't see... I didn't see... Maybe Tucker might have seen a little... Where are my friends? - They ran off into the woods. - They just left me? Yeah, but don't be mad at them. Some people just aren't any good in a crisis, and that's why Tucker and I brung you here, hoping that they would come get you in the morning. I didn't have any girlie clothes, so... it's OK, I... I never really had much fashion sense, anyway. - Me neither. - Yeah. That's my dog, Jangers. He looks mean, but he's just a big old marshmallow.",88.46500000000002,254,What is place It is just cabin It does not mean they are psycho Oh yeah Then why do not you go in there and talk to them All right Maybe I will I said maybe There you go Please do not tell me that you hate eggs and bacon Wha What am I doing here Oh you do not remember OK Uh Well me and I mean uh I and Well and I brung you here last night Why Because you were about to go swimming with your friends and you climbed up on bunch of rocks and you fell and banged your head and then you fell into water and then I dove in and rescued you Wait you you were spying on us No No what No No we were not spying No I swear to no no We were out there fishin OK I did not We did not see I did not see Maybe might have seen little Where are my friends They ran off into woods They just left me Yeah but do not be mad at them people just are not good in crisis and that is why and I brung you here hoping that they would come get you in morning I did not have girlie clothes so it is OK I I never really had much fashion sense anyway Me neither Yeah That is my dog He looks mean but he is just big old marshmallow,anger
10,"You can just pet him round the nose. - He's drooling. - I know. Anyway, um...I'm sorry about all the mess around here. Tucker just bought this place, and, uh...you know... Yeah, I'm sure it doesn't look like much to a high-class girl like you, but we've always just had sort of a dream to have our own vacation home. But, uh...anyway... you should relax and rest, OK? Hey, what's... what's your name? Uh... It's Tale. Ducker. My name... - My name is Dale. - I'm Allison. But my... my friends call me Allie. Well, it's a real pleasure to meet you, Allie...son. And if you need anything else, you just holler for me. I'll be right in the little room here. - Uh, Dale? - Yeah. Do you guys have anything to do around here? Do you like board games? What kind do you have? We got this one right here. It's my favourite. Trivi-Up. - Yes! - Come on, four out of seven. No way, dude. You lost. Just shut up and walk, bitch. Goddamn Romeo. Oh, well. Oh, Jesus. Aargh! Aargh! Argh! Run! Run for your lives! Yargh! Here we go. Big roll. Five. One, two, three, four, five. OK, shoot. Who was the fifth President of the United States? Oh, that's too easy. That's James Monroe. God, you are right again. You are killing me. I know. I'm sorry about that. I just...",88.99800000000002,237,You can just pet him round nose He is drooling I know Anyway um I am sorry about mess around here just bought place and uh you know Yeah I am sure it does not look like much to high class girl like you but we have always just had sort of dream to have our own vacation home But uh anyway you should relax and rest OK Hey what is what is your name Uh It is My name My name is I am But my my friends call me Well it is real pleasure to meet you son And if you need anything else you just holler for me I will be right in little room here Uh Yeah Do you guys have anything to do around here Do you like board games What kind do you have We got one right here It is my favourite Yes Come on out of way dude You lost Just shut up and walk bitch Oh well Oh Run Run for your lives Here we go Big roll OK shoot Who was fifth of Oh that is too easy That is you are right again You are killing me I know I am sorry about that I just,annoyance
