Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"A long, long time ago, the earth was ruled by dinosaurs. They were big, so not a lot of people went around hassling 'em. Actually, no people went around hassling 'em because there weren't any people yet. Just the first tiny mammals. Basically life was good. - You know, it just don't get no better'n this. - Yeah. Then somethin'happened. A giant meteorite struck the earth. Good-bye, dinosaurs. But what if the dinosaurs weren't all destroyed? What if the impact of that meteorite created a parallel dimension... where the dinosaurs continue to thrive and evolve into intelligent...",41.174,97,long long time ago earth was ruled by dinosaurs They were big so not lot of people went around hassling them Actually people went around hassling them because there were not people yet Just first tiny mammals Basically life was good You know it just do not get better'n this Yeah Then somethin'happened giant meteorite struck earth Good bye dinosaurs But what if dinosaurs were not all destroyed What if impact of meteorite created parallel dimension where dinosaurs continue to thrive and evolve into intelligent,neutral
2,"vicious, aggressive beings, just like us? And, hey! What if they found a way back? Hey, lady, what are you doing! - Where's the rock? - Koopa! Welcome to Miraculous World... where each week we ask unanswered questions. Today on our Miraculous World, another dimension... the universe next door. - An alternate world separated by time and space... and yet somehow joined and contiguous with our own. Mario Brothers Plumbing, no leak too small.",31.831,74,vicious aggressive beings just like us And hey What if they found way back Hey lady what are you doing Where is rock Welcome to where week we ask unanswered questions Today on our dimension universe next door alternate world separated by time and space and yet somehow joined and contiguous with our own leak too small,curiosity
3,"Uh-huh. Uh-hu... no, no, no. Don't touch it. No, no... It's not a big problem. Just leave it to the professionals. When I looked around, I was somewhere else. - Another dimension, you mean? - Sure. - Another dimension, the universe next door. - Okay, we'll be right there. Luigi! We got a broken dishwasher at the Riverfront Café. You know what that means? - Yeah, yeah, yeah. - We got work! Oh, Mario, Mario, right now on ""Miraculous World, '"" this guy just found out... that he was in another dimension. The only thing miraculous I know is that we're still eatin'...",32.169999999999995,103,Uh - huh Uh - no no no Do not touch it No no It is not big problem Just leave it to professionals When I looked around I was somewhere else dimension you mean Sure dimension universe next door Okay we will be right there We got broken dishwasher at You know what that means Yeah yeah yeah We got work Oh right now on guy just found out that he was in dimension only thing miraculous I know is that we are still eatin,neutral
4,"- while we're goin'broke. - We ain't ""goin""' broke, Mario. We're already there. - Yeah? - Ow! Oh! Are you spendin'money on this stuff? Look at this! Yeah, but that's got the article about the missing Brooklyn girls in it. Oh, yeah? It's also got one on the scientist... - who turns brains into cheese. - Yeah, well, you don't know. It could happen. How could that possibly happen? Anything's possible, Mario. You just gotta believe. I do believe. I believe the rent is three months overdue. That's what I believe. - Hey, turn left here. - Fine, fine.",35.81399999999999,99,while we are goin'broke We are not goin broke We are already there Yeah Ow Oh Are you spendin'money on stuff Look at this Yeah but that is got article about missing girls in it Oh yeah It is also got on scientist who turns brains into cheese Yeah well you do not know It could happen How could that possibly happen Anything 's possible You just got to believe I do believe I believe rent is months overdue That is what I believe Hey turn left here fine,neutral
5,"Left! I said left! - What are you doin'? - I don't know, Mario. Just trust me, I got a good feeling about this alleyway. I don't know. - What? - My instincts tell me this would be faster... Breathe in, big brother, we'll get there. Luigi! You know, I read that sea turtles navigate thousands of miles on instinct. Not in New York traffic they don't. What're you complainin' about? Come on, we're here, aren't we? - You're getting worse. - I'm gettin' worse? How did we get into sea turtles?",33.038,92,Left I said left What are you doing I do not know Just trust me I got good feeling about alleyway I do not know What My instincts tell me this would be faster Breathe in big brother we will get there You know I read sea turtles navigate thousands of miles on instinct Not in traffic they do not What are you about Come on we are here are not we You are getting worse I am gettin worse How did we get into sea turtles,annoyance
6,"- Faster. What'd I tell ya, huh? - It's a miracle we made it alive. I thought you didn't believe in miracles, Mr. Tough Guy, huh? Scapelli! They beat us to it again. Another lost job! One of Brooklyn's largest construction projects... has been ordered shut down as university students... continue their search for dinosaur bones. Head contractor Anthony Scapelli is now arriving... hoping to settle the dispute. Hey, Mr. Scapelli! - Who's in charge of this hole? - It's him again. - I'm the boss here. - I'm Anthony Scapelli. I'm the boss elsewhere.",34.645,95,What did I tell It is miracle we made it alive I thought you did not believe in miracles They beat us to it again lost job of 's largest construction projects has been ordered shut down as university students continue their search for dinosaur bones Head contractor is now arriving hoping to settle dispute Hey Who is in charge of hole It is him again I am boss here I am I am boss elsewhere,neutral
7,"My boys need to get back to work here. How long are you gonna be diggin' up these bones? As long as our court order lasts, Mr. Scapelli. The university has explained to you how important this site is. But we'd be done here a lot sooner if your goons would stop harassing us. You look like a smart girl. I bet you'll be done by tonight. I know a lot of girls who've been going missing in Brooklyn lately. I'd be careful. James, I'm gonna find a phone and call the university. All right. Keep everyone digging 'til I get back. They say it's dog.",35.708,106,My boys need to get back to work here How long are you going to be diggin up bones As long as our court order lasts university has explained to you how important site is But we would be done here lot sooner if your goons would stop harassing us You look like smart girl I bet you will be done by tonight I know lot of girls who have been going missing in lately I would be careful I am going to find phone and call university All right Keep everyone digging til I get back They say it is dog,caring
8,"Don't blow it this time. There she is. - Yeah, you sure? - Two arms, one head, two legs. Koopa's gonna kill us if we blow it again. Let's get her! Luigi, I told you to check the radiator. Take it easy, will ya? Relax, it's been makin' that sound all week. Oh, come on, Luigi, you didn't tell me... Oh, man! Be careful, it's hot. Be careful. - Aah! Here we go. - I'll do this. - Go check the messages. See if we got any work. - All right. All right.",32.172999999999995,93,Do not blow it time There she is Yeah you sure arms head legs 's going to kill us if we blow it again Let us get her I told you to check radiator Take it easy will it is been makin that sound week Oh come on you did not tell me Oh man Be careful it is hot Be careful Here we go I will do this Go check messages See if we got work All right All right,caring
9,"Ow! - I missed. - Nice job! Where're you goin'? To get some water. Hello, this is Al Bronsky... from Al Bronsky's Department Stores. - I have a big flood over here. So get all your plumbers. Get extra plumbers. - Thanks. Bring every plumber you... Everybody's got tap water! Three bucks! - Any jobs? - No.",28.225,57,Ow I missed Nice job Where are you going To get water Hello this is from 's I have big flood over here So get all your plumbers Get extra plumbers Thanks Bring plumber you Everybody 's got tap water bucks jobs No,disappointment
10,"Thank you. Hi, it's Daisy. Listen, we're gonna need more security down here. I don't care about the money. Scapelli's down here making threats, and I... She's beautiful, huh? - Who? - Her. Her? - She's nice. Go talk to her. Go on! - No. I can't. I can't. - Come on, go talk to her. What's the matter with you? - I don't know what to say. Fine. Bye.",28.088999999999995,70,Thank you Hi it is Listen we are going to need more security down here I do not care about money 's down here making threats and I She is beautiful Who Her Her She is nice Go talk to her Go on No I can not I can not Come on go talk to her What is matter with you I do not know what to say Fine,gratitude
