Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Thirty seconds and counting. Power transfer is complete. We're on internal power with the launch vehicle at this time. T minus 20 seconds and counting. All the second-stage tanks now pressurised. T minus 15 seconds. Guidance is internal. Twelve, eleven, ten, 9... Ignition sequence starts. Six, five, four, three, two, one, zero. All engines running. Lift off! We have a lift off.",27.858,62,seconds and counting Power transfer is complete We are on internal power with launch vehicle at time T minus seconds and counting second stage tanks now pressurised T minus seconds Guidance is internal Ignition sequence starts engines running Lift off We have lift off,neutral
2,"And so in 1972, the Atlas Centaur rocket blasted off from our planet, a four-stage rocket that launched a probe way out into the blackness of space. The probe would use the energy from the sun and the gravitational pull of our neighbouring planets to cross our solar system. That momentum would then carry it on into the farthest reaches of the universe. The mission, to find intelligent life similar to ours out there in deep space.",27.591000000000005,77,And so in rocket blasted off from our planet stage rocket that launched probe way out into blackness of space probe would use energy from sun and gravitational pull of our neighbouring planets to cross our solar system momentum would then carry it on into farthest reaches of universe mission to find intelligent life similar to ours out there in deep space,neutral
3,"The probe carried a tablet which had inscribed on it the image of us humans, a man and a woman, and a map to locate us in the universe. Stage four disconnects and our probe is fired on its long journey. The world wished it bon voyage and may it find a friend out there in deep space. Thank you so much. Thank you. Thank you. Thank you. Hey! Thank you very much. Thank you. Thank you, nice to see you. Welcome, ladies and gentlemen.",25.964,85,probe carried tablet which had inscribed on it image of humans man and woman and map to locate us in universe Stage disconnects and our probe is fired on its long journey world wished it bon voyage and may it find friend out there in deep space Thank you so much Thank you Thank you Thank you Hey Thank you very much Thank you Thank you nice to see you Welcome ladies and gentlemen,gratitude
4,"When I interviewed Neil Clarke for The Book Programme, I knew he was extraordinary. Now, with the publication of his brilliant novel, reviewers agree he's joined the ranks of Britain's immortals. Ladies and gentlemen, Neil Clarke. Um, so I suppose I wanted to start off by asking you how did you manage such amazing insight into the soul of modern man and how do you know what men and women really want, just really the whole relationship between humanity and the cosmos? Yeah, well, I think I probably achieved that",27.580000000000002,90,When I interviewed for I knew he was extraordinary Now with publication of his brilliant novel reviewers agree he is joined ranks of 's immortals Ladies and gentlemen Um so I suppose I wanted to start off by asking you how did you manage such amazing insight into soul of modern man and how do you know what men and women really want just really whole relationship between humanity and cosmos Yeah well I think I probably achieved that,admiration
5,"by looking into my own soul, Catherine. Um, I studied its flaws, its potential, its urgent needs. I listened to its cries for help... ...and its yelps of anguish and, um, I... I spent five long years in a book which I hoped would throw open the doors of human perception and allow us to be engulfed in a sense of our own futility. Sorry about this, it's... Get off! Down! Ah!",28.308999999999997,72,by looking into my own soul Um I studied its flaws its potential its urgent needs I listened to its cries for help and its yelps of anguish and um I I spent long years in book which I hoped would throw open doors of human perception and allow us to be engulfed in sense of our own futility Sorry about this it is Get off Down Ah,remorse
6,"Oh, God. Go watch TV. Your dog is barking. My dog was barking because you rang the doorbell. I rang the doorbell because your dog was barking. Your lease says no pets. Well, he is a guide dog. You're not blind. I prefer the term ""optically challenged"". You're not optically challenged, either. Fiona, you live, like, three floors up. I mean, I don't...",22.242,63,Oh Go watch TV Your dog is barking My dog was barking because you rang doorbell I rang doorbell because your dog was barking Your lease says pets Well he is guide dog You are not blind I prefer term optically challenged You are not optically challenged either you live like floors up I mean I do not,neutral
7,"If you don't control your bloody dog, I am going to get it sent to Battersea Dogs Home. Right? - Hmm? - All right. Come on, Dennis, let's go and evacuate your bowels. Come on, Dennis. Come on. - Hi, Neil. - Hi, Catherine. Hey, it's funny, I was just dreaming about you. Really? Yeah, you were presenting me with an award for my novel. Oh, did you deserve it?",21.102000000000004,70,If you do not control your bloody dog I am going to get it sent to Right Hmm All right Come on let us go and evacuate your bowels Come on Come on Hey it is funny I was just dreaming about you Really Yeah you were presenting me with award for my novel Oh did you deserve it,amusement
8,"Well, I was proud but humble. Have you finished it, actually, in real life? Absolutely, almost, yeah. Cos last spring you were on chapter... Yeah, I've renumbered them. In fact, I've removed them. - Oh. - Yeah. I find the whole concept of chapters just gets in the way so... Yeah. Yeah, no, I can see that. I want reading it to be like being sucked into a giant vortex, you know. - Like going on Facebook. - Like Facebook, yeah. That's a good one.",24.849000000000004,85,Well I was proud but humble Have you finished it actually in real life Absolutely almost yeah Cos last spring you were on chapter Yeah I have renumbered them In fact I have removed them Oh Yeah I find whole concept of chapters just gets in way so Yeah Yeah no I can see that I want reading it to be like being sucked into giant vortex you know Like going on Like yeah That is good,pride
9,"""Like being sucked into a giant vortex."" Dennis, why do you let me say things like this, hey? Come on. Hmm. Mmm? Ah. - Come on, Ray. It's only 20 quid. - No, I can't, Neil. - Yeah, but it can't lose. - No. Look, I guarantee you a 50% return on your money before the end of classes today. So when do you make your move on Miss Booker Prize downstairs, then? Oh, I don't. Turns out she's a bit literal-minded, no foresight.",25.463,84,Like being sucked into giant vortex why do you let me say things like this hey Come on Hmm Ah Come on It is only quid No I can not Yeah but it can not lose No Look I guarantee you % return on your money before end of classes today So when do you make your move on downstairs then Oh I do not Turns out she is bit literal minded foresight,neutral
10,"Whereas me, I can see for miles into the future. A man needs a woman, Neil. - I've got Dennis. - Dennis is male. And he's a dog, in case you hadn't noticed. Yeah, well, I don't want to complicate my life. This is a tenner! Walk! Accessing representative images of earthlings. Communication will be carried on in the language of the species to be judged. I'm sorry, I'm not understanding. Ah.",23.744999999999997,72,Whereas me I can see for miles into future man needs woman I have got is male And he is dog in case you had not noticed Yeah well I do not want to complicate my life This is tenner Walk Accessing representative images of earthlings Communication will be carried on in language of species to be judged I am sorry I am not understanding Ah,remorse
11,"- Is that better, Kylie? - Understanding you now, Sharon. By the power invested in me by the Intergalactic Council of Superior Species, I hereby pronounce a destruction order on the planet Earth. With great respect, Sharon, we should not pronounce a destruction order before we've given these earthlings a chance to prove themselves. They've penetrated intergalactic space. Maureen is right. They're clearly not a superior species. Look at the way they copulate. If these earthlings can convince us that they are superior beings, then they may join our society.",35.145,90,Is that better Understanding you now By power invested in me by of I hereby pronounce destruction order on planet With great respect we should not pronounce destruction order before we have given earthlings chance to prove themselves They have penetrated intergalactic space is right They are clearly not superior species Look at way they copulate If earthlings can convince us that they are superior beings then they may join our society,neutral
12,"If they cannot, we must eliminate them, for the moral well-being of the entire Intergalactic Community. Thank you for explaining it to me, Sharon. Not at all, Miss Barker. No, Grant, I don't want to talk to you. No, I don't want to see you, either. We had a great time last summer but it's over. What part of over do you not understand? Thank you for calling. Goodbye. These questions of yours make it sound as if I thought this bloody author can string two words together.",23.415999999999997,88,If they can not we must eliminate them for moral well being of entire Thank you for explaining it to me Not at all No I do not want to talk to you No I do not want to see you either We had great time last summer but it is over part of over do you not understand Thank you for calling Goodbye questions of yours make it sound as if I thought bloody author can string words together,gratitude
13,"But he can. It's a wonderful book. Darling, didn't you read the memo? We're doing a demolition job. But it's the best thing he's ever written. Everyone says so. That's why we have to pee on it from a great height. I want ten new questions, please, before noon. Don't you know? She never reads the books. She hates books. Why is she presenting a book programme, then? I spy trouble. Just... Look, Catherine, you may despise her ego, but that's what people tune in to see. Not books, not authors, God forbid,",31.302000000000003,93,But he can It is wonderful book did not you read memo We are doing demolition job But it is best thing he is ever written Everyone says so That is why we have to pee on it from great height I want new questions please before noon Do not you know She never reads books She hates books Why is she presenting book programme then I spy trouble Just you may despise her ego but that is what people tune in to see Not books not authors forbid,admiration
14,"but Fenella's rampant, pulsating, sexually arousing ego. No, I think people watch because it's a book programme and they love books. Books are finished. Our job is to provide scandal, gossip and character assassination, with a thin veneer of literary respectability. Oh, so we're not just selling out, then? We've sold out? Exactly. For God's sake, smile. It's enough to make you weep, isn't it? What? The price of pickles. Don't even look at the marinated herring.",24.121000000000002,77,but 's rampant pulsating sexually arousing ego No I think people watch because it is book programme and they love books Books are finished Our job is to provide scandal gossip and character assassination with thin veneer of literary respectability Oh so we are not just selling out then We have sold out Exactly For 's sake smile It is enough to make you weep is not it What price of pickles Do not even look at marinated herring,neutral
15,"Honestly, you'd be suicidal. I didn't want them, anyway. Thanks. Um, I also offer support and counselling on dips, dried fruit and pasta sauces. She's gone. - The usual test, Sharon? - The usual test, Kylie. One earthling will be chosen randomly, as defined by the Intergalactic Manual of Good and Evil. Page 56. paragraph B. Uh, page 56, paragraph D. Uh, right.",23.983999999999998,63,Honestly you would be suicidal I did not want them anyway Thanks Um I also offer support and counselling on dips dried fruit and pasta sauces She is gone usual test usual test earthling will be chosen randomly as defined by of and Page paragraph Uh page paragraph Uh right,gratitude
16,"To prove that they understand the difference between good and evil. How will they prove it? They will be given the power that all superior beings have. The earthling will be capable of doing absolutely anything. What if he uses his power for evil? The Earth will be eliminated. But if he uses it for good? Then we welcome them to the Intergalactic Community. Are we ready, gentlemen? Commencing random selection of earthlings. Processing...",27.282999999999998,74,To prove that they understand difference between good and evil How will they prove it They will be given power that superior beings have earthling will be capable of doing absolutely anything What if he uses his power for evil will be eliminated But if he uses it for good Then we welcome them to Are we ready gentlemen Commencing random selection of earthlings Processing,excitement
17,"Processing... Earthling. Jolly good! Wait! Selected. The earthling has ten days to prove he can use absolute power for good rather than for evil. God. Fuck you! All they want me to do is help them sneer at people who write wonderful books. Well, my producer just wants me to dig up dirt on Amenhotep III.",22.152999999999995,56,Processing Earthling Jolly good Wait Selected earthling has days to prove he can use absolute power for good rather than for evil Fuck you All they want me to do is help them sneer at people who write wonderful books Well my producer just wants me to dig up dirt on,neutral
18,"I keep telling them he had a kind nature and lovely hands. I would have loved to spend an evening with Amenhotep III. Yeah, except he's been dead 4,000 years, Rosie, and he'd spend all day long talking about embalming. Well, find me a good one that's still breathing. Tell me about it. What about Grant? Oh, well, Colonel Grant turned out to have issues. - Issues? - Yeah, like being clinically insane. Shame.",25.710999999999995,74,I keep telling them he had kind nature and lovely hands I would have loved to spend evening with Yeah except he is been dead years and he would spend day long talking about embalming Well find me good one that is still breathing Tell me about it What about Oh well turned out to have issues Yeah like being clinically insane Shame,love
19,"Maybe that's overstating it. Uh, just obsessive, possessive and pathologically jealous. What about him upstairs? Oh, he tried to cheer me up in the supermarket. Oh, so he's gay? What? Well, he's sympathetic, interested, available. - That's the way life works. - No, he's not gay. He's... very likeable. Mr Clarke. Hi.",25.189,52,Maybe that is overstating it Uh just obsessive possessive and pathologically jealous What about him upstairs Oh he tried to cheer me up in supermarket Oh so he is gay What Well he is sympathetic interested available That is way life works No he is not gay He is very likeable Hi,neutral
20,"This is the twelfth time you've been late this month, Mr Clarke. Yeah, I got knocked off my bike. Yesterday you had food poisoning. Friday you thought it was Saturday. Monday you forgot to put your clock forward. Oh, everybody does that. Week last Wednesday it seems you had an appointment with the Dalai Lama. Yeah, I showed you the picture. That had Michael Jackson in it as well. Well, he's a great man. Great enough to appear in photographs when he's dead. You, Mr Clarke, are totally irresponsible,",27.870999999999995,89,This is twelfth time you have been late month Yeah I got knocked off my bike Yesterday you had food poisoning you thought it was you forgot to put your clock forward Oh everybody does that Week last it seems you had appointment with Yeah I showed you picture That had in it as well Well he is great man Great enough to appear in photographs when he is dead You are totally irresponsible,admiration
21,"you are idle and you are feckless. Feckless? Yes, you are without feck. If I could replace you, I would. Yeah, well, so would I. I just don't have anybody to replace me with. You a big skier? Well, I've had my moments. Hello, gorgeous. How about cocktails for two this evening? Go halves? Drop dead, Ray.",21.855999999999998,57,you are idle and you are feckless Feckless Yes you are without feck If I could replace you I would Yeah well so would I just do not have anybody to replace me with You big skier Well I have had my moments Hello gorgeous How about cocktails for evening Go halves Drop dead,anger
22,"All right. Think about it and get back to me. Knob. - Neil? - Yeah. If you could do anything, what would you do? Hello, Neil, love. Tinned mouse or fricassee of war victim? I will have the roast headmaster, please, Mrs B. You are a one. - There you go. - Thank you. Uh, I'll have the casserole, please, Mrs B. You'll enjoy that, Mr Ray. As long as you don't eat it. No, I mean, if you could make anything you want happen,",26.738999999999994,85,All right Think about it and get back to me Knob Yeah If you could do anything what would you do Hello love mouse or fricassee of war victim I will have roast headmaster please You are There you go Thank you Uh I will have casserole please You will enjoy that As long as you do not eat it No I mean if you could make anything you want happen,gratitude
23,"what would it be? I would make Dennis regurgitate my notes from chapter three. If you could make something impossible happen. Intact. What if you could make someone worship the ground you walked on? What, even if she thought you were a little shit? Come on, Ray. That would be taking an unfair advantage of an innocent girl. OK, but suppose there was one thing you could do that would change your life for the better? Oh, that's easy. I would make alien spaceships destroy 10C.",24.284,86,what would it be I would make regurgitate my notes from chapter If you could make something impossible happen Intact What if you could make someone worship ground you walked on What even if she thought you were little shit Come on That would be taking unfair advantage of innocent girl OK but suppose there was thing you could do that would change your life for better Oh that is easy I would make alien spaceships destroy,annoyance
24,"That sounded like it was in the school. Out of the way! Out of the way! Stand back, stand back. Stand back, stand back. Now, just stay calm. Oh, my God! Who was that? It was the Salubrious Gat of Galaxy G946 WOT. Gat, what do you think you're doing? Just practising, Sharon. We haven't done the judicial review yet. We may not want to destroy this species. Who are you kidding?",21.778,72,That sounded like it was in school Out of way Out of way Stand back stand back Stand back stand back Now just stay calm Oh my Who was that It was Salubrious Gat of what do you think you are doing Just practising We have not done judicial review yet We may not want to destroy species Who are you kidding,neutral
25,"445,349,722 new alien species encountered. Number granted membership of the Intergalactic Community of Superior Beings? Zero. We have high standards. You know you're going to wipe them out. It all depends on the earthling. And signs of a recovery seem as far away as ever. Hey. Hello, Dennis. Oh, Dennis. Couldn't you have waited?",23.301,54,new alien species encountered Number granted membership of of We have high standards You know you are going to wipe them out It all depends on earthling And signs of recovery seem as far away as ever Hey Oh Could not you have waited,disappointment
26,"We can now go live to our reporter Brenda Emmanus at the scene of the incident. It was here at Kinbrook Comprehensive School that an explosion killed 38 pupils. A police spokesman said they could not rule out a terrorist attack but say there were no connections with reports of a UFO sighting in the area. The head teacher, Mr Robert... Oh, sure, Dennis, it was an alien spaceship. What are you talking about? If I could make an alien spaceship destroy 10C,",25.328999999999997,83,We can now go live to our reporter at scene of incident It was here at that explosion killed pupils police spokesman said they could not rule out terrorist attack but say there were connections with reports of sighting in area head teacher Oh sure it was alien spaceship What are you talking about If I could make alien spaceship destroy,neutral
