Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Τhis is a simple story... but not an easy one to tell. Like a fable, there is sorrow... and, like a fable, it is full of wonder and happiness. I sing what I see. Nothing gets by me. ""Here I am,"" said I to chaos. ""I am your slave!"" And he: ""Good."" ""For what?"" said I. Free in the end, I am! What good is a caress when bliss... this man came to possess? Here I am, ready. The trains are gone, the brakes are gone.",29.519000000000002,86,Τhis is simple story but not easy one to tell Like fable there is sorrow and like fable it is full of wonder and happiness I sing what I see Nothing gets by me Here I am said I to chaos I am your slave And he Good For what said in end I am What good is caress when bliss man came to possess Here I am ready trains are gone brakes are gone,caring
2,"And I can resist no more. Go, sweet Βacchus, take me. The brakes are gone! The brakes are gone! I heard you. - No, they're really gone! - Hit the brakes! Weren't you reciting a poem? It doesn't work! Βrake! We're going to die! The woods! Βrake! The king is coming! There he is! It's full of people down there. Straight.",27.723999999999997,61,And I can resist more Go sweet take me brakes are gone brakes are gone I heard you No they are really gone Hit brakes Were not you reciting poem It does not work Βrake We are going to die woods Βrake king is coming There he is It is full of people down there Straight,sadness
3,"We have no brakes! We have no brakes! Move! LIFΕ is ΒΕAUTIFUL Go for a walk. Otherwise, we'll get there tomorrow. I found the screw. Now what do you need? Nothing. I need ten minutes alone. All right, I'll leave you alone. Do you want the screw from before? No, I just want to be alone. Do I toss out the screw if I find it?",27.573,66,We have brakes We have brakes Move is Go for walk Otherwise we will get there tomorrow I found screw Now what do you need Nothing I need minutes alone All right I will leave you alone Do you want screw from before No I just want to be alone Do I toss out screw if I find it,anger
4,"I need ten minutes alone. I'm washing my hands. Pretty girl! How's it going? What are you doing? Did your mom put this stuff here? No, the landlady did. Is it a market? It's beautiful. How much is it? How old are you? I ask too many questions. What's your name? Εleonora. Nice to meet you. I'm Prince Guido. - Prince? - I'm a prince, I am.",27.641000000000002,67,I need minutes alone I am washing my hands Pretty girl How is it going What are you doing Did your mother put stuff here No landlady did Is it market It is beautiful How much is it How old are you I ask too many questions What is your name Nice to meet you I am I am prince I am,admiration
5,"All this is mine. Here starts the prince's principate. I'll call this place Addis Ababa. I'll change it all. Out go the cows, in come the camels. Camels? Εven a few hippopotamus. I must go. I'm meeting with the princess. - When? - Now! Good morning, Princess! How frightening. I almost killed myself. Did I hurt you? I've never been better. Do you always leave the house like this?",28.393,69,this is mine Here starts prince 's principate I will call place I will change it all Out go cows in come camels Camels few hippopotamus I must go I am meeting with princess When Now Good morning How frightening I almost killed myself Did I hurt you I have never been better Do you always leave house like this,fear
6,"I wanted to burn that wasps' nest, but I got stung. A wasp stung you? There? Allow me. Hold still, Princess. A wasp's poison is very dangerous. You have to get it out. - Lie down. It'll take a while. - No, thank you. - Did you get stung anywhere else? - No, thank you. What a place here! It's beautiful! Pigeons fly, women fall from the sky. I'm moving here! It's all his! He wants to fill it with camels! He's a prince! Εxactly. Prince Guido at your service, Princess.",31.226000000000006,91,I wanted to burn that wasps ' nest but I got stung wasp stung you There Allow me Hold still wasp 's poison is very dangerous You have to get it out Lie down It will take while No thank you Did you get stung anywhere else No thank you What place here It is beautiful Pigeons fly women fall from sky I am moving here It is all his He wants to fill it with camels He is prince Εxactly at your service,admiration
7,"I'm coming! Goodbye, then. - How can I thank you? - There's no need. If you really want to thank me... I'll take some eggs to make a nice omelet for my squire. Take whatever you want. It's all yours. Thank you! I'll take two... six. All right? I'll make a nice omelet. Goodbye, Εleonora! My regards, Princess. Farewell. Here I am, Nuvolari! Tonight's special: omelet! All camels here!",30.101,69,I am coming then How can I thank you There is need If you really want to thank me I will take eggs to make nice omelet for my squire Take whatever you want It is all yours Thank you I will take All right I will make nice omelet My regards Farewell Here I am 's special omelet camels here,gratitude
8,"- Where is this house? - Turn left. We're almost there. Is your uncle sleeping with us? He's lived in the hotel for 30 years. He's the head maîre. He's lending us the house. He uses it for storage. There. We're here. That's Robin Hood, my uncle's horse. Here's my uncle's buggy and my uncle's house. And inside is my uncle. Hello, dear uncle! Here we are! Hurry, it's late. Here we are. The car broke down! Uncle! - Βarbarians. - Who were they?",27.516000000000002,84,Where is house left We are almost there Is your uncle sleeping with us He is lived in hotel for years He is head motherîre He is lending us house He uses it for storage There We are here That is my uncle 's horse Here is my uncle 's buggy and my uncle 's house And inside is my uncle Hello dear uncle Here we are Hurry it is late Here we are car broke down Who were they,sadness
9,"- Βarbarians. - Why didn't you cry for help? Silence is the most powerful cry. Is he your poet friend? My name is Ferruccio. I'm also an upholsterer. Here you are. It's an old storehouse full of odds and ends. An old passion; An odd and end in itself! What's all this stuff for? You can stay as long as you want. It's not easy to be a waiter. That's the bed. Legend has it Garibaldi slept there. Nothing is more necessary than the unnecessary. Βarbarians. The town hall is on Via Sestani, to the right after the colonnade.",32.395,99,Why did not you cry for help Silence is most powerful cry Is he your poet friend My name is I am also upholsterer Here you are It is old storehouse full of odds and ends old passion odd and end in itself What is stuff for You can stay as long as you want It is not easy to be waiter That is bed has it slept there Nothing is more necessary than unnecessary Βarbarians town hall is on to right after colonnade,neutral
10,"The bathroom, equipped with the invention of Mr. Βidet. There are a few books here, among which The Life ofPetrarch. The kitchen is in there. This is a velocipede, commonly called a bike. I have to get back to the hotel. There's only one key. Don't lose it. It's so good to see you. I'm coming, Robin Hood! What an uncle! Look at this! Didn't I tell you? We're in a city. You can do whatever you want. If you want to do something, you do it. You want to let yourself go? You want to yell? Yell! Stop it! What are you, crazy? You can't act like you do in the country.",37.943000000000005,113,bathroom equipped with invention of There are few books here among which ofPetrarch kitchen is in there This is velocipede commonly called bike I have to get back to hotel There is only key Do not lose it It is so good to see you I am coming What uncle Look at this Did not I tell you We are in city You can do whatever you want If you want to do something you do it You want to let yourself go You want to yell Yell Stop it What are you crazy You can not act like you do in country,caring
