StartTime,EndTime,FrameEmotion,Emotion
0:00:21,0:01:33,Anger,Joy
0:01:33,0:02:05,Sadness,Neutral
0:02:05,0:02:40,Love,Neutral
0:02:40,0:03:05,Joy,Neutral
0:03:05,0:04:02,Joy,Joy
0:04:02,0:04:17,Fear,Wonder
0:04:17,0:05:10,"Joy, Fear",Peace
0:05:10,0:06:20,"Fear, Peace",Wonder
0:06:20,0:06:47,Fear,Joy
0:06:47,0:07:28,"Joy, Wonder",Joy
0:07:28,0:08:35,"Peace, Fear",Joy
0:08:35,0:09:10,Love,"Peace, Joy"
0:09:10,0:09:41,"Love, Fear",Neutral
0:09:41,0:10:18,Fear,Neutral
0:10:18,0:11:08,"Fear, Peace",Wonder
0:11:08,0:11:30,Peace,Neutral
0:11:30,0:12:43,"Anger, Peace",Peace
0:12:43,0:13:48,Anger,Peace
