StartTime,EndTime,FrameEmotion,Emotion
0:00:20,0:01:20,Joy,Joy
0:01:20,0:02:09,Love,Joy
0:02:09,0:02:30,Anger,Joy
0:02:30,0:02:55,Love,Neutral
0:02:55,0:03:33,Anger,Joy
0:03:33,0:03:45,Disgust,Joy
0:03:45,0:04:50,Joy,Neutral
0:04:50,0:05:17,Sadness,Wonder
0:05:17,0:06:17,Sadness,Joy
0:06:17,0:07:10,Joy,Joy
0:07:10,0:07:40,Anger,Joy
0:07:40,0:08:30,Wonder,Joy
0:08:30,0:10:09,Wonder,Joy
0:10:09,0:11:23,Wonder,Wonder
0:11:23,0:12:13,Fear,Wonder
0:12:13,0:12:20,Anger,Neutral
0:12:20,0:12:56,Joy,Joy
0:12:56,0:13:25,Fear,Wonder
0:13:25,0:14:09,Fear,Joy
0:14:09,0:15:50,Fear,Joy
