StartTime,EndTime,FrameEmotion,Emotion
0:00:23,0:01:41,Joy,Neutral
0:01:41,0:02:40,"Love, Anger",Neutral
0:02:40,0:03:00,Love,Joy
0:03:00,0:04:18,Sadness,Joy
0:04:18,0:04:52,Love,Joy
0:04:52,0:05:54,Sadness,Neutral
0:05:54,0:06:42,Anger,Neutral
0:06:42,0:07:30,Neutral,Joy
0:07:30,0:08:10,"Sadness,Anger",Neutral
0:08:10,0:09:20,Joy,Joy
0:09:20,0:10:48,Love,Joy
0:10:48,0:11:27,Joy,Joy
0:11:27,0:12:39,Joy,Neutral
0:12:39,0:13:49,"Fear, Sadness","Sadness, Wonder"
0:13:49,0:14:45,Sadness,Sadness
