Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"WOMAN: I just don't want to make one of these tapes if it's something you do with every girl. MAN: Every girl? No, no. I am strictly a one-woman guy. WOMAN: Well, I don't want to end up all over the Internet. I pride myself on keeping a low profile. - My private life is private. - Hm. Wait. I thought you never did this before. What are all these? Oh, uh, just some movies I rented. ""Me and Brandy, Missionary""? A tale of two girls who become nuns. ""Me and Brandy, Doggy""? The sequel. The nuns adopt a chocolate lab. What are all those? Oh, that's just your standard home security setup. Basic run-of-the mill. No big deal, nothing too elaborate. Everybody has them. And why do you need security cameras pointing at your bed? In case a burglar tries to steal my sex tapes. Now, let's get into bed. Let's just make this quick. I have a court hearing in the morning. - Judge Henderson? - No. I wish. Thompson. Mm. That's going to suck for you. It was a driving mishap thingy. Do me a favor. Promise me you won't drive. That's sweet. You're worried about me driving. Mm-mm. I'm worried about me. I'm a pedestrian. (ELECTRICAL BUZZ) - Ow! Sorry. That's my sobriety monitor. (ELECTRICAL BUZZ) - Ow! Sorry. Sorry. (CLEARS THROAT) Ankle. Tracking bracelet. - Oh, wait. Wait. Sorry, just... (MOTOR RUMBLING) - Who put that on you? - I did. It's the only way I can have an orgasm. - Not tonight. (EXHALES) (BED SPRINGS SQUEAKING) - What are you doing? - Huh? Just... warming up. You sure we're alone here? Feels like there's somebody else in this house.",87.62599999999996,285,WOMAN I just do not want to make of tapes if it is something you do with girl girl No no I am strictly woman guy WOMAN Well I do not want to end up all over Internet I pride myself on keeping low profile My private life is private I thought you never did this before What are these Oh uh just movies I rented Me and tale of girls who become nuns Me and sequel nuns adopt chocolate lab What are those Oh that is just your standard home security setup Basic run of mill big deal nothing too elaborate Everybody has them And why do you need security cameras pointing at your bed In case burglar tries to steal my sex tapes Now let us get into bed Let us just make this quick I have court hearing in morning No I wish Mm That is going to suck for you It was driving mishap thingy Do me favor Promise me you will not drive That is sweet You are worried about me driving I am worried about me I am pedestrian Ow Sorry That is my sobriety monitor Ow Sorry Sorry Tracking bracelet Oh wait Wait Sorry just Who put that on you I did It is only way I can have orgasm Not tonight BED SQUEAKING What are you doing Huh Just warming up You sure we are alone here Feels like there is somebody else in house,remorse
2,"(SCREAM ECHOING) - Did you hear that? That's nothing. (CREAKING) - OK, what is that? Just... unraveling the old hose. Save it for tomorrow, Raul. Si, senor. (SOFT JAZZ PLAYING) (UPBEAT MUSIC PLAYING) (BELL DINGS) (BELL DINGS) (HORN HONKS) - Wow. That was amazing. (PANTING) (HORSE WHINNIES) LINDSAY: Charlie. - Wow. - Get out of here, Emilio. (SHRIEK ECHOES) (GASPS) (GROANING) Charlie, I'm scared. Lindsay, sweetie, there's nothing to be afraid of. (SCREAMING) (SHRIEKS) (CELL PHONE RINGING) MAN: Hey, I got the stuff. - I got to call you back, man. (GROANS) Ow! (BOTH SCREAMING) I think I better go. Really? How about tomorrow? You busy? (SCREAMING) I'm going to blow you across the room. Sounds awesome. (HISSES) (GRUNTS) NARRATOR: And thus our story begins. The large reward offered for the rescue of Charlie's kids drew the attention of police, private detectives and Red Cross volunteers. Everyone was on high alert for these children, except these two guys. No, man, Obamacare gives senior citizens access to cheaper drugs, free preventative care, and it closes the Medicare Part D loophole. And how does that help if I get shampoo in my dick hole? - What? - Mean to tell me you ain't never got - shampoo in your pee hole? - OK. - Maybe like once or twice. - Yeah, once or twice when you was playing with yourself.",88.308,228,Did you hear that That is nothing CREAKING OK what is that Just unraveling old hose Save it for tomorrow senor SOFT PLAYING HONKS Wow That was amazing PANTING WHINNIES Wow Get out of here I am scared there is nothing to be afraid of Hey I got stuff I got to call you back man GROANS Ow SCREAMING I think I better go Really How about tomorrow You busy I am going to blow you across room Sounds awesome GRUNTS And thus our story begins large reward offered for rescue of 's kids drew attention of police private detectives and volunteers Everyone was on high alert for children except guys No man gives senior citizens access to cheaper drugs free preventative care and it closes D loophole And how does that help if I get shampoo in my dick hole What Mean to tell me you are not never got shampoo in your pee hole OK Maybe like once or twice Yeah once or twice when you was playing with yourself,admiration
3,"No, I wasn't playing with myself. I was showering, and crazy got up in there. Bullshit. Cam Newton's law of gravity is: That thing must be up in order for that soap to go down. Well, either way, that shit stings like hell. Sting like a mother, man, it feel like it's a hornet up in there. And he found out his girl be, you know, doing her thing with another man. - Exactly. - I don't understand why the shampoo company can't fix that, man. They got ""No More Tears."" Why they can't make no more hornets in your dick? I don't really think they expect you to use the No More Tears on your dick. Well, why they call it Johnson & Johnson? I got a better question, man. What the hell are two stoners doing wandering around these spooky-ass woods? Look, it's going to be worth it. I told you... this is Humboldt County. This is where all the growers grow their bomb-ass shit. You think they're gonna be cool with us just helping ourselves? Look, man, we ain't taking no plants. We're gonna snip a few buds. You know what I'm saying? It's gonna grow back just like a lobster paw. You know, that's how nature do. I don't know, man. Just doesn't feel right. Man, they ain't gonna care. Look, man, we're gonna be cool. We're gonna roll one blunt, then we're gonna get up out of here. - Just one? - Just one. (MEN SHOUTING) (HELICOPTER WHIRRING) - They won't care, huh? - Man, just keep running. Holy shit. Is that a drone? They're going all Zero Dark Thirty on our ass. (WHOOSHING) (SCREAMS) Yo, I think they gone. Oh, whoa. It's a cabin in the woods. We need to go hide over in there. Nah, man, I'm not going in there. It reminds me of a horror movie I once saw. - What horror movie? - The one with the cabin in the woods. - Friday the 13th? - No. The one with the cabin in the woods. Texas Chain Saw Massacre? No, the one with the cabin in the woods. - The Ring. - Uh-uh. - The one with the cabin in the woods. - Blair Witch Project.",88.31599999999997,376,No I was not playing with myself I was showering and crazy got up in there Bullshit 's law of gravity is thing must be up in order for soap to go down Well way that shit stings like hell Sting like mother man it feel like it is hornet up in there And he found out his girl be you know doing her thing with man Exactly I do not understand why shampoo company can not fix man They got More Tears Why they can not make more hornets in your dick I do not really think they expect you to use No More Tears on your dick Well why they call it & I got better question man What hell are stoners doing wandering around spooky ass woods Look it is going to be worth it I told you this is This is where growers grow their bomb ass shit You think they are going to be cool with us just helping ourselves Look man we are not taking plants We are going to snip few buds You know what I am saying It is going to grow back just like lobster You know that is how nature do I do not know man Just does not feel right Man they are not going to care Look man we are going to be cool We are going to roll blunt then we are going to get up out of here Just Just HELICOPTER They will not care just keep running Holy shit Is that drone They are going on our ass I think they gone Oh whoa It is cabin in woods We need to go hide over in there man I am not going in there It reminds me of horror movie I once saw What horror movie one with cabin in woods 13th No one with cabin in woods Saw No one with cabin in woods Uh - uh one with cabin in woods,fear
4,"No, man, the one with the cabin in the woods. - The Munsters. - That wasn't in the woods. - They wasn't even a damn movie. - Look, man, we ain't got time for this shit right now. We need to get to that cabin in the woods. (GROANING) (CREAKING) - What the hell is that sound? Sound like the house settling. It looked new. - I'm gonna take a look around. - Go ahead. Ah! What is that? - Ah! - Ow! (GROANS) Where we shooting? - There. - Where? - The dark! - There? - No, this dark. Over there. Dude, what the hell was that? Big-ass Alaskan king crab just ran up on me, man. - Crab? Cuz, we banging? - Ja'Marcus, - put the guns down, man. - Put yours down first, homey. All right, on three. One, two, three. - Damn. - You want to try it again? Sure. One, two, three. One, two, three. Uno, dos, tres. Man, we could do this shit all day. - Truce? - Truce. Hey, yo, D'Andre. Look, homey. It's two little girls. - They're little racist girls, man. (GROWLING) Wearing blackface. Cool with that? - Hey, little girl, what's your name? (GROWLING) (MOCKING GROWL) (GROWLING) - What'd she say? - She said, ""I wonder what your leg"" - ""tastes like."" - What? Ah, man! Little spider girl bit me. Maybe you're going to get superpowers. - Ain't no black superheroes. - I'm on it. - Hi-ya! (GRUNTS) Yo. D'Andre, I think they're the missing kids from the news. - How can you be so sure? - Look. D'ANDRE: I don't know, man. - Well, if it is the missing kids, I'm gonna take that reward money, and I'm gonna buy me a yacht, fill it with cash, bitches and a shark. Why would you want to buy a shark? Trust me... we're gonna need a shark.",89.94800000000004,318,No man one with cabin in woods That was not in woods They was not even damn movie man we are not got time for shit right now We need to get to cabin in woods CREAKING What hell is sound Sound like house settling It looked new I am going to take look around Go ahead Ah What is that Ah Ow Where we shooting There Where dark There No dark Over there Dude what hell was that Big ass Alaskan king crab just ran up on me man Cuz we banging put guns down man Put yours down first homey All right on You want to try it again Sure dos tres we could do shit day Hey Look homey It is little girls They are little racist girls man GROWLING Wearing blackface Cool with that Hey little girl what is your name GROWLING MOCKING GROWLING What did she say She said I wonder what your leg tastes like What Ah man Little spider girl bit me Maybe you are going to get superpowers Are not black superheroes I am on it - ya GRUNTS I think they are missing kids from news How can you be so sure Look D'ANDRE I do not know man Well if it is missing kids I am going to take reward money and I am going to buy me yacht fill it with cash bitches and shark Why would you want to buy shark Trust me we are going to need shark,anger
5,"No, this can't be right. (BEEPING) (GRUNTING) (URINATING) (GROANING) (RINGING) Hi, Mom. (SHRIEKS) I got to call you back. No baby, no baby, no baby, no baby. (BEEPING) FEMALE VOICE: You're pregnant... - No! ...with anticipation over the outcome of this iPregnancy test, which has determined that you are... You got to be kidding me. Oh, no. Not pregnant. You dodged a bullet, you lucky slut. (SIGHS) Thank you, God. Sweet! Great news: They found my brother's kids. Oh, crap. MAN: We're very fortunate the older one, Kathy, has retained most of her vocabulary. The baby hasn't actually said a word. - Why not? - Because he's a baby. They've been alone here over three long months. I need to warn both of you that this is not going to be easy. I'm ready for it. - Hello. - No, no. Wrong window. Here's where the children are. (PANTING) - What is she doing? MAN: In order to survive their extreme isolation, the girls created an imaginary guardian, a parent figure to feed them, sing to them. They call her Mama. But these may help you break through. And the Ritalin may help, as well. The proper dosage for someone their age is... Wish me luck. (CHILD PANTING) Hey, Lily. Oh, how cute.",87.48599999999999,213,No this can not be right GRUNTING SHRIEKS I got to call you back baby baby baby baby FEMALE VOICE You are pregnant No ! with anticipation over outcome of test which has determined that you are You got to be kidding me Oh no Not pregnant You dodged bullet you lucky slut Thank you Sweet Great news They found my brother 's kids Oh crap We are very fortunate older one has retained most of her vocabulary baby has not actually said word Why not Because he is baby They have been alone here over long months I need to warn both of you that this is not going to be easy I am ready for it Hello no Wrong window Here is where children are PANTING What is she doing In order to survive their extreme isolation girls created imaginary guardian parent figure to feed them sing to them They call her But these may help you break through And may help as well proper dosage for someone their age is Wish me luck CHILD PANTING Oh how cute,gratitude
6,"- OK. - Kathy. It's OK, Kathy. Remember these? You used to wear them to help you see better. No, no, no! Maybe we should get her some contacts... the soft kind. Daddy? No, sweetheart. Not Daddy. I'm your Uncle Dan. Remember? And this is Jody. Jo... dy. Jody. No pause between ""Jo"" and ""dy."" Jo... dy. Dan, we're at an impasse. I see constant conflict. It's fine. They'll warm up to you. (CHILD GROWLING) Ow! Hey, hey, hey, little lady, that's not how... You little mother...! Well, everything checks out. They seem like good kids, Doc. Just validate our parking. We'll take them home. - Folks, I wish it were that easy. - You don't validate? I'm saying the kids are not yours to take. Well, you can't win them all. Let's skedaddle. That's not fair. They're my brother Charlie's kids. We deserve them. Do you? Your wife plays in a punk rock band, staying out all night long, high on drugs, sleeping with a different man every night. I don't think the courts are gonna look upon that too favorably. - But... - I was just messing with you. - The kids are yours. - They are? Did you hear that, honey? They're ours! On one condition. This house is owned by the Institute for Case Studies. Every room is fully wired with cameras. If you move into the house, you get the kids. Can't we just sell the house and put the kids in a high-end orphanage? Jody, do you really think you're cut out to be a mom? Mm-mm. Mm-mm. - Of course she is. - Dan! Now, no more rock band, no more silly wig. It's not silly. It's all a part of me. - And no more tattoos. - What are you doing? What I had to. We're a perfect suburban couple.",89.673,308,OK It is OK Remember these You used to wear them to help you see better No no no Maybe we should get her contacts soft kind Daddy No sweetheart Not I am your Remember And this is Jody pause between and dy we are at impasse I see constant conflict It is fine They will warm up to you CHILD GROWLING Ow Hey hey hey little lady that is not how You little mother Well everything checks out They seem like good kids Just validate our parking We will take them home I wish it were that easy You do not validate I am saying kids are not yours to take Well you can not win them all Let us skedaddle That is not fair They are my brother 's kids We deserve them Do you Your wife plays in punk rock band staying out night long high on drugs sleeping with different man night I do not think courts are going to look upon that too favorably But I was just messing with you kids are yours They are Did you hear that honey They are ours On condition house is owned by for room is fully wired with cameras If you move into house you get kids Can not we just sell house and put kids in high end orphanage Jody do you really think you are cut out to be mother mm Of course she is Now no more rock band more silly wig It is not silly It is part of me And no more tattoos What are you doing What I had to We are perfect suburban couple,neutral
7,"NARRATOR: And so Dan and Jody headed to their new house with their new children. But, like a slutty sorority girl returning from spring break, they were also bringing home a hidden evil. JODY: All right, kids, here's our new house. And here's Uncle Dan. Hi. Don't forget about mommy! Dan, I'm not their mommy. They can call me Aunt Jody. - Or Jodes, J-Mom, Mrs. Sanders. (PANTING) Or, if they really want to call me... Garage! DAN: Here comes Jody and Aidan, entering the house for the very first time. This is where we're going to protect you and make sure nothing bad... Oh, my God, Aidan! I'm sorry. I'm so sorry. Maybe we should put him in the carrier. - There, see, that's better. - Come on, Aidan. What, what, what? - Relax, it's OK. - Oh, my gosh. - Dan, I lost the baby! - What? Oh, my gosh, Aidan! Aidan, where are you?! - Aidan! DAN: Where did you go? Oh, there he is, OK. (SIGHING) DAN: Here's your sister Kathy. Oh, Aidan, it's OK. DAN: You've just got to talk in a baby voice. - It doesn't even matter what you say. - OK. I'm your stepmommy. I'm not your fricking mommy. - There you go, you're a natural. (SNIFFING) - What's that smell? (BABY GROANING) (SCREAMING) DAN: Oh, my God, what do I do? Oh, oh! Here, this, hold on! (SCREAMING) KATHY: Uncle Dan! DAN: Kathy! Oh, sorry! - Ow! All right, there you go, sweetie. Is it chilly in here? I felt it as soon as I entered the room.",89.49100000000003,267,And so and headed to their new house with their new children But like slutty sorority girl returning from spring break they were also bringing home hidden evil JODY All right kids here is our new house And here is Do not forget about mommy I am not their mommy They can call me Or Or if they really want to call me Here comes and entering house for very first time This is where we are going to protect you and make sure nothing bad Oh my I am sorry I am so sorry Maybe we should put him in carrier There see that is better Come on What what what Relax it is OK Oh my gosh I lost baby What Oh my gosh where are you Where did you go Oh there he is Here is your sister Oh it is OK You have just got to talk in baby voice It does not even matter what you say OK I am your stepmommy I am not your fricking mommy There you go you are natural What is smell Oh my what do I do Oh oh Here this hold on Oh sorry Ow All right there you go sweetie Is it chilly in here I felt it as soon as I entered room,remorse
8,"DAN: Feels fine. Hey, what are these? This is interesting. What is this? I don't know, Mama drew that one. Look, we drew this picture for Aidan. See? It's Aidan on a rocket to the moon. - Oh. Sitting on a rocket. - Where's Lily? (GROWLING) Oh, no, sweetie, the other end. Ooh! Let's go introduce Aidan to the rest of the family. (SNIFFING) (THUD) Oh, and there's our furry family member. DAN: Yes, Maria. JODY: No, Dan, Artie. DAN: Oh, yes, of course, our dog Artie. - Ay, the new baby. I make blessing. - Oh. (SPEAKING SPANISH) OK, OK, that's good, Maria. Oh, my gosh. NARRATOR: With three new kids to care for, Dan really needed to start performing at work. Unfortunately he was having some issues with a colleague. DAN: OK, Caesar, this is the one, I can feel it. Eighty-one seconds? Oh, Caesar. That's your worst time yet. You're doing even worse on your creativity test. I mean, look at all the imaginative things I made out of blocks. Like this awesome plane. (MAKING PLANE ENGINE SOUND) (GRUNTS) Dan, do you have any results yet? Oh, well, I've been injecting the primates twice a day with the I-13 intelligence drug. I'm hoping in a week or so... I hope Caesar is not just a big waste of time and money. I'm the one responsible to the board. Just show me one thing positive. Look. They still throw their shit.",88.50900000000001,243,Feels fine Hey what are these This is interesting What is this I do not know drew Look we drew picture for See It is on rocket to moon Oh Sitting on rocket Where is Lily GROWLING Oh no other end Ooh Let us go introduce to rest of family Oh and there is our furry family member Yes No Oh yes of course our dog new baby I make blessing Oh SPEAKING OK that is good Oh my gosh With new kids to care for really needed to start performing at work Unfortunately he was having issues with colleague this is I can feel it seconds Oh That is your worst time yet You are doing even worse on your creativity test I mean look at imaginative things I made out of blocks Like awesome plane MAKING PLANE ENGINE GRUNTS do you have results yet Oh well I have been injecting primates twice day with intelligence drug I am hoping in week or so I hope is not just big waste of time and money I am one responsible to board Just show me thing positive Look They still throw their shit,optimism
9,"DAN: But now they can keep score. (GRUNTING) We have to kick-start this thing. When can we go to human trials? We're close, but there's an intermediate step. If the I-13 works on these reality wives... - You better check that shit. - Who gonna check me, boo? (OVERLAPPING SHOUTS) (GRUNTS, SCREAMS) We're pinning the future of our lab on wild beasts. They're not beasts. They have feelings, they have families. Males pee standing up, females pee sitting down. These apes are just like you. And me... you and me, blacks and whites. More like whites, of course. We whites are a lighter shade of ape whereas you are bla... dder infection, we're all at risk. So, what were we talking about again? Vaginas. - Shut up. - Yes, of course. Caesar has got to show some human intelligence at that board meeting... Caesar's probably smarter than half of those board members. - Dan... - I know what you're going to say. ""If he's so smart, why is he in a cage?"" You're in the cage. (BASS GUITAR PLAYING) What? - Oh, you're looking for this? - Uh-huh. It's my ballerina doll. - You made this? - Mama did, using twigs, moss, spiderwebs, sparrow bones, lizard eyes, - all held together with rat droppings. - Oh, geez. (ELECTRICITY SURGING) (SCREAMS) (BASS NOTES PLAYING) (VOCALIZING) (SCREAMS) Ah, ah, ah. What... what are you doing? I just can't deal with these kids. They're creepy. We should just take 'em back. Maybe you guys just need to find some common ground. What about that ballerina doll Kathy's always playing with? I don't want to talk about the ballet.",89.82799999999996,275,But now they can keep score GRUNTING We have to kick start thing When can we go to human trials We are close but there is intermediate step If works on reality wives You better check shit Who going to check me boo OVERLAPPING SHOUTS GRUNTS We are pinning future of our lab on wild beasts They are not beasts They have feelings they have families Males pee standing up females pee sitting down apes are just like you And me you and me blacks and whites More like whites of course We whites are lighter shade of ape whereas you are bla dder infection we are all at risk So what were we talking about again Vaginas Shut up Yes of course has got to show human intelligence at board meeting 's probably smarter than half of board members I know what you are going to say If he is so smart why is he in cage You are in cage PLAYING What Oh you are looking for this Uh - huh It is my ballerina doll You made this did using twigs moss spiderwebs sparrow bones lizard eyes all held together with rat droppings Oh geez NOTES PLAYING VOCALIZING ah ah What what are you doing I just can not deal with kids They are creepy We should just take them back Maybe you guys just need to find common ground What about ballerina doll 's always playing with I do not want to talk about ballet,annoyance
10,"I saw what the ballet did to my mom. She became obsessed. She even danced the swan while she was pregnant with me. (CLASSICAL MUSIC PLAYS) - Boo, ray, boo! - Shh! Shh. Hell. You better sit back before I punch you in your damn throat. We're trying to enjoy the show. You go on... shh... shh me again. I double-dog dare you, hell. Better ask somebody who I am. (AUDIENCE EXCLAIMS) (GASPS) (TUBA PLAYS NOTE) (AUDIENCE EXCLAIMING) - Whoa! (AUDIENCE BOOING) (TUBA SQUAWKS) MAN: Got it. Mom was never the same. That's unlikely to ever happen again, ever. Just give it a shot. Look what I found earlier. I mean, I know it's just a local production. But could be something for you and Kathy to talk about, could be fun. - You really think so? - Yes. Well, I suppose I could check it out. OK. But the minute it becomes too difficult, I'm giving up. That's the spirit. NARRATOR: Even though Jody only returned to the ballet to connect with the girls, as she got closer she couldn't help but get excited at the prospect of becoming the Swan Queen. This season we open with ""Swan Lake."" As you all know, this piece has the most challenging and demanding role in all of ballet... the Swan Queen. NARRATOR: Sizing up her competition, Jody knew the battle would be a tough one. The white and the black. Fortunately we have with us prima ballerina and the lead in my last 146 productions... Heather Darcy. (CLAPPING)",89.21199999999999,257,I saw what ballet did to my mother She became obsessed She even danced swan while she was pregnant with me boo Hell You better sit back before I punch you in your damn throat We are trying to enjoy show You go on shh me again I double dog dare you Better ask somebody who I am PLAYS Whoa Got it Mother was never same That is unlikely to ever happen again ever Just give it shot Look what I found earlier I mean I know it is just local production But could be something for you and to talk about could be fun You really think so Yes Well I suppose I could check it out OK But minute it becomes too difficult I am giving up That is spirit Even though only returned to ballet to connect with girls as she got closer she could not help but get excited at prospect of becoming season we open with As you all know piece has most challenging and demanding role in all of Sizing up her competition knew battle would be tough one white and black Fortunately we have with and lead in my last productions CLAPPING,excitement
