Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"What the fuck is that? Jimmy? - What's up? - Did I hit something? What the fuck is that? Maybe you got a flat? Wha...? No. What the fuck? You better pull over and see. He's still alive. You fucking piece of shit! Die, you motherfucker! Look at me! As far back as I can remember, I always wanted to be a gangster. To me... being a gangster was better than being president of the United States. {\an8}Even before I first wandered into the cabstand for an after-school job... I knew I wanted to be a part of them. It was there that I knew I belonged. To me, it meant being somebody in a neighborhood full of nobodies. They weren't like anybody else. They did whatever they wanted. They double-parked in front of a hydrant, nobody ever gave them a ticket. In the summer, when they played cards all night... nobody ever called the cops. Tony Stacks. How are you? Tuddy Cicero. Could this be the Canarsie Kid? - How are you? - Good. Tuddy. Tuddy ran the cabstand and the Bella Vista Pizzeria... and other places for his brother, Paul, who was the boss of the neighborhood. Paulie might have moved slow... but it was only because Paulie didn't have to move for anybody. - It's your fault. - You started it. I started it? It's your fault. At first my parents loved that I found a job... across the street from the house. My father, who was Irish, was sent to work at the age of 11. He liked that I got myself a job. He always used to say that American kids were spoiled lazy.",89.76300000000003,279,What fuck is that What is up Did I hit something What fuck is that Maybe you got flat Wha No What fuck You better pull over and see He is still alive You fucking piece of shit Die you motherfucker Look at me As far back as I can remember I always wanted to be gangster To me being gangster was better than being president of \an8}Even before I first wandered into cabstand for after school job I knew I wanted to be part of them It was there that I knew I belonged To me it meant being somebody in neighborhood full of nobodies They were not like anybody else They did whatever they wanted They double parked in front of hydrant nobody ever gave them ticket In summer when they played cards night nobody ever called cops How are you Could this be How are you Good Tuddy Tuddy ran cabstand and and other places for his brother who was boss of neighborhood might have moved slow but it was only because did not have to move for anybody It is your fault You started it I started it It is your fault At first my parents loved that I found job across street from house My father who was Irish was sent to work at age of He liked that I got myself job He always used to say that American kids were spoiled lazy,anger
2,"- Bye, Dad. - Bye. See you, Mikey. Bye, Henry. Henry! Watch how you cross! Bring back milk! My mother was happy after she found out that the Ciceros... came from the same part of Sicily as she did. To my mother... that was the answer to all her prayers. I was the luckiest kid in the world. I could go anywhere, I could do anything. I knew everybody, and everybody knew me. Wiseguys would pull up and Tuddy would toss me their keys... and let me park their Cadillacs. Here I am, this little kid, I can't even see over the steering wheel... and I'm parking Cadillacs. But it wasn't too long... before my parents changed their minds about my job at the cabstand. For your mother and sister. For them, the cabstand was supposed to be a part-time job. But for me... it was definitely full-time. That's all I wanted to do. People like my father could never understand, but I was a part of something. I belonged. I was treated like a grown-up. Tell him 519. Every day I was learning to score. A dollar here, a dollar there. I was living in a fantasy. Did you have a good day at school? My father was always pissed off. Pissed that he made such lousy money... pissed that my kid brother Michael was in a wheelchair. He was pissed that there were seven of us living in such a tiny house. Tell me about this. It's a letter from school. It says you haven't been there in months. In months! You're a bum! Want to grow up to be a bum?",88.90800000000002,274,See you Watch how you cross Bring back milk My mother was happy after she found out that came from same part of as she did To my mother that was answer to her prayers I was luckiest kid in world I could go anywhere I could do anything I knew everybody and everybody knew me Wiseguys would pull up and would toss me their keys and let me park their Here I am little kid I can not even see over steering wheel and I am parking But it was not too long before my parents changed their minds about my job at cabstand For your mother and sister For them cabstand was supposed to be part time job But for me it was definitely full time That is all I wanted to do People like my father could never understand but I was part of something I belonged I was treated like grown up Tell him day I was learning to score dollar here dollar there I was living in fantasy Did you have good day at school My father was always pissed off Pissed that he made such lousy money pissed that my kid brother was in wheelchair He was pissed that there were of us living in tiny house Tell me about this It is letter from school It says you have not been there in months In months You are bum Want to grow up to be bum,neutral
3,"After a while, he was mostly pissed because I hung around the cabstand. He knew what went on at that cabstand. Every once in a while, I'd have to take a beating. But by then, I didn't care. The way I saw it... everybody takes a beating sometime. - I can't make any more deliveries. - What? You'll fuck everything up. My dad says he'll kill me. Look. Come on with me. - Is that him, kid? - No. - How about him? - No. - That's the guy. - Get him. Excuse me. - Scumbag. - Come here, you piece of shit. - Know this kid? - Yeah. - Know where he lives? - Yeah. - You deliver mail to his house? - Yeah. From now on, any letter from that school to his house comes directly here. - Understand? - Yeah. Another letter from that school goes to that kid's house... in the fucking oven you'll go, head first. That was it. No more letters from truant officers. No letters from school. In fact, no more letters from anybody. Finally after a few weeks, my mother went to the post office to complain. How could I go to school after that... and pledge allegiance to the flag and sit through good government bullshit? Paulie hated phones. He wouldn't have one in his house. Mickey called. Want me to call him back? All right, make the call. He got all his calls second hand. Then you'd have to call the people back... from an outside phone. Got a nickel? Get him on the phone. There were guys, that's all they did all day, was take care of Paulie's calls. For a guy who moved all day long, Paulie didn't talk to six people.",87.36700000000002,294,After while he was mostly pissed because I hung around cabstand He knew what went on at cabstand Every once in while I would have to take beating But by then I did not care way I saw it everybody takes beating sometime I can not make more deliveries What You will fuck everything up My dad says he will kill me Look Come on with me Is that him kid No How about him No That is guy Get him Excuse me Come here you piece of shit Know kid Yeah where he lives Yeah You deliver mail to his house Yeah From now on letter from school to his house comes directly here Yeah letter from school goes to kid 's house in fucking oven you will go head first That was it more letters from truant officers letters from school In fact no more letters from anybody Finally after few weeks my mother went to post office to complain How could I go to school after that and pledge allegiance to flag and sit through good government bullshit hated phones He would not have in his house called Want me to call him back All right make call He got all his calls second hand Then you would have to call people back from outside phone Got nickel Get him on phone There were guys that is all they did day was take care of 's calls For guy who moved day long did not talk to people,anger
4,"If there was a union problem or, say, a beef in the numbers... only the top guys could meet with Paulie to discuss the problem. Everything was one-on-one. Paulie hated conferences. He didn't want anybody hearing what he said... and he didn't want anybody listening to what he was being told. Hundreds of guys depended on Paulie, he got a piece of everything they made. It was a tribute, like in the old country, except they were doing it in America. All they got from Paulie was protection from other guys looking to rip them off. That's what it's all about. That's what the FBI could never understand. What Paulie and the Organization does... is offer protection for people who can't go to the cops. That's it. That's all it is. They're like the police department for wiseguys. People looked at me differently, and they knew I was with somebody. I didn't have to wait in line at the bakery on Sunday mornings for fresh bread. The owner knew who I was with... and he'd come from around the counter. No matter how many were waiting... I was taken care of first. Our neighbors didn't park in our driveway anymore... even though we didn't have a car. At 13... I was making more money than most of the grown-ups around. I had more money than I could spend. I had it all. One day, some neighborhood kids carried my mother's groceries all the way home. You know why? It was out of respect. Hi, Mom, what do you think? - Look at my shoes, aren't they great? - My God. You look like a gangster. They shot me. Help! Henry, shut the door. That was the first time I had ever seen anyone shot.",89.933,294,If there was union problem or say beef in numbers only top guys could meet with to discuss problem Everything was on hated conferences He did not want anybody hearing what he said and he did not want anybody listening to what he was being told Hundreds of guys depended on he got piece of everything they made It was tribute like in old country except they were doing it in All they got from was protection from other guys looking to rip them off That is what it is all about That is what could never understand What and does is offer protection for people who can not go to cops That is it That is all it is They are like police department for wiseguys People looked at me differently and they knew I was with somebody I did not have to wait in line at bakery on mornings for fresh bread owner knew who I was with and he would come from around counter No matter how many were waiting I was taken care of first Our neighbors did not park in our driveway anymore even though we did not have car At I was making more money than most of grown ups around I had more money than I could spend I had it all day neighborhood kids carried my mother 's groceries way home You know why It was out of respect what do you think Look at my shoes are not they great My You look like gangster They shot me shut door That was first time I had ever seen anyone shot,neutral
5,"Can't have that in here. Jesus Christ! I can't have that in this joint. I remember feeling bad about the guy... but I also remember feeling that maybe Tuddy was right. I knew Paulie didn't want anybody dying in the building. You're a real jerk. You wasted eight fucking aprons on this guy. What the hell's wrong with you? I got to toughen this kid up. It was a glorious time. And wiseguys were all over the place. It was before Apalachin and before Crazy Joe... decided to take on a boss and start a war. It was when I met the world. And it was when I first met Jimmy Conway. He couldn't have been more than 28 or 29 at the time... but he was already a legend. He'd walk in the door and everybody who worked the room just went wild. He'd give the doorman $100 just for opening the door. He'd give hundreds to the dealers and the guys who ran the games. The bartender got $100 just for keeping the ice cubes cold. The Irishman is here to take all you guineas' money. - Want a drink? - Give me a 7 and 7. - I'd like you to meet the kid Henry. - How you doing? - Thank you. - Keep them coming. Jimmy was one of the most feared guys in the city. He was first locked up at 11... and he was doing hits for mob bosses when he was 16. See, hits never bothered Jimmy. It was business. But what Jimmy really loved to do... what he really loved to do was steal. He actually enjoyed it. Jimmy was the kind of guy who rooted for the bad guys in the movies. Give me your wallet.",86.96900000000002,295,Can not have that in here I can not have that in joint I remember feeling bad about guy but I also remember feeling that maybe was right I knew did not want anybody dying in building You are real jerk You wasted fucking aprons on guy What hell 's wrong with you I got to toughen kid up It was glorious time And wiseguys were all over place It was before and before decided to take on boss and start war It was when I met world And it was when I first met He could not have been more than or at time but he was already legend He would walk in door and everybody who worked room just went wild He would give doorman just for opening door He would give hundreds to dealers and guys who ran games bartender got just for keeping ice cubes cold is here to take you guineas money Want drink Give me and I would like you to meet kid How you doing Thank you Keep them coming was of most feared guys in city He was first locked up at and he was doing hits for mob bosses when he was See hits never bothered It was business But what really loved to do what he really loved to do was steal He actually enjoyed it was kind of guy who rooted for bad guys in movies Give me your wallet,admiration
6,"You might know who we are, but we know who you are. Understand? He was one of the city's biggest hijackers... of booze, cigarettes, razor blades, shrimp and lobsters. Shrimp and lobsters were best. They went really fast. Almost all of them were gimmies. They just gave it up, no problem. They called him Jimmy the Gent. Help the lady. Drivers loved him. They used to tip him off... about the really good loads. Of course, everybody got a piece. Thanks, I'll be back for the rest later. Okay, see you later. Henry, come here. - Say hello to Tommy. - How're you doing, Henry? You're gonna be working together, okay? Help him. Go ahead. Jimmy, you got anything good? And when the cops assigned a whole army to stop Jimmy, what did he do? How're you doing? He made them partners. I'd complain, but who'd listen? - One Pall Mall. - There you go. - What do you need? - Two Luckies. - Here you go, Henry. - Thanks a lot. What do you need? - One Pall Mall. - One Pall Mall, here you go. - What are you doing? - It's all right. - You have permission from your mother? - How many cartons you need? - Where'd you get the cigarettes? - Get him out of here. - It's okay. - It's not okay. - You don't understand. - You don't understand. Store's closed. - Henry got pinched. - Where? By the factory, selling cigarettes. Henry Hill. The People of the State of New York vs. Henry Hill. Docket number 704162. Uh, yes, sir. That's me. Just stand there. Now stay there. Counselor, proceed. Congratulations. Here's your graduation present.",88.34000000000002,283,You might know who we are but we know who you are He was of city 's biggest hijackers of booze cigarettes razor blades shrimp and lobsters Shrimp and lobsters were best They went really fast Almost all of them were gimmies They just gave it up problem They called him Help lady Drivers loved him They used to tip him off about really good loads Of course everybody got piece Thanks I will be back for rest later Okay see you later come here Say hello to How are you doing You are going to be working together okay Help him Go ahead you got anything good And when cops assigned whole army to stop what did he do How are you doing He made them partners I would complain but who would listen There you go What do you need Here you go Thanks lot What do you need here you go What are you doing It is all right You have permission from your mother How many cartons you need Where did you get cigarettes Get him out of here It is okay It is not okay You do not understand You do not understand 's closed got pinched Where By factory selling cigarettes People of of vs. Docket number Uh yes That is me Just stand there Now stay there Counselor proceed Congratulations Here is your graduation present,gratitude
7,"- What for? I got pinched. - Everyone does, but you did it right. You told them nothing, and they got nothing. - I thought you'd be mad. - I'm not mad, I'm proud of you. You took your first pinch like a man and learned the two greatest things in life. - What? - Look at me. Never rat on your friends... and always keep your mouth shut. Here he is. You broke your cherry. Congratulations! By the time I grew up, there was $30 billion a year in cargo... moving through Idlewild Airport... and believe me, we tried to steal every bit of it. See, you gotta understand, we grew up near the airport. It belonged to Paulie. We had friends and relatives who worked all over the place. They would tip us off about what was coming in and moving out. If any truckers or airlines gave us trouble... Paulie had the union people scare them with a strike. It was beautiful. It was a bigger moneymaker than numbers and Jimmy was in charge of it all. Whenever we needed money, we'd rob the airport. To us, it was better than Citibank. You got a phone? Come on! Two niggers just stole my truck. Can you believe that shit? There was Jimmy... and Tommy and me. And there was Anthony Stabile. How're you doing? Frankie Carbone. And then there was Mo Black's brother, Fat Andy. And his guys, Frankie the Wop. Freddy No Nose. And then there was Pete the Killer, who was Sally Balls' brother. Then you had Nickey Eyes... and Mikey Franzese. That guy, I wanna see him.",89.46700000000003,273,What for I got pinched Everyone does but you did it right You told them nothing and they got nothing I thought you would be mad I am not mad I am proud of you You took your first pinch like man and learned greatest things in life What Look at me Never rat on your friends and always keep your mouth shut Here he is You broke your cherry Congratulations By time I grew up there was year in cargo moving through and believe me we tried to steal bit of it See you got to understand we grew up near airport It belonged to We had friends and relatives who worked all over place They would tip us off about what was coming in and moving out If truckers or airlines gave us trouble had union people scare them with strike It was beautiful It was bigger moneymaker than numbers and was in charge of it all Whenever we needed money we would rob airport To us it was better than You got phone Come on niggers just stole my truck Can you believe shit There was and and me And there was How are you doing And then there was 's brother And his guys And then there was who was ' brother Then you had and guy I want to see him,admiration
8,"Jimmy Two Times, who got that nickname because he said everything twice. I'm gonna go get the papers, get the papers. What is this? Coats? Henry, I need suits, not coats. Suits are coming Thursday. But it's the middle of summer. What'll I do with fur coats? You don't want furs? I'll take them away. No, I want them. We'll hang them in the freezer with the meat. How's that? For us, to live any other way was nuts. To us, those goody-good people who worked shitty jobs for bum paychecks... and took the subway to work every day and worried about bills, were dead. They were suckers. They had no balls. If we wanted something, we just took it. If anyone complained twice, they got hit so bad they never complained again. It was just all routine. You didn't even think about it. Frankie, what the fuck does 520 have to do with 469? I can't believe this guy. 520 ain't even close to 469. What's that got to do with anything? Piece of cake. It's all there. Don't worry about the alarms. I just gotta find a way to get the key. - No problem, right? - I'll take care of it. - Tell him what you were telling me. - Too good to be true. Big score coming from Air France. Bags of money coming in. Tourists and American servicemen change their money... into French money and send it back here. - Shh. Calm down. - It's beautiful. It's totally untraceable. Okay? The only problem is getting a key, but I've got a plan. - Me and Frenchy and this citizen. - Yeah, he's a piece of work. If I'm right, there could be $500,000 coming in, all cash. The best time is probably over a weekend. So maybe Saturday night.",89.88999999999997,304,who got nickname because he said everything twice I am going to go get papers get papers What is this Coats I need suits not coats Suits are coming But it is middle of summer What will I do with fur coats You do not want furs I will take them away No I want them We will hang them in freezer with meat How is that For us to live other way was crazy To us goody good people who worked shitty jobs for bum paychecks and took subway to work day and worried about bills were dead They were suckers They had balls If we wanted something we just took it If anyone complained twice they got hit so bad they never complained again It was just all routine You did not even think about it what fuck does have to do with I can not believe guy are not even close to What is that got to do with anything of cake It is all there Do not worry about alarms I just got to find way to get key problem right I will take care of it Tell him what you were telling me Too good to be true Big score coming from Bags of money coming in Tourists and American servicemen change their money into French money and send it back here down It is beautiful It is totally untraceable Okay only problem is getting key but I have got plan Me and and citizen Yeah he is piece of work If I am right there could be coming in cash best time is probably over weekend So maybe night,anger
9,"There's a Jewish holiday on Monday. They won't find out until Tuesday. Beautiful. What about the security? Security? You're looking at it. It's a joke. I'm the midnight-to-eight man. I'm the commandant. He just comes in like he's picking up lost baggage. - It's beautiful. - It won't be a problem at all. - Good. - We're on. What's really funny is that fucking bank job in Secaucus. I'm in the middle of the weeds, lying down. He says, ""What are you doing?"" I said, ""I'm resting."" ""Here? This ain't no beach or park."" I said, ""I'm resting."" I know I'm resting. He pulls me in, starts asking questions. You know, this and that. ""What are you going to tell us?"" I said, ""My usual. Nothing."" ""Why tell you?"" The fuck. He says, ""No, you'll tell me something today."" I said, ""Okay, go fuck your mother."" Bing! Pow! Boom! Bing! You saw the paper, Anthony. My head was out like this. Now I'm coming around, and who do I see in front of me? This prick again. He says, ""What do you want to tell me now?"" I said, ""What are you doing here? I told you to go fuck your mother."" I thought he was gonna shit. Pow! Bing! Boom! The fuckers. I wish I was big just once. Funny. You're really funny. What do you mean, I'm funny? It's funny, you know. It's a good story. You're a funny guy. You mean the way I talk? What? It's just, you know. You're just funny. You know, the way you tell the story and everything. Funny how? What's funny about it? - Tommy, you got it all wrong. - Whoa, whoa, Anthony.",88.47399999999996,283,There is Jewish holiday on They will not find out until Beautiful What about security Security You are looking at it It is joke I am midnight to man I am commandant He just comes in like he is picking up lost baggage It is beautiful It will not be problem at all Good We are on What is really funny is that fucking bank job in I am in middle of weeds lying down He says What are you doing I said I am resting Here This are not beach or park I said I am resting I know I am resting He pulls me in starts asking questions You know this and that What are you going to tell us I said My usual Nothing Why tell you fuck He says No you will tell me something today I said Okay go fuck your mother Bing You saw paper My head was out like this Now I am coming around and who do I see in front of me prick again He says What do you want to tell me now I said What are you doing here I told you to go fuck your mother I thought he was going to shit Boom fuckers I wish I was big just once Funny You are really funny What do you mean I am funny It is funny you know It is good story You are funny guy You mean way I talk What It is just you know You are just funny You know way you tell story and everything Funny how What is funny about it you got it all wrong Whoa whoa,amusement
10,"He's a big boy. He knows what he said. What did you say? Funny, how? Just, you know. You're funny. Let me understand this. Maybe I'm a little fucked up. But, I'm funny, how? Funny like a clown? I amuse you? I make you laugh? I'm here to fucking amuse you? What do you mean, funny? How am I funny? You know, how you tell a story. No, I don't know. You said it. How do I know? You said I'm funny. How the fuck am I funny? What the fuck is so funny about me? Tell me what's funny. Get the fuck out of here, Tommy. Motherfucker! I almost had him! You stuttering prick, you! Frankie, was he shaking? I wonder about you sometimes, Henry. You may fold under questioning. Jesus Christ. What the fuck is it with you? I thought I was getting pinched already. He's hanging on my fucking neck like a vulture. What do you want? This guy didn't want to come and give you the check. Could you take care of this? No problem. Tell him to put it on my tab. Of course. That's what I want to talk to you about. It ain't just this one. It's seven big ones you owe me. $7,000, that ain't peanuts. I don't mean to be out of order... Don't mean to be out of order? It's good you don't mean to be out of order. Embarrassing me in front of my friends, like I'm a deadbeat. You know, Sonny, you're a fucking mutt. You know the money we spend in this fucking... - Don't be like that. - What do you mean? Do you believe this prick? You think this is funny? What the fuck are you looking at? You fucking moron!",87.67800000000001,296,He is big boy He knows what he said What did you say Funny how Just you know You are funny Let me understand this Maybe I am little fucked up But I am funny how Funny like clown I amuse you I make you laugh I am here to fucking amuse you What do you mean funny How am I funny You know how you tell story No I do not know You said it How do I know You said I am funny How fuck am I funny What fuck is so funny about me Tell me what is funny Get fuck out of here I almost had him You stuttering prick you was he shaking I wonder about you sometimes You may fold under questioning What fuck is it with you I thought I was getting pinched already He is hanging on my fucking neck like vulture What do you want guy did not want to come and give you check Could you take care of this problem Tell him to put it on my tab Of course That is what I want to talk to you about It are not just one It is big ones you owe me that are not peanuts I do not mean to be out of order Do not mean to be out of order It is good you do not mean to be out of order Embarrassing me in front of my friends like I am deadbeat You know you are fucking mutt You know money we spend in fucking Do not be like that What do you mean Do you believe prick You think this is funny What fuck are you looking at You fucking moron,annoyance
