Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"As life progresses, images blur. All that remains are memories. Some of them true... ...some of them false. I remember her well. At least I think I do. She was a warrior. In the old century you had to be... ...in order to survive. Breathe in and out, the way she does. And now, push. Now! Thank you so much. Bye. See you in a couple of days, right? Mama... ...are you coming? - Good morning! - Hi, Liz! Here. Liz, the boy's gotta learn how to shoot. Well, he's gonna do it anyway. Better here than sneaking off somewhere else. - You're scaring your mother. - She ain't my mother. Beware of false prophets... ...who come to you in sheep's clothing... ...for inwardly, they are ravening wolves. Jesus is the shepherd who protects you and your family from those wolves. And I am his dog. The sheepdog that gets the lambs back on track when they stray off the path. And some of you have strayed, haven't you? What do you people think? That God is well disposed towards you? Let me set things straight. Those who deserve it, go to hell. I could tell you about hell. About its flames.",89.30099999999997,202,As life progresses images All that remains are memories Some of them true some of them false I remember her well At least I think I do She was warrior In old century you had to be in order to survive Breathe in and out way she does And now push Now Thank you so much See you in couple of days right are you coming Good morning Here boy 's got to learn how to shoot Well he is going to do it anyway Better here than sneaking off somewhere else You are scaring your mother She are not my mother Beware of false prophets who come to you in sheep 's clothing for inwardly they are ravening wolves is shepherd who protects you and your family from wolves And I am his dog sheepdog that gets lambs back on track when they stray off path And some of you have strayed have not you What do you people think That is well disposed towards you Let me set things straight Those who deserve it go to I could tell you about About its flames,caring
2,"About the pain. I'm sure you people have tried to imagine what it's like. It's worse. Retribution is coming. Now, let us join in singing. Abide with me. Abide with me Fast falls the eventide The darkness deepens Lord, with me abide You all right? Thank you. How're you doing, sir? This is my daughter, Sam. My boy, Matthew. And... ...my wife. Where were you? That man is a stranger here, he doesn't know anybody yet. I'd have expected a little more compassion from you. What's wrong? What's wrong? What's wrong? What's wrong? What's wrong? What's wrong? Just breathe, all right? Breathe, just breathe. Everybody outside. We don't need no busybodies. Go on, get. Get out! Nathan, I think you better go outside too. Some things aren't meant for a man's eyes. It's gonna be just fine, right, Liz? You're gonna take care of her, right? Promise? All right, Liz, I'm going to be right outside, okay? I love you. I love you. You take care of her. Close the door behind you.",88.30200000000005,173,About pain I am sure you people have tried to imagine what it is like It is worse Retribution is coming Now let us join in singing Abide with me Abide with me Fast falls eventide darkness deepens with me abide You all right Thank you How are you doing This is my daughter My boy And my wife Where were you man is stranger here he does not know anybody yet I would have expected little more compassion from you What is wrong What is wrong What is wrong What is wrong What is wrong What is wrong Just breathe all right Breathe just breathe Everybody outside We do not need busybodies Go on get Get out I think you better go outside too things are not meant for man 's eyes It is going to be just fine right You are going to take care of her right Promise All right I am going to be right outside okay I love you I love you You take care of her Close door behind you,caring
3,"It's gonna be all right, honey. The baby's head is too big. What's that supposed to say? We're going to have to choose between the baby and the mother. Can't save both of them. You have to. Your mother said everything would be all right. No, I wanna stay. I wanna help. Hey... how's it going in there? Everything all right? Yeah? Push, Abby. Hard as you can now, come on! Good girl! Where's the baby? I wanna see my baby. Where is he? Give me my baby! It ain't your fault. The Lord gives and the Lord takes away. The Reverend? Liz... ...the Reverend is a man of God. You're seeing things that ain't there. If Jesus came back to life after he was dead... ...couldn't that happen to Abigail's baby, too? Can you face-paint me? I'm doing something. Can't you tell? We've come to see if everything's all right. Everything's just fine. No reason for you folks to go wasting your time. - We'd like to look for ourselves. - Rather not. There's a doctor coming in an hour, it's better if he takes a look. The Reverend arranged it. Hello! - What the hell? - Liz! Liz! You get down here, Liz! You get down here! I wanna see your face.",89.25600000000003,214,It is going to be all right honey baby 's head is too big What is that supposed to say We are going to have to choose between baby and mother Can not save both of them You have to Your mother said everything would be all right No I want to stay I want to help Hey how is it going in there Everything all right Yeah Hard as you can now come on Good girl Where is baby I want to see my baby Where is he Give me my baby It are not your fault gives and takes away is man of You are seeing things that are not there If came back to life after he was dead could not that happen to 's baby too Can you face paint me I am doing something Can not you tell We have come to see if everything 's all right Everything 's just fine reason for you folks to go wasting your time We would like to look for ourselves Rather not There is doctor coming in hour it is better if he takes look arranged it Hello What hell You get down here You get down here I want to see your face,anger
4,"I wanna see your face. Nathan! Don't take it out on my boy! We can talk about this like decent folk! I got no quarrel with you, Eli! I'm here for your wife. She's gotta be punished for her sins. She's gotta burn at the stake, Eli! Try to be reasonable now, Nathan. I know your sorrow, believe me. I lost a loved one too, remember? I know you're out of your mind with grief... ...but believe me, your pain will pass, just like mine did! I could accept that real easy... ...as long as that tongueless murderess ends up at the stake! I demand retribution! You know what she did, Eli? She murdered my baby boy. Before he could even be baptized, she murdered him. What's gonna happen to him now? Do you think he's gonna find salvation? You know how she did it, Eli? I seen him. His brains had leaked out. Your wife broke his skull. She cracked his skull wide open! She should go to hell for this! That will be enough. There has been suffering... ...it's the whiskey talking now. This is not the moment to solve this. She belongs in hell, Reverend. Did he do you any harm? He just helped us out of a real fix. - Do I get one, too? - You ain't old enough for that yet.",88.34900000000002,227,I want to see your face Do not take it out on my boy We can talk about this like decent folk I got quarrel with you I am here for your wife She is got to be punished for her sins She is got to burn at stake Try to be reasonable now I know your sorrow believe me I lost loved one too remember I know you are out of your mind with grief but believe me your pain will pass just like mine did I could accept that real easy as long as tongueless murderess ends up at stake I demand retribution You know what she did She murdered my baby boy Before he could even be baptized she murdered him What is going to happen to him now Do you think he is going to find salvation You know how she did it I seen him His brains had leaked out Your wife broke his skull She cracked his skull wide open She should go to hell for this That will be enough There has been suffering it is whiskey talking now This is not moment to solve this She belongs in Did he do you harm He just helped us out of real fix Do I get too You are not old enough for that yet,neutral
5,"Why be so hard on the boy? He only acted to protect his family. That makes him an adult. His mother doesn't want him playing with guns. It's natural for a young man to want to hold a rifle in his hands. May I offer my glass to Matthew? I think it's about time you went back to bed, Matthew. - Dad! - Come on, drink up. None of this would have happened if that baby had been born in perfect health. But Liz couldn't do nothing about that. She decided who was to live and who was to die. That decision belongs to God, and God only. Why did she not leave that choice up to him? Maybe I should go fetch her. I know you're there... ...and I know you can hear me. You may have no tongue, but there is nothing wrong with your ears. Why do doubts rise in your heart? Why are you troubled? How do you sleep at night? How does it feel to be a murderess? Do you know why I'm here? I'm here to punish you. Do you love this family? I've looked at your daughter. She's almost a young woman already. There you are. I must be going. Please don't bear a grudge against Nathan in your heart. Losing a child is the worst thing a body can go through. I was just talking to your wife about that same thing. You didn't even thank him. Fact is, you didn't even say hello to him. Liz, Nathan will come around.",88.377,259,Why be so hard on boy He only acted to protect his family That makes him adult His mother does not want him playing with guns It is natural for young man to want to hold rifle in his hands May I offer my glass to I think it is about time you went back to bed Come on drink up None of this would have happened if baby had been born in perfect health But could not do nothing about that She decided who was to live and who was to die decision belongs to and only Why did she not leave choice up to him Maybe I should go fetch her I know you are there and I know you can hear me You may have tongue but there is nothing wrong with your ears Why do doubts rise in your heart Why are you troubled How do you sleep at night How does it feel to be murderess Do you know why I am here I am here to punish you Do you love family I have looked at your daughter She is almost young woman already There you are I must be going Please do not bear grudge against in your heart Losing child is worst thing body can go through I was just talking to your wife about same thing You did not even thank him Fact is you did not even say hello to him will come around,caring
6,"Right, you know what? Give me a couple of days. I'll get someone to come in for the sheep... ...and then we'll go up to my pa's for a bit. He's all alone up there anyway. Dad? Dad? I'm just going to talk. This has got to stop. First shootin' our windows up, now this. Come on! - I want you to stay with your mother. - She ain't my mother. - Matthew! - You're gonna need my help. All right, as long as you stay outside. But why can't I just play inside? Why? And why can't I help out? I think we can take that blindfold off, now. - But I promised. - Your mother won't mind. She has a lot to do. Here, see? Everything will be fine. - And Mama? - She had to work in the barn. And she did not want you there, do you remember? I would like to talk to you about your mother. Nathan! They've gone and moved. Liz? Where are you? No, no, Nathan's gone. And Abigail. Packed up, moved out. Where'd you get to? You scared your mother. Had her worried sick. Mama, are you evil? The Reverend said you murdered a man. He says he's here to punish you. To take you back where he came from. Why? Because she loves you.",89.629,224,Right you know what Give me couple of days I will get someone to come in for sheep and then we will go up to my pa 's for bit He is all alone up there anyway I am just going to talk This has got to stop shootin our windows up now this Come on I want you to stay with your mother She are not my mother You are going to need my help All right as long as you stay outside But why can not I just play inside Why And why can not I help out I think we can take blindfold off now But I promised Your mother will not mind She has lot to do Here see Everything will be fine And She had to work in barn And she did not want you there do you remember I would like to talk to you about your mother They have gone and moved Where are you No no 's gone And Packed up moved out Where did you get to You scared your mother Had her worried sick are you evil said you murdered man He says he is here to punish you To take you back where he came from Why Because she loves you,neutral
7,"Shoot me. Behind you. Please. Stop the pain. Take them to Grandpa. Mama? Mama? It was the Reverend. He woke me up. Joanna. My name is Joanna. Frank! Frank! Meng! Meng, you prosperous fucker, you. Look at you. And what do we have here? - My name's Joanna. - Well, it is a pleasure to meet you. Come on now, spin around, let me get a look at you. - There you are. Sally! - Yeah? Would you be so kind as to treat Joanna here to a glass of cold lemonade? Yeah, but of course. Come, honey. All right, Meng, let's talk fucking turkey. Here you go. - Lookie here! Fresh meat. - Swallow it right on down, girlie. Soon you'll be swallowing something else. - What's your name, girl? - Joanna. Did your daddy bring you here? No? Are you sure? Didn't he just think you were so good... ...he had to let the rest of the world in on it, too? - There now, where do you think you're going? - They're leaving without me! Yes, they are, but don't you worry about a thing 'cause from now on... ...this is where you live, darling. Right here. Now, come on now. Let's get you cleaned up. Yes. Yeah, yeah!",88.57699999999998,212,Shoot me Behind you Please Stop pain Take them to It was He woke me up My name is you prosperous fucker you Look at you And what do we have here My name 's Well it is pleasure to meet you Come on now spin around let me get look at you There you are Yeah Would you be so kind as to treat here to glass of Yeah but of course Come honey All right let us talk fucking turkey Here you go here Fresh meat Swallow it right on down girlie Soon you will be swallowing something else What is your name girl Did your daddy bring you here No Are you sure Did not he just think you were so good he had to let rest of world in on it too There now where do you think you are going They are leaving without me Yes they are but do not you worry about thing because from now on this is where you live darling Right here Now come on now Let us get you cleaned up Yes Yeah yeah,neutral
8,"So that's the work we do around here. And we do all the moaning and groaning because that makes sure it's over faster. - Why? - Why? That's what men like. So... you ever bled yet? 'Twixt your legs, honey. It's nothing to be ashamed of. You have, haven't you? Yeah? Well, then, that's gonna be our little secret for the time being, okay? Now, you go to bed. And who are you? What's your name, girl? Joanna. Frank, what's it cost to go upstairs with this one? Come on now, Fred, you cannot afford her. I don't know about that. I got pretty damn lucky at cards today. Hey, Eastman. I'm horny as hell and I feel like doing you! What would you say to a free ride? - That ain't yours to decide. - I'll pay for it myself. Damn, Sally, what, you been holding out on me now? I'll go along with that. But then she gets to watch. - No way. - Then, it's no deal. It sounds like a fine idea to me. It'll be most educational, I'm sure. What's wrong, don't you like it, honeybunch? Oh, yeah. Hit me. - What? - Hit me! - No, I ain't gonna do that. - Hit me, goddamn it! I'm not taking this, Eastman. Hit me again. Hit me again! No, no, no, no, don't shoot! Don't shoot. I don't mind it, Joanna. It's just a game, right?",89.85999999999999,241,So that is work we do around here And we do moaning and groaning because that makes sure it is over faster Why Why That is what men like So you ever bled yet Twixt your legs honey It is nothing to be ashamed of You have have not you Yeah Well then that is going to be our little secret for time being okay Now you go to bed And who are you What is your name girl what is it cost to go upstairs with Come on now you can not afford her I do not know about that I got pretty damn lucky at cards today Hey I am horny as hell and I feel like doing you What would you say to free ride That are not yours to decide I will pay for it myself what you been holding out on me now I will go along with that But then she gets to watch way Then it is deal It sounds like fine idea to me It will be most educational I am sure What is wrong do not you like it honeybunch Oh yeah Hit me What Hit me No I are not going to do that Hit me goddamn it I am not taking this Hit me again Hit me again No no no no do not shoot Do not shoot I do not mind it It is just game right,curiosity
9,"- You do that again and I'm going to shoot. - Please put the gun down. Don't you ever. Just keep pointing it at me. Don't you dare drop that gun on me. That's right. Keep pointing it at me. Don't you dare. I'm gonna strangle the life out of her! Shoot me! Do it, Joanna. Shoot me, goddamn it! Shoot, goddamn it, bitch! You're gonna make a fine little whore, I can see that already. I just bet that you can make me real nice and clean too. The whole world may see our fair city of Bismuth... ...as a place of sodom and gomorrah... ...but rules do apply here. A whore cannot be allowed to shoot down her customers with impunity. My brother runs the Inferno as a place where hard-working miners... ...can find well-deserved recreation... ...that must remain so... ...and so it will. Let this be an example. Come on now. A mining town has a need for organized entertainment. And I need to know that customers here feel safe. That's why I brought my brother Zeke to Bismuth. He's a better sheriff than this town deserves. Everybody at the Inferno knows that if a girl so much as scratches a customer... ...she's gonna be punished. So Sally knew what she had coming. But he strangled her. Yeah... I know, it hurt me too.",89.836,227,You do that again and I am going to shoot Please put gun down Do not you ever Just keep pointing it at me Do not you dare drop gun on me That is right Keep pointing it at me Do not you dare I am going to strangle life out of her Shoot me Do it Shoot me goddamn it Shoot goddamn it bitch You are going to make fine little whore I can see that already I just bet that you can make me real nice and clean too whole world may see our fair city of as place of and but rules do apply here whore can not be allowed to shoot down her customers with impunity My brother runs as place where hard working miners can find well deserved recreation that must remain so and so it will Let this be example Come on now mining town has need for organized entertainment And I need to know that customers here feel safe That is why I brought my brother to He is better sheriff than town deserves Everybody at knows that if girl so much as scratches customer she is going to be punished So knew what she had coming But he strangled her Yeah I know it hurt me too,anger
10,"Damn, she was one of my oldest employees. But rules are rules. If you don't obey the rules, you're guilty. And if you're guilty, you're gonna pay. You understand that, don't you? Tell me you understand. You know how old I was when I first went to bed with a girl? I was 21. Twenty-one. While Zeke, he was 14. I got to watch, though. I spied on him through the peephole. I never did see what all the fuss was about. You know, what everybody talked about. I couldn't see it. You're not a child anymore. I haven't been for a long time. The time has come. I'm gonna be gentle. That's right. Oh, stud, you sure are good. Joanna! Joanna! Frank is in a gunfight! What the hell! I'm almost done. You see that? What do you say we have her join us next time? This is just between me and Frank. All I want is a fair fight. Then what are you doing here? - Blow him to hell! - Yeah! I'm not a violent man. I usually work with numbers. But now, I'm standing here in front of you... ...to shoot you dead, Frank. My daughter is dead because of you. It's men like you who think their actions have no consequences...",86.85,216,she was of my oldest employees But rules are rules If you do not obey rules you are guilty And if you are guilty you are going to pay You understand that do not you Tell me you understand You know how old I was when I first went to bed with girl I was While he was I got to watch though I spied on him through peephole I never did see what fuss was about You know what everybody talked about I could not see it You are not child anymore I have not been for long time time has come I am going to be gentle That is right Oh you sure are good is in gunfight What hell I am almost done You see that What do you say we have her join us next time This is just between me and All I want is fair fight Then what are you doing here Blow him to hell Yeah I am not violent man I usually work with numbers But now I am standing here in front of you to shoot you dead My daughter is dead because of you It is men like you who think their actions have consequences,neutral
