movie,release year,id,genre,director,box_office,runtime(in min),IMDb rating,emotions,emopair,most occuring 5 pairs,top_emotions
12 Angry Men ,1957,dfu1,"Crime, Drama",Sidney Lumet,2.0,96,9.0,"['gratitude', 'gratitude', 'neutral', 'neutral', 'neutral', 'neutral', 'remorse', 'sadness', 'neutral', 'neutral', 'neutral', 'annoyance', 'neutral', 'neutral', 'curiosity', 'curiosity', 'curiosity', 'neutral', 'excitement', 'remorse', 'neutral', 'approval', 'neutral', 'fear', 'anger', 'remorse', 'curiosity', 'curiosity', 'neutral', 'neutral', 'neutral', 'sadness', 'curiosity', 'remorse', 'curiosity', 'annoyance', 'neutral', 'admiration', 'neutral', 'anger', 'neutral', 'neutral', 'neutral', 'curiosity', 'gratitude', 'annoyance', 'neutral', 'neutral', 'neutral', 'approval']","{('gratitude', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('neutral', 'neutral'): 12, ('neutral', 'remorse'): 1, ('remorse', 'sadness'): 1, ('sadness', 'neutral'): 1, ('neutral', 'annoyance'): 1, ('annoyance', 'neutral'): 3, ('neutral', 'curiosity'): 2, ('curiosity', 'curiosity'): 3, ('curiosity', 'neutral'): 2, ('neutral', 'excitement'): 1, ('excitement', 'remorse'): 1, ('remorse', 'neutral'): 1, ('neutral', 'approval'): 2, ('approval', 'neutral'): 1, ('neutral', 'fear'): 1, ('fear', 'anger'): 1, ('anger', 'remorse'): 1, ('remorse', 'curiosity'): 2, ('neutral', 'sadness'): 1, ('sadness', 'curiosity'): 1, ('curiosity', 'remorse'): 1, ('curiosity', 'annoyance'): 1, ('neutral', 'admiration'): 1, ('admiration', 'neutral'): 1, ('neutral', 'anger'): 1, ('anger', 'neutral'): 1, ('curiosity', 'gratitude'): 1, ('gratitude', 'annoyance'): 1}","[(('neutral', 'neutral'), 12), (('annoyance', 'neutral'), 3), (('curiosity', 'curiosity'), 3), (('neutral', 'curiosity'), 2), (('curiosity', 'neutral'), 2)]","['neutral', 'curiosity', 'remorse', 'gratitude', 'annoyance', 'sadness', 'approval', 'anger']"
Cidade.De.Deus.(aka.City.of.God),2002,dfu2,"Crime, Drama","Fernando Meirelles, Kátia Lund",30.6,130,8.6,"['anger', 'anger', 'anger', 'anger', 'anger', 'fear', 'caring', 'anger', 'anger', 'anger', 'anger', 'neutral', 'neutral', 'anger', 'neutral', 'neutral', 'gratitude', 'admiration', 'anger', 'annoyance', 'gratitude', 'annoyance', 'neutral', 'annoyance', 'anger', 'anger', 'anger', 'neutral', 'anger', 'anger', 'neutral', 'admiration', 'neutral', 'anger', 'anger', 'admiration', 'annoyance', 'anger', 'anger', 'anger', 'anger', 'neutral']","{('anger', 'anger'): 14, ('anger', 'fear'): 1, ('fear', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'neutral'): 5, ('neutral', 'neutral'): 2, ('neutral', 'anger'): 3, ('neutral', 'gratitude'): 1, ('gratitude', 'admiration'): 1, ('admiration', 'anger'): 1, ('anger', 'annoyance'): 1, ('annoyance', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'annoyance'): 1, ('annoyance', 'anger'): 2, ('neutral', 'admiration'): 1, ('admiration', 'neutral'): 1, ('anger', 'admiration'): 1, ('admiration', 'annoyance'): 1}","[(('anger', 'anger'), 14), (('anger', 'neutral'), 5), (('neutral', 'anger'), 3), (('neutral', 'neutral'), 2), (('annoyance', 'anger'), 2)]","['anger', 'neutral', 'annoyance', 'admiration', 'gratitude', 'fear', 'caring']"
Fight Club,1999,dfu3,Drama,David Fincher,101.2,139,8.8,"['realization', 'neutral', 'gratitude', 'grief', 'sadness', 'gratitude', 'neutral', 'neutral', 'caring', 'gratitude', 'embarrassment', 'anger', 'annoyance', 'anger', 'sadness', 'anger', 'neutral', 'neutral', 'anger', 'anger', 'remorse', 'anger', 'annoyance', 'anger', 'annoyance', 'gratitude', 'gratitude', 'annoyance', 'anger', 'gratitude', 'caring', 'anger', 'anger', 'annoyance', 'anger', 'anger', 'anger', 'anger', 'fear', 'confusion', 'anger', 'annoyance', 'gratitude', 'anger', 'anger', 'anger', 'anger', 'annoyance', 'realization']","{('realization', 'neutral'): 1, ('neutral', 'gratitude'): 1, ('gratitude', 'grief'): 1, ('grief', 'sadness'): 1, ('sadness', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('neutral', 'neutral'): 2, ('neutral', 'caring'): 1, ('caring', 'gratitude'): 1, ('gratitude', 'embarrassment'): 1, ('embarrassment', 'anger'): 1, ('anger', 'annoyance'): 6, ('annoyance', 'anger'): 4, ('anger', 'sadness'): 1, ('sadness', 'anger'): 1, ('anger', 'neutral'): 1, ('neutral', 'anger'): 1, ('anger', 'anger'): 8, ('anger', 'remorse'): 1, ('remorse', 'anger'): 1, ('annoyance', 'gratitude'): 2, ('gratitude', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('anger', 'gratitude'): 1, ('gratitude', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'fear'): 1, ('fear', 'confusion'): 1, ('confusion', 'anger'): 1, ('gratitude', 'anger'): 1, ('annoyance', 'realization'): 1}","[(('anger', 'anger'), 8), (('anger', 'annoyance'), 6), (('annoyance', 'anger'), 4), (('neutral', 'neutral'), 2), (('annoyance', 'gratitude'), 2)]","['anger', 'gratitude', 'annoyance', 'neutral', 'realization', 'sadness', 'caring', 'grief']"
Forrest Gump,1994,dfu4,"Drama, Romance",Robert Zemeckis,678.2,142,8.8,"['desire', 'neutral', 'neutral', 'gratitude', 'amusement', 'neutral', 'neutral', 'amusement', 'nervousness', 'sadness', 'neutral', 'admiration', 'admiration', 'neutral', 'neutral', 'anger', 'neutral', 'amusement', 'neutral', 'approval', 'fear', 'anger', 'surprise', 'anger', 'anger', 'anger', 'neutral', 'love', 'neutral', 'annoyance', 'annoyance', 'amusement', 'annoyance', 'gratitude', 'amusement', 'optimism', 'fear', 'admiration', 'sadness', 'admiration', 'joy', 'anger', 'curiosity', 'neutral', 'gratitude', 'gratitude', 'caring', 'love', 'love']","{('desire', 'neutral'): 1, ('neutral', 'neutral'): 3, ('neutral', 'gratitude'): 2, ('gratitude', 'amusement'): 2, ('amusement', 'neutral'): 2, ('neutral', 'amusement'): 2, ('amusement', 'nervousness'): 1, ('nervousness', 'sadness'): 1, ('sadness', 'neutral'): 1, ('neutral', 'admiration'): 1, ('admiration', 'admiration'): 1, ('admiration', 'neutral'): 1, ('neutral', 'anger'): 1, ('anger', 'neutral'): 2, ('neutral', 'approval'): 1, ('approval', 'fear'): 1, ('fear', 'anger'): 1, ('anger', 'surprise'): 1, ('surprise', 'anger'): 1, ('anger', 'anger'): 2, ('neutral', 'love'): 1, ('love', 'neutral'): 1, ('neutral', 'annoyance'): 1, ('annoyance', 'annoyance'): 1, ('annoyance', 'amusement'): 1, ('amusement', 'annoyance'): 1, ('annoyance', 'gratitude'): 1, ('amusement', 'optimism'): 1, ('optimism', 'fear'): 1, ('fear', 'admiration'): 1, ('admiration', 'sadness'): 1, ('sadness', 'admiration'): 1, ('admiration', 'joy'): 1, ('joy', 'anger'): 1, ('anger', 'curiosity'): 1, ('curiosity', 'neutral'): 1, ('gratitude', 'gratitude'): 1, ('gratitude', 'caring'): 1, ('caring', 'love'): 1, ('love', 'love'): 1}","[(('neutral', 'neutral'), 3), (('neutral', 'gratitude'), 2), (('gratitude', 'amusement'), 2), (('amusement', 'neutral'), 2), (('neutral', 'amusement'), 2)]","['neutral', 'anger', 'amusement', 'gratitude', 'admiration', 'love', 'annoyance', 'sadness']"
Goodfellas,1990,dfu5,"Biography, Crime, Drama",Martin Scorsese,47.1,146,8.7,"['anger', 'neutral', 'anger', 'neutral', 'admiration', 'gratitude', 'admiration', 'anger', 'amusement', 'annoyance', 'annoyance', 'anger', 'anger', 'annoyance', 'neutral', 'admiration', 'anger', 'anger', 'surprise', 'anger', 'neutral', 'gratitude', 'neutral', 'anger', 'anger', 'caring', 'neutral', 'neutral', 'amusement', 'anger', 'anger', 'anger', 'caring', 'neutral', 'anger', 'anger', 'gratitude', 'fear', 'admiration', 'admiration', 'anger', 'excitement', 'anger', 'annoyance', 'anger', 'anger', 'anger', 'admiration', 'anger', 'neutral', 'admiration', 'gratitude', 'anger', 'anger', 'fear', 'caring', 'fear', 'neutral', 'neutral', 'sadness']","{('anger', 'neutral'): 4, ('neutral', 'anger'): 3, ('neutral', 'admiration'): 3, ('admiration', 'gratitude'): 2, ('gratitude', 'admiration'): 1, ('admiration', 'anger'): 4, ('anger', 'amusement'): 1, ('amusement', 'annoyance'): 1, ('annoyance', 'annoyance'): 1, ('annoyance', 'anger'): 2, ('anger', 'anger'): 9, ('anger', 'annoyance'): 2, ('annoyance', 'neutral'): 1, ('anger', 'surprise'): 1, ('surprise', 'anger'): 1, ('neutral', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('anger', 'caring'): 2, ('caring', 'neutral'): 2, ('neutral', 'neutral'): 2, ('neutral', 'amusement'): 1, ('amusement', 'anger'): 1, ('anger', 'gratitude'): 1, ('gratitude', 'fear'): 1, ('fear', 'admiration'): 1, ('admiration', 'admiration'): 1, ('anger', 'excitement'): 1, ('excitement', 'anger'): 1, ('anger', 'admiration'): 1, ('gratitude', 'anger'): 1, ('anger', 'fear'): 1, ('fear', 'caring'): 1, ('caring', 'fear'): 1, ('fear', 'neutral'): 1, ('neutral', 'sadness'): 1}","[(('anger', 'anger'), 9), (('anger', 'neutral'), 4), (('admiration', 'anger'), 4), (('neutral', 'anger'), 3), (('neutral', 'admiration'), 3)]","['anger', 'neutral', 'admiration', 'gratitude', 'annoyance', 'caring', 'fear', 'amusement']"
Inception,2010,dfu6,"Action, Adventure, Sci-Fi",Christopher Nolan,836.8,148,8.8,"['neutral', 'neutral', 'neutral', 'anger', 'anger', 'caring', 'sadness', 'neutral', 'neutral', 'neutral', 'neutral', 'admiration', 'neutral', 'gratitude', 'neutral', 'neutral', 'neutral', 'neutral', 'gratitude', 'neutral', 'gratitude', 'neutral', 'fear', 'remorse', 'neutral', 'gratitude', 'fear', 'gratitude', 'neutral', 'neutral', 'grief', 'disappointment', 'neutral', 'fear', 'neutral', 'caring', 'amusement', 'caring', 'neutral', 'neutral', 'remorse', 'neutral', 'neutral', 'neutral', 'neutral', 'remorse', 'admiration', 'neutral', 'sadness', 'neutral', 'neutral', 'sadness', 'gratitude', 'curiosity']","{('neutral', 'neutral'): 14, ('neutral', 'anger'): 1, ('anger', 'anger'): 1, ('anger', 'caring'): 1, ('caring', 'sadness'): 1, ('sadness', 'neutral'): 2, ('neutral', 'admiration'): 1, ('admiration', 'neutral'): 2, ('neutral', 'gratitude'): 4, ('gratitude', 'neutral'): 4, ('neutral', 'fear'): 2, ('fear', 'remorse'): 1, ('remorse', 'neutral'): 2, ('gratitude', 'fear'): 1, ('fear', 'gratitude'): 1, ('neutral', 'grief'): 1, ('grief', 'disappointment'): 1, ('disappointment', 'neutral'): 1, ('fear', 'neutral'): 1, ('neutral', 'caring'): 1, ('caring', 'amusement'): 1, ('amusement', 'caring'): 1, ('caring', 'neutral'): 1, ('neutral', 'remorse'): 2, ('remorse', 'admiration'): 1, ('neutral', 'sadness'): 2, ('sadness', 'gratitude'): 1, ('gratitude', 'curiosity'): 1}","[(('neutral', 'neutral'), 14), (('neutral', 'gratitude'), 4), (('gratitude', 'neutral'), 4), (('sadness', 'neutral'), 2), (('admiration', 'neutral'), 2)]","['neutral', 'gratitude', 'caring', 'sadness', 'fear', 'remorse', 'anger', 'admiration']"
Interstellar,2014,dfu7,"Adventure, Drama, Sci-Fi",Christopher Nolan,773.8,169,8.7,"['annoyance', 'neutral', 'neutral', 'annoyance', 'neutral', 'neutral', 'admiration', 'neutral', 'fear', 'joy', 'gratitude', 'neutral', 'curiosity', 'excitement', 'love', 'approval', 'admiration', 'gratitude', 'optimism', 'neutral', 'gratitude', 'neutral', 'neutral', 'surprise', 'anger', 'anger', 'remorse', 'realization', 'grief', 'fear', 'confusion', 'love', 'caring', 'grief', 'fear', 'grief', 'sadness', 'confusion', 'neutral', 'amusement', 'sadness', 'caring', 'gratitude', 'neutral', 'annoyance', 'sadness', 'annoyance', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'excitement', 'neutral']","{('annoyance', 'neutral'): 3, ('neutral', 'neutral'): 7, ('neutral', 'annoyance'): 2, ('neutral', 'admiration'): 1, ('admiration', 'neutral'): 1, ('neutral', 'fear'): 1, ('fear', 'joy'): 1, ('joy', 'gratitude'): 1, ('gratitude', 'neutral'): 3, ('neutral', 'curiosity'): 1, ('curiosity', 'excitement'): 1, ('excitement', 'love'): 1, ('love', 'approval'): 1, ('approval', 'admiration'): 1, ('admiration', 'gratitude'): 1, ('gratitude', 'optimism'): 1, ('optimism', 'neutral'): 1, ('neutral', 'gratitude'): 1, ('neutral', 'surprise'): 1, ('surprise', 'anger'): 1, ('anger', 'anger'): 1, ('anger', 'remorse'): 1, ('remorse', 'realization'): 1, ('realization', 'grief'): 1, ('grief', 'fear'): 2, ('fear', 'confusion'): 1, ('confusion', 'love'): 1, ('love', 'caring'): 1, ('caring', 'grief'): 1, ('fear', 'grief'): 1, ('grief', 'sadness'): 1, ('sadness', 'confusion'): 1, ('confusion', 'neutral'): 1, ('neutral', 'amusement'): 1, ('amusement', 'sadness'): 1, ('sadness', 'caring'): 1, ('caring', 'gratitude'): 1, ('annoyance', 'sadness'): 1, ('sadness', 'annoyance'): 1, ('neutral', 'excitement'): 1, ('excitement', 'neutral'): 1}","[(('neutral', 'neutral'), 7), (('annoyance', 'neutral'), 3), (('gratitude', 'neutral'), 3), (('neutral', 'annoyance'), 2), (('grief', 'fear'), 2)]","['neutral', 'annoyance', 'gratitude', 'fear', 'grief', 'sadness', 'admiration', 'excitement']"
Jai Bhim,2021,dfu8,"Crime, Drama, Mystery",T. J. Gnanavel,122.0,164,8.8,"['neutral', 'caring', 'fear', 'fear', 'neutral', 'gratitude', 'realization', 'caring', 'sadness', 'neutral', 'neutral', 'neutral', 'confusion', 'gratitude', 'neutral', 'neutral', 'neutral', 'remorse', 'neutral', 'neutral', 'neutral', 'neutral', 'anger', 'caring', 'fear', 'sadness', 'neutral', 'gratitude', 'gratitude', 'desire', 'neutral', 'curiosity', 'confusion', 'anger', 'love', 'anger', 'gratitude', 'neutral', 'curiosity', 'gratitude', 'neutral', 'gratitude', 'neutral', 'gratitude', 'gratitude', 'fear', 'gratitude', 'gratitude', 'sadness', 'anger', 'curiosity', 'gratitude', 'sadness', 'neutral', 'gratitude', 'grief', 'anger', 'neutral', 'remorse', 'curiosity', 'gratitude', 'neutral', 'neutral']","{('neutral', 'caring'): 1, ('caring', 'fear'): 2, ('fear', 'fear'): 1, ('fear', 'neutral'): 1, ('neutral', 'gratitude'): 5, ('gratitude', 'realization'): 1, ('realization', 'caring'): 1, ('caring', 'sadness'): 1, ('sadness', 'neutral'): 3, ('neutral', 'neutral'): 8, ('neutral', 'confusion'): 1, ('confusion', 'gratitude'): 1, ('gratitude', 'neutral'): 5, ('neutral', 'remorse'): 2, ('remorse', 'neutral'): 1, ('neutral', 'anger'): 1, ('anger', 'caring'): 1, ('fear', 'sadness'): 1, ('gratitude', 'gratitude'): 3, ('gratitude', 'desire'): 1, ('desire', 'neutral'): 1, ('neutral', 'curiosity'): 2, ('curiosity', 'confusion'): 1, ('confusion', 'anger'): 1, ('anger', 'love'): 1, ('love', 'anger'): 1, ('anger', 'gratitude'): 1, ('curiosity', 'gratitude'): 3, ('gratitude', 'fear'): 1, ('fear', 'gratitude'): 1, ('gratitude', 'sadness'): 2, ('sadness', 'anger'): 1, ('anger', 'curiosity'): 1, ('gratitude', 'grief'): 1, ('grief', 'anger'): 1, ('anger', 'neutral'): 1, ('remorse', 'curiosity'): 1}","[(('neutral', 'neutral'), 8), (('neutral', 'gratitude'), 5), (('gratitude', 'neutral'), 5), (('sadness', 'neutral'), 3), (('gratitude', 'gratitude'), 3)]","['neutral', 'gratitude', 'anger', 'fear', 'sadness', 'curiosity', 'caring', 'confusion']"
Life is Beautiful,1997,dfu9,"Comedy, Drama, Romance",Roberto Benigni,230.1,116,8.6,"['sadness', 'admiration', 'gratitude', 'caring', 'anger', 'neutral', 'surprise', 'neutral', 'gratitude', 'neutral', 'gratitude', 'admiration', 'caring', 'fear', 'love', 'anger', 'sadness', 'gratitude', 'caring', 'gratitude', 'neutral', 'neutral', 'neutral', 'gratitude', 'neutral', 'disgust', 'sadness', 'amusement', 'neutral', 'neutral', 'neutral', 'neutral', 'fear', 'fear', 'gratitude', 'love', 'neutral', 'love']","{('sadness', 'admiration'): 1, ('admiration', 'gratitude'): 1, ('gratitude', 'caring'): 2, ('caring', 'anger'): 1, ('anger', 'neutral'): 1, ('neutral', 'surprise'): 1, ('surprise', 'neutral'): 1, ('neutral', 'gratitude'): 3, ('gratitude', 'neutral'): 3, ('gratitude', 'admiration'): 1, ('admiration', 'caring'): 1, ('caring', 'fear'): 1, ('fear', 'love'): 1, ('love', 'anger'): 1, ('anger', 'sadness'): 1, ('sadness', 'gratitude'): 1, ('caring', 'gratitude'): 1, ('neutral', 'neutral'): 5, ('neutral', 'disgust'): 1, ('disgust', 'sadness'): 1, ('sadness', 'amusement'): 1, ('amusement', 'neutral'): 1, ('neutral', 'fear'): 1, ('fear', 'fear'): 1, ('fear', 'gratitude'): 1, ('gratitude', 'love'): 1, ('love', 'neutral'): 1, ('neutral', 'love'): 1}","[(('neutral', 'neutral'), 5), (('neutral', 'gratitude'), 3), (('gratitude', 'neutral'), 3), (('gratitude', 'caring'), 2), (('sadness', 'admiration'), 1)]","['neutral', 'gratitude', 'sadness', 'caring', 'fear', 'love', 'admiration', 'anger']"
One Flew Over The Cuckoos Nest,1975,dfu10,Drama,Miloš Forman,163.3,135,8.7,"['caring', 'anger', 'neutral', 'neutral', 'annoyance', 'anger', 'anger', 'annoyance', 'anger', 'gratitude', 'anger', 'gratitude', 'amusement', 'caring', 'annoyance', 'neutral', 'neutral', 'neutral', 'amusement', 'anger', 'anger', 'neutral', 'neutral', 'amusement', 'amusement', 'gratitude', 'anger', 'amusement', 'anger', 'anger', 'annoyance', 'anger', 'remorse', 'anger', 'anger', 'caring', 'gratitude', 'neutral', 'gratitude', 'caring', 'anger', 'anger', 'gratitude', 'caring', 'anger', 'gratitude', 'caring', 'neutral', 'neutral']","{('caring', 'anger'): 3, ('anger', 'neutral'): 2, ('neutral', 'neutral'): 5, ('neutral', 'annoyance'): 1, ('annoyance', 'anger'): 3, ('anger', 'anger'): 5, ('anger', 'annoyance'): 2, ('anger', 'gratitude'): 4, ('gratitude', 'anger'): 2, ('gratitude', 'amusement'): 1, ('amusement', 'caring'): 1, ('caring', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'amusement'): 2, ('amusement', 'anger'): 2, ('amusement', 'amusement'): 1, ('amusement', 'gratitude'): 1, ('anger', 'amusement'): 1, ('anger', 'remorse'): 1, ('remorse', 'anger'): 1, ('anger', 'caring'): 1, ('caring', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('neutral', 'gratitude'): 1, ('gratitude', 'caring'): 3, ('caring', 'neutral'): 1}","[(('neutral', 'neutral'), 5), (('anger', 'anger'), 5), (('anger', 'gratitude'), 4), (('caring', 'anger'), 3), (('annoyance', 'anger'), 3)]","['anger', 'neutral', 'gratitude', 'caring', 'amusement', 'annoyance', 'remorse']"
