Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"- Miss Marchetta. - Hi. Ava, this car is so hard to get out of. That's the point. Anyone who ever gained baby weight can't fit. - Thanks. - Hi. Okay. How do I look? - Total rock star. - Thank you! - Liking? - Loving. - Oh, I love it! - Loving it. - Hey! - Hi, how are you? Hey, hey, over here! Come here! You girls are so beautiful, beautiful! Etienne!",23.488,74,car is so hard to get out of That is point Anyone who ever gained baby weight can not fit Okay How do I look Total rock star Thank you Liking Oh I love it Loving it Hey how are you Hey hey over here Come here You girls are so beautiful beautiful,admiration
2,"Beautiful. Gorgeous. Finally. I thought you said five minutes. My fingers were going arctic holding your Borba water. - Thank you. - Cigarette? Gross. Where's Mic? He's over there making out with some 12-foot-tall model. What? JK! - I'm sorry. I love you. - Babe! Mic. - What up, Tanz? - What's up? Johnny from the show wants to meet you. He's gonna be on the cover of Teen Vogue next week.",23.432,72,Beautiful Gorgeous Finally I thought you said minutes My fingers were going arctic holding your water Thank you Where is Mic He is over there making out with foot tall model What I am sorry I love you Mic What up What is up from show wants to meet you He is going to be on cover of next week,gratitude
3,"You should think about it. - He's gonna be at my party. - Your party? Don't you mean our party? And wait until you see the fierceness that I'll be wearing. Oh, my God! Aren't you Razz from Long Island? I cried so hard last week when you caught Teanne doing it with your dad. Is she gonna kill herself? Tune in on Wednesday night after American Idol. Go, groupie. - You want me to sign your abs? - Oh, my God! Yeah! That would be great! I love the way that you spell your name. You are such a creative genius.",29.837999999999997,102,You should think about it He is going to be at my party Your party Do not you mean our party And wait until you see fierceness that I will be wearing Oh my Are not you Razz from I cried so hard last week when you caught doing it with your dad Is she going to kill herself Tune in on night after Go groupie You want me to sign your abs Oh my Yeah That would be great I love way that you spell your name You are creative genius,love
4,"Ava, don't let it bother you. He loves you. - He's just used to random hounds. - Whatever. I just cannot wait until we announce our engagement. You have a little smudge. Should've used Daddy's smudge-free lip sealer. Pure beauty genius. I love it. I will make love to it. - I know you would! - I know I will! Go have fun. Eat your man. - Hey, Jose! Hey. Tanzie! Tanzie! Come with us. Tara Reid and Fred Durst are gonna karaoke. You guys, if I have to hear them do Spice Girls one more time... I hate classic rock.",32.329,101,Ava do not let it bother you He loves you He is just used to random hounds I just can not wait until we announce our engagement You have little smudge Should have used 's smudge free lip sealer Pure beauty genius I love it I will make love to it I know you would I know I will Go have fun Eat your man Hey Come with us and are going to karaoke You guys if I have to hear them do more time I hate classic rock,love
5,"Tanzie! You have been such a downer lately. Yeah. I'm gonna have to give you some of my Prozac if you don't chillax. Guys, to be honest with you, I didn't wanna come tonight. - I wanted to stay home and finish... - Are you insane? You know Martinique feeds everything to Us Weekly. Do you really want them writing that you wanted to stay home on a Thursday night and fill out some weird college application? We are the face of Marchetta, and the face of Marchetta does not study chemistry. Babe, I'm missing you out here! - Come on! - Come on, y'all, let's sandwich. - Come on, let's go. - Okay.",31.682,114,You have been downer lately Yeah I am going to have to give you some of my if you do not chillax Guys to be honest with you I did not want to come tonight I wanted to stay home and finish Are you insane You know feeds everything to Do you really want them writing that you wanted to stay home on night and fill out weird college application We are face of and face of does not study chemistry I am missing you out here Come on Come on you all let us sandwich Come on let us go Okay,annoyance
6,"Come on, y'all! You would be amazed at how many people could improve even damaged skin, if they would just treat it properly. Now, exposing your skin to harsh chemicals and to the sun, this is a nightmare for the skin. If you start with an all-natural regimen, this will cure most of the skin's difficult problems. One of the biggest problems is actually overtreating the skin. Now, take toner, for example... The person who has influenced me the most in my life is my father, Victor Marchetta. Though he's gone now, I'll always remember him in his lab concocting the perfect lipstick.",32.887,103,Come on you all You would be amazed at how many people could improve even damaged skin if they would just treat it properly Now exposing your skin to harsh chemicals and to sun this is nightmare for skin If you start with all natural regimen this will cure most of skin 's difficult problems of biggest problems is actually overtreating skin Now take toner for example person who has influenced me most in my life is my father Though he is gone now I will always remember him in his lab concocting perfect lipstick,caring
7,"I'll never forget the time he taught me the dangers of using F, D and C artificial colors. Good luck with the girl's bedroom, Ava. ...with this sad excuse of a breakfast. I don't even think low carb is gonna cut it this morning. I am so bloated. Can I just have hot water and cayenne pepper and maple syrup and lemon? I need to cleanse. - I need an aspirin. Me too. Hey! Tanz, give it a rest. You can't keep sitting here watching Dad's old TiVo'd shows from two years ago for the rest of your life. - Plus that skin show's disgusting. - I find it comforting, Ava.",30.747,111,I will never forget time he taught me dangers of using and C artificial colors Good luck with girl 's bedroom with sad excuse of breakfast I do not even think low carb is going to cut it morning I am so bloated Can I just have hot water and cayenne pepper and maple syrup and lemon I need to cleanse I need aspirin Me too Hey give it rest You can not keep sitting here watching 's old shows from years ago for rest of your life Plus skin show 's disgusting I find it comforting,disgust
8,"Oh, that's so sweet. And creepy. Plus I gotta clear up some space here. Mic likes me to watch all of his shows. And this week, Razz and his dad get in a fistfight. Ava, give it! - We're talking Golden Globe material! - No, stop! Do you have the X-rated version? No, but I got that Italian cinema for you. - Oh, really? You go to a lot of screenings? - Yeah. Well, your next one's gonna be from the slammer. You're on TV, pal. For Channel 10 News, I'm Ned Nakamori. - And you're ripping people off! And you're ripping people off! - I hate that cheez whiz. Ava! Delivery for you! Oh, goodie!",27.232000000000003,116,Oh that is so sweet And Plus I got to clear up space here Mic likes me to watch all of his shows And week and his dad get in fistfight Ava give it We are talking material No stop Do you have X - rated version No but I got that Italian cinema for you Oh really You go to lot of screenings Yeah Well your next one 's going to be from slammer You are on pal For I am And you are ripping people off And you are ripping people off I hate that Ava Delivery for you Oh goodie,anger
9,"I'll take that, thank you. ""Ava, you are so hot. Love, Mic. Don't forget to watch me tonight after American Idol. ""I love him. - Ava. - It's my engagement ring! Thank you very much. The gate is open. - It's huge. - How romantic is he? Look at that! He has such great taste. - Ava, you picked that out. - Well, yeah, but he likes it. - It's huge. - Oh, girls. - Do you like it? - Yes. Okay, come on, come on, come on. - You have a meeting to go to right now. - Can't we reschedule? - Yeah, can't we go tomorrow? - No!",33.364,110,I will take that thank you Ava you are so hot Love Do not forget to watch me tonight after I love him Ava It is my engagement ring Thank you very much gate is open It is huge How romantic is he Look at that He has such great taste you picked that out Well yeah but he likes it It is huge Oh girls Do you like it Yes Okay come on come on come on You have meeting to go to right now Can not we reschedule Yeah can not we go tomorrow No,gratitude
10,"- Tomorrow. - No, no, we cannot do that again. Not reschedule. This is charity. Oh, that reminds me. I cleaned out my closet for your church's clothes drive. Thank you. Homeless people love Dolce & Gabbana. Hey, babe, we love this song! - Let me take this. - Thanks. - Thanks. - No problem, Miss Marchetta. - Thanks. - You said that already. Right. Tanzie? I've gotta come to the office more often. - Hi. - Hi. Hey. - Hello.",29.884,81,no we can not do that again Not reschedule This is charity Oh that reminds me I cleaned out my closet for your church 's clothes drive Thank you Homeless people love & Hey babe we love song Let me take this Thanks problem You said that already Right I have got to come to office more often Hey,gratitude
