Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Kevin. Did we reinforce the take-off ramp? Nah, we didn't have time. Cool. Soul of an eagle. Oh, shit. Are you okay? What's up, little riders? I'm jumping the public pool tomorrow. 2 bucks. Tell your friends. Eat some smoke! That's just a sample.",19.872999999999998,44,Did we reinforce take off ramp we did not have time Cool Soul of eagle Oh shit Are you okay What is up little riders I am jumping public pool tomorrow bucks Tell your friends Eat smoke That is just sample,annoyance
2,See you there. Pink grapefruit. Yes. - Toasted marshmallow. - Yes. Finish her off. Raspberry? Psych! Very Cherry. A hundred straight. I'm gonna go drop some dumpage. - Voltron? - That's me.,14.797999999999998,32,See you there Pink grapefruit Yes marshmallow Yes Finish her off Very straight I am going to go drop dumpage That is me,neutral
3,"- Hi, Dave. - How you doing, Cathy? Why'd you call yourself Voltron? I don't know. Maybe 'cause it's super badass. - You're weird. - Hells, yeah, I am. Yoo-hoo, shitheads. I just found a bag of fireworks in the men's restroom. Would you guys like to light them off? All right, boys. Prepare to be dazzled. Jumping the pool tomorrow! God damn. Rod!",18.336,64,How you doing Why did you call yourself I do not know Maybe because it is super badass You are weird yeah I am shitheads I just found bag of fireworks in men 's restroom Would you guys like to light them off All right boys Prepare to be dazzled Jumping pool tomorrow damn,excitement
4,"Mom? Have you seen my hip pads? In the kitchen. Rod, maybe you shouldn't fight Frank this week. You know, you could rest up for the jump tomorrow. Relax, Kev. I'm gonna win this time. I did, like, 40 crunches yesterday. What is it with you two, anyway? You wouldn't understand, Kevin. He's your real dad so he automatically loves you. But he's my stepdad. I have to earn it. Ancestors, protect me",21.999000000000002,73,Have you seen my hip pads In kitchen maybe you should not fight week You know you could rest up for jump tomorrow I am going to win time I did like crunches yesterday What is it with you anyway You would not understand He is your real dad so he automatically loves you But he is my stepdad I have to earn it Ancestors protect me,love
5,"May they protect you Frank? Frank. Frank! Never sneak up on a man who's been in a chemical fire. - Sorry. - On your feet. What's this? Rhodesian fighting sticks. Very, very lethal. Rhodesian. Of course. Come on.",18.62,38,May they protect you Never sneak up on man who is been in chemical fire Sorry On your feet What is this Rhodesian fighting sticks Very very lethal Of course Come on,caring
6,"You are pathetic! Stop, stop, I give up! I give up! Yeah. No, Frank! Play the victim, and you will be the victim. Very good, Frank. Very impressive. Ultimate punch! I'm gonna knock that ridiculous mustache right off your face. All great men have mustaches, Frank.",19.096000000000004,46,You are pathetic Stop stop I give up I give up Yeah No Play victim and you will be victim Very good Very impressive Ultimate punch I am going to knock ridiculous mustache right off your face great men have mustaches,anger
7,"Yeah, but real men actually grow them. You know I have a hormone disorder! You'll see, Frank. One day, I'll punch you right in the face, and then you'll respect me. I'll believe it when I see it, muchacho. Take out the trash. Nailed it. Rod? - Denise! - Hey! How's it going?",18.53,53,Yeah but real men actually grow them You know I have hormone disorder You will see day I will punch you right in face and then you will respect me I will believe it when I see it muchacho Take out trash Nailed it Hey How is it going,neutral
8,"Oh. Great. Everything's going super great. You look different. Oh, really? Well, it's been a while. You look... You look pretty much exactly the same. Yeah. Thanks. And I see you're still doing your stunts. Big time. Actually...",16.927,38,Oh Great Everything 's going super great You look different Oh really Well it is been while You look You look pretty much exactly same Yeah Thanks And I see you are still doing your stunts Big time Actually,admiration
9,"Here. Peep the strategy. You're jumping the pool? Wow! Yeah, it's the real deal. You should come. Maybe I will. Thanks. Cool. Well, I gotta go. I gotta feed Buddy, but very nice to see you, Rod. Yeah, you too. You look pretty. What did you say? I said you look shitty. Good night, Denise.",22.262,55,Here Peep strategy You are jumping pool Wow Yeah it is real deal You should come Maybe I will Thanks Cool Well I got to go I got to feed but very nice to see you Yeah you too You look pretty What did you say I said you look shitty Good night,excitement
10,"Hey, Pop. It's me, Rod. I sure wish you were alive. You'd tell me how much you respect me and we'd do stunts and grow mustaches together. You may have died an anonymous stuntman, but you live on through me. I miss you, Daddy. Hey, Rod? Get out!",19.155,48,Hey It is me I sure wish you were alive You would tell me how much you respect me and we would do stunts and grow mustaches together You may have died anonymous stuntman but you live on through me I miss you Hey ? Get out,sadness
