Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Tokuma Shoten, Studio Ghibli, Nippon Television Network, Dentsu, Walt Disney Japan, Tohokushinsha Film and Mitsubishi present Good luck, Chihiro Hope we meet again Chihiro? Chihiro! We're almost there. This really is the middle of nowhere. I'll have to shop in the next town. We'll just have to make do. Look, there's the elementary school. That's your new school, Chihiro.",21.052,59,and present Good luck we meet again We are almost there This really is middle of nowhere I will have to shop in next town We will just have to make do Look there is elementary school That is your new school,optimism
2,"Why, it looks very nice. I liked my old school. Mom, my flowers got bent. No wonder, the way you squeeze them. A little water and they'll perk right up. My first bouquet, and it's farewell flowers. What about the rose you got for your birthday? One rose? One rose isn't a bouquet. You dropped the card.",24.308,57,Why it looks very nice I liked my old school my flowers got bent wonder way you squeeze them little water and they will perk right up My first bouquet and it is farewell flowers What about rose you got for your birthday rose rose is not bouquet You dropped card,admiration
3,Now pull yourself together. This is a busy day for us. SPIRITED AWAY Wait a minute. Did I take a wrong turn? I don't get it. That must be it up there. The blue one on the end. That's it. I guess I turned off too soon. Maybe if we go straight?,24.849,52,Now pull yourself together This is busy day for us AWAY Wait minute Did I take wrong turn I do not get it That must be it up there blue on end That is it I guess I turned off too soon Maybe if we go straight,caring
4,"Oh, please. That's how we always get lost. Let's just see what's up here. - What are those things? - Houses for the guardian spirits. Dad, are you sure? Don't worry, we've got 4-wheel drive. Sit down, Chihiro. What are you doing? Slow down! There's a tunnel. What's this building?",18.968,50,Oh please That is how we always get lost Let us just see what is up here What are things for guardian spirits are you sure Do not worry we have got wheel drive Sit down What are you doing Slow down There is tunnel What is building,caring
5,"It looks like a gate. Honey, I think we should go back. Chihiro! Honestly... Look at this, it's just plaster. This thing's pretty new. The air's blowing in. What is it? Let's see what's on the other side.",16.133,38,It looks like gate I think we should go back Honestly Look at this it is just plaster thing 's pretty new air 's blowing in What is it Let us see what is on other side,neutral
6,"It's creepy, Dad. Can't we go back? Don't be such a chicken. C'mon, let's take a look. The movers will be there soon. So? They've got the keys. They'll handle everything. I know, but... No! I won't go. Dad, let's go. Come on, it'll be fun. I'm staying here!",20.469,49,It is creepy Can not we go back Do not be chicken C'm on let us take look movers will be there soon So They have got keys They will handle everything I know but No I will not go let us go Come on it will be fun I am staying here,joy
7,"Chihiro, you wait in the car. Mom... Wait up! Watch your step. Chihiro, don't cling. You'll make me trip. - What is this? - Wait, hear that? - A train. - Maybe we're near a station. Let's find out. It must be close. Houses, way out here?",20.886000000000003,47,you wait in car Mother Wait up Watch your step do not cling You will make me trip What is this Wait hear that train Maybe we are near station Let us find out It must be close Houses way out here,neutral
8,"I knew it. It's an abandoned theme park. They built lots of them back in the nineties. But they went bust when the economy tanked. This must be one of them. Wait, where are we going? Let's go back, Dad. Please! Mom, that building's moaning.",21.804,45,I knew it It is abandoned theme park They built lots of them back in nineties But they went bust when economy tanked This must be of them Wait where are we going Let us go back Please building 's moaning,neutral
9,"It's just the wind. What a lovely spot. We should've brought the sandwiches. This would've been a river. Do you smell something? - Something smells good. - You're right. Maybe they're open for business after all. Hurry up, Chihiro. Wait for me! This way.",20.178999999999995,44,It is just wind What lovely spot We should have brought sandwiches This would have been river Do you smell something Something smells good You are right Maybe they are open for business after all Hurry up Wait for me way,love
10,"Can you believe it? Nothing but restaurants. There's nobody here. Over there. Come on! Come take a look. This is amazing. Hello, is anybody here? Come on, Chihiro. It looks delicious. You got customers!",19.22,34,Can you believe it Nothing but restaurants There is nobody here Over there Come on Come take look This is amazing Hello is anybody here Come on It looks delicious You got customers,surprise
11,"Don't worry. We'll pay when they show up. You're right. Let's see now... What kind of bird is this? It's delicious! Chihiro, try some. I don't want any. Can't we go? They'll be mad at us. Don't worry, your father's here. I've got credit cards and cash. Have some, Chihiro. It's very tender.",22.888,53,Do not worry We will pay when they show up You are right Let us see now kind of bird is this It is delicious try some I do not want any Can not we go They will be mad at us Do not worry your father 's here I have got credit cards and cash Have some It is very tender,caring
12,- Mustard. - Thanks. Mom! Dad! What a weird building. A train! You can't be here. Go now! It's almost sundown. Go before it gets dark! They're lighting the lamps. Come on! I'll hold them off. Get across the river! What's his problem?,19.470000000000002,43,What weird building train You can not be here Go now It is almost sundown Go before it gets dark They are lighting lamps Come on I will hold them off Get across river What is his problem,annoyance
13,"Dad? Dad, let's go home. Let's go, Dad! Dad! Mom! Mommy! Water! No... It's just a dream.",13.378,17,let us go home Let us go Water No It is just dream,neutral
14,"Wake up, wake up. Wake up! Please wake up. It's just a dream, a stupid dream. Go away, disappear. Disappear. I'm fading away! This has to be a dream. Don't be afraid. I'm a friend. No, no, no!",18.467000000000002,38,Wake up wake up Wake up Please wake up It is just dream stupid dream Go away disappear Disappear I am fading away This has to be dream Do not be afraid I am friend No no no,caring
15,"Open your mouth. Eat this. Unless you eat something from this world, you'll disappear. No! Don't worry. You won't turn into a pig. Chew it and swallow. Good, now you'll be fine. See for yourself. I can touch you. Of course. Now come.",17.762,43,Open your mouth Eat this Unless you eat something from world you will disappear No Do not worry You will not turn into pig Chew it and swallow Good now you will be fine See for yourself I can touch you Of course Now come,caring
16,"Where's Mom and Dad? Did they really turn into pigs? You can't see them now, but you will. Quiet! It's looking for you. There's no time, let's run. I can't stand up. What should I do? - My legs don't work. - Relax and take a deep breath. In the name of the wind and water within, unbind her. Stand up! Don't breathe while we're on the bridge.",25.264,68,Where is and Did they really turn into pigs You can not see them now but you will Quiet It is looking for you There is time let us run I can not stand up What should I do My legs do not work Relax and take deep breath In name of wind and water within unbind her Stand up Do not breathe while we are on bridge,neutral
17,"One tiny breath will break my spell. We don't want anyone to see you. I'm scared. Be calm. Welcome, your presence honors us. Greetings, welcome. - I've finished my rounds. - Welcome back, sir. Take a deep breath. Hold it. Welcome back. We've been waiting for you.",22.847,47,tiny breath will break my spell We do not want anyone to see you I am scared Be calm Welcome your presence honors us Greetings welcome I have finished my rounds Welcome back Take deep breath Hold it Welcome back We have been waiting for you,fear
18,"Just a little further. Master Haku! Where have you... A human? Run! Master Haku, Master Haku! I smell something. A human intruder! I smell humans! The stench of humans! - They know you're here. - Sorry, I messed up.",17.84,39,Just little further Where have you human Run I smell something human intruder I smell humans stench of humans They know you are here Sorry I messed up,curiosity
19,"No, Chihiro, you did very well. Now listen. I'll tell you what to do. If you stay here, they'll find you. I'll distract them while you get away. No, don't go! Stay with me, please. You have no choice, if you want to survive here... and save your parents, too. So I wasn't dreaming. They did turn into pigs. Listen carefully.",20.637,61,No you did very well Now listen I will tell you what to do If you stay here they will find you I will distract them while you get away No do not go Stay with me please You have choice if you want to survive here and save your parents too So I was not dreaming They did turn into pigs Listen carefully,neutral
