Number,StartMilliseconds,EndMilliseconds,Text
1,74934,77879,"WOMAN ON P.A.: ...terminal A
of Boston International Airport."
2,77979,81059,"- Transportation between terminals...
- (OVERLAPPING VOICES)"
3,88006,90899,"TSA EMPLOYEE:
Take your laptop out of your bag."
4,90999,93052,(OVERLAPPING VOICES CONTINUE)
5,106749,108451,(PHONES RINGING)
6,108551,111881,"MAN ON P.A.: The Boston Police Department
requests that for your safety and security"
7,111981,113973,and per FAA regulations...
8,114073,116150,(OVERLAPPING CHATTER)
9,136654,138464,I'll be home in a few.
10,138564,141684,"Get off in about an hour.
Space cadet, get me a..."
11,141784,145046,"MAN ON TV: ...to go in this quarter.
They need to score on this drive."
12,150834,152846,(OVERLAPPING CONVERSATIONS)
13,157575,161178,"MAN: Don't lie to me, okay?
You sound like one of my kids."
14,165499,167243,WOMAN ON P.A.: Gate number 26.
15,167343,170319,"Miss Lauren Goodwin,
please report to gate number 26."
16,171129,173198,(BUZZER SOUNDS)
17,174775,176785,(MAN ON TV CONTINUES)
18,178662,180895,"- (PHONE RINGING)
- (WOMAN SPEAKING ON P.A.)"
19,186612,189907,"Elizabitch, get your bony ass over here."
20,190007,192235,"- What is going on?
- Don't hang up on her."
21,192335,196320,"WOMAN ON P.A.: ...your baggage can be
claimed at carousel number three. Please..."
22,196664,200551,"Put security cameras in the whole house.
Except for the bedroom."
23,200651,202954,Christie wouldn't go for that.
24,204154,206540,My pool cleaner's even gone rogue.
25,207640,211070,"No, I'm serious. Yeah,
it's jumping out of the pool on its own."
26,211170,214465,"MAN ON P.A.: There is a flight 3598
to Manchester, New Hampshire."
27,214565,217510,"Your gate number
has been changed to gate A6."
28,217610,221104,"The flight will depart
on time at 4:15 P.M."
29,221204,224617,"Passengers on flight 3598 to Manchester,
New Hampshire,"
30,224717,228246,"- your gate number has been changed...
- (PHONE RINGING)"
31,231631,234717,"- WOMAN: Hello?
- Hey, it's me. Just got off the plane."
32,234817,236236,What are you doing?
33,236336,239115,"What am I doing?
I'm picking up Johnny at school."
34,239215,241267,I'm getting a sitter from the bus stop.
35,241367,243786,"Going back to the lab
because we got completely slammed."
36,243886,248357,"Sharon, they made an offer.
A big, big offer."
37,248757,250751,"For all the rights to ""Night Traveler."""
38,250851,253146,"We're talking about graphic platforms,"
39,253246,257541,"virtual reality, algorithms,
interface user stuff, I don't know."
40,257641,261062,"That's amazing, Clay. Congratulations."
41,261462,264857,"Yeah. Well, you know,
it's a big deal, yeah."
42,264957,268544,So are you going out to celebrate tonight?
43,268644,271013,"Celebrate? Celebrate, no."
44,271113,273367,"Yeah, this is a big night for you."
45,273467,276109,"I just assumed you'd want
to celebrate with someone."
46,276209,277912,Not really.
47,278212,280417,So you're not with someone?
48,280517,282833,No. No.
49,282933,285068,There's nobody.
50,285168,289265,"Hey, is that Dad? Can I talk to him?"
51,291291,293111,(BEEPS)
52,296972,300092,"- Hi, Dad.
- Hey, buddy."
53,300192,303086,"- How you doing?
- We did the parachute drill today."
54,303186,305431,"- Yeah.
- You put a little parachute on your bat."
55,305531,307901,"I swear,
my swing is like 100 times faster."
56,308001,309552,That's great.
57,309952,312088,Are you coming home?
58,313338,316123,"- Yeah, yeah, soon.
- I just want you to come home."
59,316223,318376,"Ah, shit."
60,320513,322590,(WOMAN SPEAKING OVER P.A.)
61,324808,326853,(PHONES RINGING)
62,335153,337046,(OVERLAPPING CONVERSATIONS)
63,355131,356941,(RINGING)
64,357841,362370,"Hi, Shar, it's me.
Yeah, I ran out of juice."
65,362470,366860,"Listen, there's a flight to Manchester
that leaves in about an hour."
66,366960,369545,"Clay, you've been gone for over a year."
67,369645,372381,"I love you, but it's not that simple."
68,372481,375969,"- I'd like to see my son. Shit.
- OPERATOR: Your time is up."
69,376069,378972,"- I need more money. Hold on.
- Please deposit..."
70,379472,381190,(MAN SCREAMING)
71,385619,387663,(GROANING)
72,392668,394904,"- (SCREAMING)
- (PEOPLE SHOUTING)"
73,395004,397124,"- (HIGH-PITCHED WHINE)
- (MEN SCREAMING)"
74,404105,406440,"- (PEOPLE SCREAMING)
- What's wrong with you? Stop it!"
75,406540,408084,(GROWLING)
76,408984,412512,Get off him! What are you doing? Get off!
77,419487,421555,(GROANING)
78,427495,429338,(GROWLING)
79,429438,431882,Get off of her!
80,431982,433859,(GIRL SCREAMING)
81,435086,437230,(SCREAMING)
82,437330,439464,Stop that!
83,445462,448014,WOMAN: Go! Go! Go!
84,449100,451177,(SCREAMING)
85,453521,456548,"Oh, my God, Chloe."
86,457382,458659,"Hey, hey, hey, don't touch her."
87,458759,460986,"- I'm not gonna touch her.
- She might be contagious."
88,461086,463611,"- I need to call 911, though.
- (DIALS)"
89,464111,466041,"911, hello?"
90,466992,469397,(DOG WHINING)
91,472498,474633,(GROWLING)
92,482008,484019,(LAUGHING)
93,493977,495997,(GROWLS)
94,501194,503196,(SCREAMS)
95,508334,511086,"Let me see your goddamn hands!
Get your hands in the air!"
96,511186,512763,(GUNSHOTS)
97,512863,516207,"Why'd you do that? What, are you gonna
shoot everybody? What the hell is happening?"
98,516307,518689,"- Who the hell knows?
- Quick, let's go."
99,518789,520955,"- Don't use your cell phone.
- Why?"
100,521055,523275,"- They did.
- (SCREAMS)"
101,526010,528021,(ALARM BLARING)
102,535911,538206,"- WOMAN: Help me!
- (GUNSHOTS)"
103,540941,543010,(GUNSHOTS CONTINUE)
104,555623,557626,(PANTING)
105,560003,562004,(MAN SCREAMING)
106,572140,574208,(JET ENGINE ROARING)
107,580189,582279,(MEN SNARLING)
108,595338,597380,(SNARLING CONTINUES)
109,604047,606384,(GROWLING)
110,610303,612341,(PEOPLE GROANING)
111,631032,635328,"- No, no, no. Bro, stop, he's normal.
- Hey, hey, hey!"
112,636228,639516,"Come on. Let's go, bro. Bro, come on."
113,641316,643027,"- (EXPLOSION)
- Don't use your cell phones."
114,643127,645654,"MAN: We've been trying,
but we can't get a signal down here."
115,646454,649342,"We need to get out of this airport
right now before it burns to the ground."
116,649442,652265,"- Get out of here? We ain't going nowhere.
- Is there a driver on this train?"
117,652365,655598,"- That'd be me.
- CLAY: Can we leave?"
118,655698,657408,"- No.
- MAN: Oh, no."
119,657508,660219,"Central shut down the power,
emergency brakes came up,"
120,660319,663013,"and this train can't move
more than 50 feet."
121,663113,665174,"- Shit.
- (EXPLOSIONS)"
122,666474,668494,"- We could walk.
- WOMAN: Walk?"
123,668594,671057,"- MAN: Walk? Ain't nobody walking.
- What did you say?"
124,671157,673165,We could walk.
125,673265,677670,"I got maps of the system and I got all the
maintenance tunnels with the exits marked."
126,677770,681541,"- We can walk right out of here.
- Brilliant idea. You're my new best friend."
127,681641,684618,"Are you crazy? What are you gonna do
when the T starts running again?"
128,684718,686895,"You don't want to come,
you don't got to come. I don't care."
129,686995,689164,"You guys are idiots.
We're safe right here."
130,689264,692651,"- Only if this lasts less than 24 hours.
- What do you mean?"
131,692751,695714,"The groundwater. The sewage workers
pump out the groundwater."
132,695814,698975,"If nobody's manning the pumps,
whole system floods."
133,699075,703021,"All this'll be underwater. You'll be forced
into the terminal back out in the streets."
134,703121,705723,"And if Boston is still burning
or if what he's saying is true..."
135,705823,707951,"MAN: Don't listen to him.
We're not gonna be down here that long."
136,708051,711038,"- Do you want to stay here or go?
- It's gonna blow over. These things always do."
137,711138,714812,"- Yo, yo, yo, yo, yo. Can I come with you?
- I'm not gonna stop you."
138,714912,718044,"- Yo, awesome. Deuces, man. Adios.
- You don't even know him."
139,718944,720939,"MAN: You think this is happening
everywhere or just here?"
140,721039,722798,DRIVER: We'll know in a little while.
141,722898,725844,"We lose power,
means it's happening everywhere."
142,725944,730156,"Nobody's manning the power stations.
Probably running for their lives like us."
143,731256,734493,"Wonder how many folks were
on those things when it happened."
144,734593,736120,A lot.
145,736220,739590,"Too many. Like everybody. And those that
didn't get it the first time got zapped"
146,739690,741650,"when they tried to call 911
or their families."
147,741750,743294,Hmm.
148,744394,746865,"I'm Tom McCourt, by the way."
