Number,StartMilliseconds,EndMilliseconds,Text
1,34442,38570,"WOODS NEAR QUANTICO, VA"
2,167168,169208,Starling!
3,170797,172836,Starling!
4,174926,177842,Crawford wants to see you in his office.
5,177969,180009,"Thank you, sir."
6,227348,229387,"- Clarice.
- Hey."
7,279698,284692,"You looking for Crawford? He should
be back in a minute. Wait in his office."
8,341629,343705,Starling.
9,343839,347254,"- Clarice M. Good morning.
- Morning, Mr Crawford."
10,347383,350764,"Sorry to pull you off the course
at such short notice."
11,350899,354102,Your instructors tell me you're doing well.
12,354236,357355,"I hope so. They haven't
posted any grades yet."
13,357656,360229,A job's come up and I thought about you.
14,360367,364778,"Not a job, really. More of
an interesting errand. Sit down."
15,364912,366739,"Yes, sir."
16,366872,372956,"I remember you from my seminar at UVA.
You grilled me pretty hard, as I recall,"
17,373085,377083,"on the Bureau's civil rights record
in the Hoover years. I gave you an A."
18,377215,379670,"A-minus, sir."
19,381301,384468,"Double major: Psych and criminology.
Graduated magna."
20,384596,387383,"Summer internships
at the Reitzinger Clinic."
21,387515,392391,"It says, when you graduate, you wanna
work for me in Behavioural Science."
22,392520,394560,"Yes, very much, sir. Very much."
23,396107,400934,"We're interviewing all serial killers now in
custody for a psycho-behavioural profile."
24,401069,403690,Could be a real help in unsolved cases.
25,403821,406359,"Most of them have been
happy to talk to us."
26,406824,410952,"- Do you spook easily, Starling?
- Not yet, sir."
27,411078,413864,"See, the one we want most
refuses to cooperate."
28,413997,416784,"I want you to go after him
again today in the asylum."
29,416916,420961,"- Who's the subject?
- The psychiatrist, Hannibal Lecter."
30,421087,423329,Hannibal the Cannibal.
31,423465,426134,I don't expect him to talk to you.
32,427468,429876,But I have to be able to say we tried.
33,430013,433131,"So if he won't cooperate,
I want just straight reporting."
34,433265,436848,"How does he look? How does
his cell look? Is he sketching, drawing?"
35,436977,439646,"If he is, what's he sketching?"
36,442733,445402,Here's a dossier on Lecter.
37,447653,451164,"A copy of our questionnaire
and a special ID for you."
38,451294,453963,"Have your memo on my desk
by 0800 Wednesday."
39,454088,456127,OK.
40,457757,462715,"Excuse me, sir, but why the urgency?
Lecter's been in prison for so many years."
41,462846,466178,"Is there some connection
between him and Buffalo Bill maybe?"
42,466306,471051,"I wish there were.
Now, I want your full attention, Starling."
43,471185,474637,"- Yes, sir.
- Be very careful with Hannibal Lecter."
44,475147,479691,"Dr Chilton at the asylum will go over all
the physical procedures used with him."
45,479819,483436,"Do not deviate from them
for any reason whatsoever."
46,483571,486145,And you're to tell him nothing personal.
47,486282,489865,"Believe me, you don't want
Hannibal Lecter inside your head."
48,489994,493031,"Just do your job,
but never forget what he is."
49,493164,494195,And what is that?
50,494666,498662,"Oh, he's a monster. A pure psychopath."
51,499169,501328,So rare to capture one alive.
52,501463,505959,"From a research point of view,
Lecter is our most prized asset."
53,509804,514928,"We get a lot of detectives here, but
I can't ever remember one as attractive."
54,517102,519806,Will you be in Baltimore overnight?
55,519938,525063,"Because this can be quite a fun town
if you have the right guide."
56,525193,527399,"I'm sure this is a great town, Dr Chilton,"
57,527529,532948,"but my instructions are to talk to Dr Lecter
and report back this afternoon."
58,533075,536407,"I see. Well, let's make this quick, then."
59,536535,541281,"We've tried to study him, but he's much
too sophisticated for the standard tests."
60,541415,543704,"Oh, my, does he hate us!"
61,543834,547084,He thinks I'm his nemesis.
62,547421,550303,"Crawford's very clever,
isn't he, using you?"
63,550435,554729,"- What do you mean, sir?
- A pretty, young woman to turn him on."
64,555231,557936,"I don't believe Lecter's
seen a woman in eight years."
65,558068,561935,And are you ever his taste! So to speak.
66,562072,565072,"I graduated from UVA, Doctor.
It's not a charm school."
