Number,StartMilliseconds,EndMilliseconds,Text
1,168800,172053,"Exactly 1 minute 52 seconds.
That's excellent."
2,375703,377079,Check.
3,379249,381293,Knight takes bishop.
4,385130,388092,Knight... takes bishop.
5,434436,435605,King to rook two.
6,436606,439525,King... to rook two.
7,449288,452290,Queen to king four.
8,452416,456546,Queen... to king four.
9,467808,471395,"My congratulations, sir. A brilliant coup."
10,494547,498509,"Siamese fighting fish.
Fascinating creatures."
11,498635,501596,"Brave, but on the whole stupid."
12,501722,504725,"Yes, they're stupid."
13,504851,506936,Except for the occasional one
14,507062,511024,"such as we have here.
He lets the other two fight"
15,511692,514403,while he waits.
16,518783,524873,"Waits until the survivor is so exhausted
that he cannot defend himself."
17,524998,529211,"And then, like SPECTRE, he strikes."
18,530339,532216,I find the parallel amusing.
19,532340,535636,"Our organisation did not arrange
for you to come over"
20,535762,539098,"from the Russians just for amusement,
Number Three."
21,542309,544355,"Come in, Kronsteen."
22,544480,549526,"Sit down, Number Three, while we listen
to what Number Five has devised for us."
23,549652,554783,"I hope his efforts as director of planning
continue to be as successful as his chess."
24,554909,556535,They will be.
25,556661,560080,"According to your instructions,
I've planned for SPECTRE"
26,560206,563793,"to steal from the Russians
their new Lektor decoding machine."
27,563919,566212,"We need the services
of a female member"
28,566337,569007,"of the Russian Cryptograph Section
in Turkey"
29,569133,572303,"and... the help of
the British Secret Service."
30,572429,575391,"Neither the Russians
nor the British will be aware"
31,575515,578018,that they are now working for us.
32,578142,582023,"Number Three, is your section ready
to carry out Kronsteen's directives?"
33,582148,586485,"Yes, Number One. The operation will be
organised according to Kronsteen's plan."
34,586610,590323,"I have selected a suitable girl
from the Russian Consulate in lstanbul."
35,590449,592492,"She's capable, cooperative,"
36,592617,595372,"and her loyalty to the state
is beyond question."
37,595496,598207,You're sure she believes you're still
38,598333,600960,"head of operations
for Soviet lntelligence?"
39,601085,604506,"It is most unlikely she would know
I'm now working for SPECTRE."
40,604632,608804,"Moscow kept my defection secret from
all but a few members of the presidium."
41,608928,610972,"For your sake, I hope so."
42,611098,612850,"Kronsteen, you're sure"
43,612975,614977,this plan is foolproof?
44,615101,621149,"Yes, it is. Because I have anticipated
every possible variation of countermove."
45,621276,625196,"But what makes you think that M,
the head of British lntelligence,"
46,625321,628367,"will oblige you
by falling in with your plan?"
47,628492,630787,Because this is so obviously a trap.
48,630912,635750,"My reading of the British mentality is that
they always treat a trap as a challenge."
49,635876,639546,"And they couldn't possibly
pass up even the slightest chance"
50,639671,642592,"of getting their hands
on the Lektor decoder."
51,642717,644803,They have wanted one for years.
52,644928,648097,"All that you say could be true.
What else?"
53,648223,651852,"As an added refinement, I think
SPECTRE would have the chance"
54,651977,656150,"of a personal revenge
for the killing of our operative... Dr No."
55,656275,660862,"Because the man the British will almost
certainly use on a mission of this sort"
56,660987,663282,would be their agent James Bond.
57,663406,668496,"Let his death be a particularly
unpleasant and humiliating one."
58,668620,670039,Good.
59,670164,673210,"I shall put my plan
into operation straight away."
60,673335,675337,And there will be no failure.
61,717344,718971,Hurry!
62,725145,728857,"Welcome to SPECTRE lsland.
I hope you had a pleasant flight."
63,728982,731693,"My time is limited.
Is the man I requested ready?"
64,731819,733821,"- His dossier.
- Good."
65,737492,739994,"Donald Grant, convicted murderer."
66,740119,745084,"Escaped Dartmoor Prison in 1960,
recruited in Tangier, 1962."
67,745208,747545,Excellent. Where is he now?
68,747670,751591,"- At the lake.
- Bring him to my office, will you?"
69,752508,754386,Take me to the lake.
70,754511,757098,Through the training area.
71,757223,760101,"This Grant's one of the best men
we've ever had."
72,760226,764315,"A homicidal paranoiac. Superb material,
though his methods were a little crude."
73,764439,768486,"His response to our training
and indoctrination have been remarkable."
74,785421,788215,"I hope our work here
meets with your approval."
75,788341,792012,"Training is useful.
But there is no substitute for experience."
76,792137,794308,I agree. We use live targets as well.
77,808948,810241,"- Call him!
- Grant!"
78,834936,839775,"He seems fit enough. Have him
report to me in lstanbul in 24 hours."
79,919450,922912,"Corporal of State Security
Tatiana Romanova."
80,923038,924830,Come in.
81,932380,934425,You know who I am?
82,934550,938347,"Colonel Klebb,
head of operations for... for SMERSH."
83,938473,942309,"I saw you once in Moscow, when
I worked for the English decoding room."
84,942434,945021,"Did you tell the consulate
you were coming here?"
85,945146,947190,"- No, the message...
- Yes, I know."
86,947314,948985,I sent it.
87,952862,954908,Your work record is excellent.
88,955033,958327,"- The state is proud of you.
- Thank you, Comrade Colonel."
89,958452,960497,Take off your jacket.
90,963793,966045,Turn around.
91,967463,969465,You're a fine-looking girl.
92,970425,972468,Sit down.
93,976474,978518,I see you trained for the ballet.
94,979102,982147,"But I grew an inch
over the regulation height and so..."
95,982273,984316,And then you have had three lovers.
96,984441,987361,"What is the purpose
of such an intimate question?"
97,987487,989989,You're not here to ask questions!
98,990115,992491,You forget to whom you are speaking!
99,993909,997290,"- I was in love.
- And if you were not in love?"
100,1000418,1003797,"I suppose that would depend...
on the man."
101,1003922,1005216,Sensible answer.
102,1005965,1008050,"This man, for instance."
103,1008926,1013433,"I cannot tell.
Perhaps if he was kind and kulturny."
104,1013558,1018354,"Corporal, I have selected you
for a most important assignment."
105,1018480,1021651,"Its purpose is to give
false information to the enemy."
106,1021776,1024820,"If you complete it successfully,
you will be promoted."
107,1024945,1028241,"From now on,
you will do anything he says."
108,1028366,1029993,And if I refuse?
109,1030118,1033413,Then you will not leave this room alive.
110,1036876,1038711,I will obey your orders.
111,1038835,1041047,"Good. Now, these are your instructions."
112,1041172,1042674,You report to me here
113,1042799,1046429,"but the consulate security man
must not know that I'm in lstanbul."
114,1046555,1050307,"- This is classified far above his level.
- I will say nothing to anyone."
115,1050432,1052478,"If you do, you will be shot!"
116,1053854,1056983,"Come, come, my dear."
117,1057108,1062739,"You're very fortunate to have been chosen
for such a simple, delightful duty."
118,1063406,1066744,"A real labour of love,"
119,1067828,1069872,as we say.
120,1077130,1080008,"- Great sport, this!
- What did you say?"
121,1080133,1083096,"I said it's great sport, this punting."
122,1083929,1085973,I couldn't agree with him more.
123,1086100,1088519,I may even give up golf for it.
124,1088644,1090354,Really?
125,1092105,1093608,Not quite.
126,1095193,1098947,Souvenir from another jealous woman?
127,1099073,1102450,"Yes. But I haven't turned
my back on one since."
128,1107707,1109876,"- Excuse me.
- What?"
129,1114381,1117050,"- Give me my shirt, will you?
- What's going on?"
130,1117175,1120472,"- I have to make a phone call.
- But we haven't eaten yet."
131,1120597,1123182,I'm starving.
132,1125268,1127980,"Come in, Univex. James Bond here. Over."
133,1128105,1132527,"He's been asking for you all morning.
Where in the world are you, James?"
134,1133736,1136657,"Well, I've just been reviewing an old case."
135,1136782,1140202,"- Oh, so I'm an old case now, am l?
- Ssh! It's the office."
136,1140328,1143665,"- Tell him I'm on my way, will you?
- He is not on his way."
137,1143790,1147211,"Sylvia, behave! We'll do this again
some other time soon."
138,1147336,1150882,"Do what? Last time you said that,
you went off to Jamaica."
139,1151007,1153634,I haven't seen you for six months!
140,1155511,1157680,"- I'll be there in an hour.
- I'll tell him."
141,1157805,1161976,"Hey, your old case
sounds interesting, James."
142,1163355,1165773,Make that an hour and a half.
143,1170029,1172740,"Now, about that lunch."
144,1179415,1181958,"For my next miracle, l..."
145,1196059,1199437,"It'll be a miracle if he can explain
where he's been all day."
146,1199562,1202690,"But I've never even heard
of a Tatiana Romanova."
147,1202815,1205527,"- Ridiculous, isn't it?
- It's absolutely crazy."
